,TSS_1::NC_013691.1:27792-27992(-),TSS_2::NC_013691.1:29587-29787(-),TSS_3::NC_013691.1:36871-37071(-),TSS_4::NC_013691.1:41017-41217(-),TSS_5::NC_013691.1:53132-53332(-),TSS_6::NC_013691.1:53953-54153(-),TSS_7::NC_013691.1:55711-55911(-),TSS_8::NC_013691.1:57205-57405(-),TSS_9::NC_013691.1:62400-62600(-),TSS_10::NC_013691.1:62718-62918(-),TSS_11::NC_013691.1:64944-65144(-),TSS_12::NC_013691.1:65569-65769(-),TSS_13::NC_013691.1:68555-68755(-),mean
-78,0.07365930801350337,0.1012982668886385,0.06204188683904253,0.042473567918379265,0.04357427333298769,0.08271165569770095,0.09847643360748622,0.15511594018053085,0.06808414234978588,0.04242737670552291,0.03258719037056955,0.07815055604438724,0.04908311464596964,0.0715141317380388
-77,0.08437557675833475,0.11065992487176965,0.06957472687534862,0.04818605492616231,0.046785236019322586,0.09138591877098427,0.10246983403514495,0.1608136668914964,0.0710809306855297,0.04655684514418397,0.033387211723018534,0.08143533691180327,0.050534611748836576,0.07671122118168736
-76,0.09511249725438634,0.11887306857372293,0.0775220935872972,0.0528405826233506,0.0498792908932623,0.10133483971155269,0.10541352608966621,0.16693090865865254,0.07324665681151726,0.049906764860930035,0.035654051257083305,0.08495083077160141,0.05208191583177725,0.08182669437883078
-75,0.10551995287293596,0.12548747640651073,0.08535460508166269,0.05642262551563697,0.052969337789141493,0.11271357014634349,0.10614974628895599,0.17289343988281683,0.07419643889452174,0.052422460150388574,0.03934389551007257,0.08848845201308586,0.05420922319227759,0.08662855567264234
-74,0.11543935243619767,0.13037121499858556,0.09283017002185555,0.05891215959692488,0.056289271182531284,0.12545643537089862,0.10785957086742508,0.17857169239409962,0.07469041506909237,0.05479067680345271,0.04412384496097448,0.0922104961818149,0.0570732738122404,0.09143219797662254
-73,0.12456663589876164,0.13357746544724172,0.10023332592290599,0.06027057588423662,0.060374473571724596,0.13863679643228233,0.11195506790242915,0.18423580774752202,0.07661101297135839,0.05770945455443792,0.04921075732578018,0.0962484532270816,0.05943751240053594,0.09638979532971524
-72,0.13288620163956585,0.13573063279109124,0.10756299297748281,0.06106735800521891,0.06445958317434544,0.15162519268812247,0.11828167604049258,0.18982376928622266,0.07966777878815672,0.061638299787426576,0.05445387710062792,0.10061122014154085,0.06131452247422929,0.10147100806880949
-71,0.14067079613890024,0.13764458253174677,0.11507623142166838,0.06319461239378629,0.06777370067778733,0.1646148174481116,0.12674710906113743,0.1952552809176083,0.08328769105433319,0.0664854612782926,0.05995360996242427,0.10534191862384101,0.06282489380893755,0.10683620810142884
-70,0.14386711781886669,0.1367661388336848,0.11627139396494532,0.06599794923054333,0.06743655610188647,0.1731544473505471,0.12305587731130985,0.19129091876624973,0.07710161730699502,0.06924899155202091,0.06292337994342175,0.10305465564416079,0.06196326447683449,0.1070871006385743
-69,0.1458253546612631,0.13680158006005677,0.11718456619615802,0.07033303057617499,0.0665084960116932,0.180594581804874,0.11981890560270876,0.18519352547199455,0.07055048815034971,0.07388115340593782,0.06699348516470296,0.10072947373515492,0.06109007423640892,0.10734651654442139
-68,0.1466311691241739,0.13751045331158887,0.11782503343485147,0.0750528095915867,0.06533893797071824,0.18606177525097556,0.11779850497954251,0.177203809098393,0.06476214340765728,0.08031117519937143,0.07206569525721204,0.09767885292056237,0.060249715157486484,0.10757615959262462
-67,0.14633602282169006,0.13790508902869145,0.11829255141883828,0.07823443066736194,0.06390646842985177,0.18947132877587736,0.11682743034937504,0.16774296299670405,0.06049988709633712,0.08807648784815912,0.0770914866143563,0.09367063258131605,0.0595608383667563,0.10750889361502422
-66,0.1465360008697641,0.13683073064380152,0.11901148164561645,0.08005053096313207,0.06229474147193672,0.19134387375463918,0.11732508944272693,0.15738548560060509,0.0575771834235521,0.09656611378482247,0.08205026070025347,0.08897330652868042,0.059160557139421775,0.10731579661299634
-65,0.14724819896470248,0.13372374718902966,0.12111846403545623,0.08067556444566104,0.06047302666059108,0.19173453243305702,0.11823590599829673,0.1467556501451303,0.055223536108119274,0.10443030022498008,0.0868787478321768,0.08374924743363879,0.05927357024049242,0.10688619167010247
-64,0.148401048201722,0.12859616552671727,0.12509510778911176,0.08007807357923673,0.058812936865472856,0.19193491508482988,0.11896500835733019,0.13582082763737055,0.05461281224205028,0.11179695877916715,0.09186261100712442,0.07820593652439983,0.05931747592332637,0.10642306750137377
-63,0.14970401614742698,0.12167167354683321,0.12948097017591761,0.07804540525370354,0.057338542904360947,0.19247484037083795,0.11940420311993125,0.12471601918262462,0.05507744220411841,0.11798123453267054,0.09729045549971446,0.07307923636396543,0.05980075815574952,0.10585113826598881
-62,0.1507365628534167,0.11385238635179137,0.1316893831063661,0.07495102503950045,0.05582808743787289,0.19293210097018662,0.11885368799263576,0.114407623567127,0.05616649623932414,0.12335848401115719,0.10320437254683745,0.06953869889690502,0.06066901817474735,0.10509137901445141
-61,0.1521061118952573,0.10588035591634608,0.13164069884440927,0.07251659719228824,0.054616195395461295,0.19307532219047552,0.11741718650742991,0.10597145693031926,0.05856547640157835,0.12796120862387983,0.10971641120433735,0.0677886903521596,0.06206344166840407,0.10456301177864202
-60,0.15358073839967776,0.09734352700660494,0.1294384523613889,0.07095067778504649,0.05357952813983012,0.19357955061136412,0.11594761693142923,0.09953415178335165,0.06094961158960951,0.13093730071094006,0.11679361664029249,0.06801979614024453,0.06353523812200643,0.1041684466324451
-59,0.15320780886120472,0.08812668178400776,0.12636127737888814,0.07055439783904742,0.05266699437582617,0.19418951788920097,0.11532708678445461,0.0948432924256936,0.06324144331988896,0.13294273138154006,0.12507107545679913,0.06944129583183335,0.06575345140780918,0.10397900421047646
-58,0.15055144684099758,0.08005478431544014,0.12321730664065729,0.07104783010906038,0.05231999409999392,0.19438563718205643,0.1155435836117292,0.09219971876494923,0.06571823867853192,0.13421584645508045,0.13540039850275748,0.07125519995795622,0.0688981989500225,0.10421601416224867
-57,0.14578027055820264,0.07386830848480574,0.12016484705149152,0.07174472612748384,0.05228321635022313,0.19311754255468608,0.11645015068383664,0.09013909478034195,0.06895156714705916,0.1355933845050094,0.14641484350217998,0.07260447903601494,0.07257075706584545,0.10459101444978311
-56,0.13930998172761028,0.07024656635989494,0.11736670160412141,0.07339514364702233,0.05239614365348026,0.19032823457445464,0.11932064927262032,0.08801833700350839,0.07260975194582357,0.13788224241486816,0.15572202138114394,0.07383758128344203,0.07590155609398089,0.10510268545861316
-55,0.1315264144152508,0.06941519108820916,0.11548666607201874,0.07616695339056279,0.05269917765328106,0.18585650085469363,0.12521118981980306,0.08676686230191219,0.07680929171329726,0.14145590257340568,0.16338054454284814,0.07481883254798205,0.07799491524601168,0.10596834170917512
-54,0.12261694935484384,0.07119017868320289,0.11404387751565767,0.07928031057185649,0.05296852148136756,0.17994178503064637,0.1309201323018617,0.08633796636120512,0.07993796970203211,0.14544753850092212,0.16966618206698514,0.07547775517482279,0.07887199852960355,0.1066693204057698
-53,0.11486170151946591,0.07545432560084184,0.1124871025742559,0.08279284732239846,0.0528203806547156,0.1736590121951871,0.135157514799684,0.08538126171676268,0.08038361999422973,0.14959522741823808,0.17574278075379512,0.07597032128371631,0.07992273995242656,0.10724837198351672
-52,0.10965134651661887,0.08163006379006973,0.11083459777996756,0.08623749371426606,0.053386659321367866,0.1671705189899823,0.1373728658081084,0.08439892114323391,0.07842003336364696,0.15292018181411007,0.18174831232889122,0.0762755000663031,0.08134336218244154,0.10779921975530829
-51,0.1067517553339766,0.08900403493122319,0.1087570609561594,0.08782634692437043,0.05579373603986372,0.16051106493046435,0.13699715595064504,0.0850192811002634,0.07546774092266227,0.1553561730658349,0.18703555608166217,0.07627215193493345,0.0832947341917176,0.10831436864336741
-50,0.10608811047464048,0.09679368784124945,0.10581197254994039,0.08760212757650285,0.059671873040527165,0.1536335160430935,0.13511113193060695,0.08778346382103523,0.07354080298105901,0.15625379854675406,0.191494147526958,0.07594531679659314,0.08594604630317658,0.10889815349477974
-49,0.10713530503937925,0.10335160865891797,0.10180233940483063,0.08544816336744698,0.0650408325665936,0.14725694725901511,0.13251610843734707,0.09245874623964664,0.07297717940054686,0.1553865656983562,0.1950218769800383,0.07587837206031825,0.08922796155874951,0.10950015435932202
-48,0.1096511471703582,0.10839257164568847,0.09670367566696883,0.08188888236439765,0.0716237798071343,0.14143679139016035,0.12916460369478236,0.09915370520073559,0.07339364604520328,0.15302744924513328,0.1969085277857577,0.07666734017676649,0.09295422448524163,0.11007433420602525
-47,0.11245698071472729,0.11232446665434832,0.09047318698016467,0.07840445852666023,0.07947220137004593,0.13585814100177096,0.12479206080199534,0.10745687347416692,0.0748235322993378,0.14950959218302723,0.19723378574154826,0.07837694660426406,0.09689641575612044,0.11062143400832135
-46,0.11243787178891276,0.1156883274969823,0.08617372568214685,0.07516851035147423,0.08805832011484273,0.13026779995349003,0.1196867985976536,0.11669999333911643,0.07748745763746213,0.1454637070305999,0.19572114173210794,0.08069542799107368,0.09976988592671263,0.11102453597250578
-45,0.10964726497992887,0.11929759132530149,0.0839459308164207,0.0724082223674827,0.09706287570814455,0.12562635561727106,0.11505669974442563,0.1261933927755571,0.08199789336314113,0.14222537671718596,0.19258829061122715,0.08390260327462336,0.10135694809466593,0.11163918810733657
-44,0.10489932435932654,0.12380184843391855,0.08332733097194625,0.07016798210846742,0.10632603435834545,0.12175986110316075,0.11146760940705791,0.1361643949574046,0.0862870409552512,0.13981174119021442,0.18793914309644116,0.08858627144374309,0.10259119009306497,0.11254844403679556
-43,0.09946929189758491,0.129186072966235,0.0843919666388311,0.06907185779077091,0.1161549960996768,0.11827951648742534,0.10922748632708634,0.146334641544696,0.08897235220767878,0.13792009071347905,0.18256251463837697,0.09350529374010587,0.10364509234000804,0.11374778256861194
-42,0.09369962840812425,0.13526630875401058,0.08760247976060868,0.0696696682729687,0.12604457812023695,0.11438138571277104,0.10902590117670852,0.15575473834655879,0.08988028924729947,0.1358397354401888,0.1765976275971029,0.09765829324253703,0.10400529793336681,0.11503276400096017
-41,0.08757897904182958,0.1414163957170524,0.0929848771474307,0.07005317646008494,0.13472451383819112,0.11100876125794998,0.11036283640222189,0.16329822636221258,0.08926790466506847,0.1332798032170413,0.17072156914523468,0.10096670506405711,0.10351721148771853,0.11609084306200715
-40,0.08185895356541664,0.14784386108857536,0.09995681949579042,0.0697443349189302,0.14263493553383058,0.10905157471514362,0.11234855621254733,0.16943486626031734,0.08843874502242151,0.13057860216045955,0.1647027983323751,0.10369542347868506,0.1026229770236358,0.11714711136985603
-39,0.07826304560920957,0.15455143576144104,0.10758344827111073,0.06838480777547812,0.149917897923954,0.10832748755863857,0.11411896969771781,0.1742615776166166,0.08703107472549751,0.12712443573486204,0.1578851458797268,0.10648887115801975,0.10108042156791833,0.11807835532924543
-38,0.07703202694891509,0.1587410921886197,0.11473795453822237,0.06644639884106972,0.1565525797806293,0.10892521432754484,0.11507584793633771,0.17763762609458603,0.08539678254425583,0.12257395750201157,0.15011625089799613,0.10991395595460526,0.09932544740024093,0.11865193345807956
-37,0.07807385351628063,0.16084549643543786,0.12131433715685029,0.06579335351457073,0.16276531182036844,0.11091257836470803,0.11488227215923522,0.18065021194359057,0.08379883054746626,0.11863213746078254,0.14186243194078846,0.11307670451416454,0.09772275912591617,0.11925617526924305
-36,0.08036962088293108,0.1612090621326639,0.127343240471179,0.06557027255973266,0.16852726316278283,0.11428041233587424,0.1133828599977337,0.18362606830763029,0.08243376127976945,0.11603577027940778,0.1334181536398164,0.11527611538469576,0.09619624860909934,0.11982068069563973
-35,0.08373314259743576,0.1600097946600932,0.13264702899999448,0.06561436526365674,0.17364779877469097,0.11873942675354907,0.1107970496277472,0.18566447358707078,0.08191769620201048,0.11421084057020947,0.1243803251780927,0.11693017071907871,0.09574623796030327,0.12031064237645638
-34,0.08827416137173498,0.15763919549390243,0.13743989769404122,0.06692466692463803,0.17778954143541004,0.12383736244694518,0.1071885749915547,0.1865975443022603,0.08336307756816125,0.11338255051852124,0.11519690038697403,0.1182097858251265,0.09601324223033261,0.12091203855304636
-33,0.09195575343989064,0.15465522834879333,0.14211475334713278,0.06924107695849131,0.18078776357502885,0.12867930996456978,0.10222133623652888,0.18764673370842863,0.08650270190811254,0.11304246579084598,0.10587196457487986,0.11910022812632977,0.09692044197926608,0.12144151984294603
-32,0.09350830209636908,0.15103575753846846,0.14703119953377267,0.0718029150811611,0.182389182464266,0.13458209406194394,0.09673588410461643,0.1884033850246837,0.09147843898595812,0.11344388155377871,0.09672235669909403,0.11976381004651242,0.09817605340086108,0.12192871235319121
-31,0.09294496181564685,0.1467400043783571,0.15188213192719863,0.07490942777433315,0.1825882229542955,0.14205382721960633,0.09198291067149142,0.1867126585226721,0.0971394544008174,0.1143199858263041,0.08883019390061236,0.12062722695500358,0.09946953267048676,0.12232311838590965
-30,0.09128081384055765,0.14111041534971458,0.15771041789024368,0.07853744689872522,0.180920588156358,0.15088608787995822,0.08858901380144937,0.1824688208668333,0.1019218480074012,0.11540372511804904,0.0822303093273173,0.12099061257756775,0.09985144665458695,0.1224539651052894
-29,0.09043381487483634,0.13513316175645512,0.16514123893345037,0.08285019950663565,0.1768864255922122,0.16169924762719884,0.08689029141508191,0.17587644124105897,0.10533722443932807,0.11714443877374343,0.07670829611404319,0.12054677115410013,0.0993099149673275,0.1226121127996517
-28,0.09052817991441561,0.12904169366041174,0.1741298776748112,0.08714602980350095,0.17111214792186175,0.17484920962842387,0.08704743729369517,0.16698433482707492,0.10789814214455118,0.11912942678535388,0.07295931640690462,0.11915574934031314,0.09788086376419793,0.12291249301273198
-27,0.09172003775006407,0.12351151400732222,0.18376917784544755,0.09055753843041034,0.16377777596138357,0.1900090980146747,0.08868719692639786,0.15705848810104803,0.10985689230422177,0.12078265997460244,0.07121672306605832,0.11690578804164808,0.09588003214962111,0.12336407096714616
-26,0.09454564334014044,0.11931323451946756,0.19076044438896286,0.09292072848851834,0.15487150802055308,0.20685236766804146,0.09181838023267344,0.14715602571855813,0.1111462382607076,0.1219459405703593,0.07094239517355179,0.11413491483680915,0.09454210925615444,0.12391922542111519
-25,0.09846429920320085,0.11635746788061621,0.19447943376911733,0.09396017815562618,0.1459142904132193,0.2246416478364281,0.09612610242567739,0.13779197783573627,0.11096694388938497,0.12277075476392954,0.07185992344323532,0.11079687035244776,0.09261533403962377,0.12436501723140332
-24,0.10204674127216551,0.11421246622669926,0.1953562755282655,0.09569532529175044,0.13688780189749258,0.24271227219084585,0.10157926828283952,0.12875747261403758,0.10964729712901411,0.12292566827406101,0.07391820953700702,0.1065413371760415,0.08974618518837908,0.12461740927758454
-23,0.10413810208087973,0.11333614805388334,0.19366754838662645,0.0993229377379233,0.12758656133854407,0.25993442976712844,0.10783043505505545,0.12046085412291625,0.10705765454996981,0.1219822084891573,0.0769410421459363,0.10203657644423791,0.08647750118832366,0.12467476918158324
-22,0.10506088445425865,0.11389791897086643,0.189488034432887,0.10366439487853092,0.11902174144963454,0.27631472957540454,0.11396531427860615,0.11332269957185984,0.10372588208658864,0.12031640266591057,0.08095025336075844,0.09691006130569531,0.08347972151321711,0.12462446450340138
-21,0.10472474008379837,0.11581372735713313,0.18345539099220334,0.10907959509423437,0.11239035689790104,0.2903642225994187,0.11968610577881125,0.10753241915630798,0.10091630093031437,0.11868338168711486,0.08532680167661637,0.09113089014658485,0.08153093645233538,0.12466422068098262
-20,0.10241722044157256,0.11906986578335024,0.17669879762285404,0.11558128462628373,0.10717093755875591,0.30137455427178594,0.1249149720469489,0.10252119643871235,0.09903417823419267,0.11767129476616418,0.0904753750909073,0.08427932080703358,0.08103757076286282,0.12478819757318647
-19,0.09963158615031498,0.12342462991677472,0.1705948648285624,0.12294904826699579,0.1031643686948834,0.3094634471174921,0.12931913823261945,0.09832860359362802,0.09832871579260631,0.11760022644075183,0.09711449241824063,0.07727255100943022,0.08205892958996182,0.12532696938863552
-18,0.0973308715579839,0.12854105660554307,0.16494528835418815,0.13113555815005487,0.10057674292790977,0.314612851547603,0.13302504033443957,0.09475936492067488,0.09878248472558233,0.11911327341847591,0.10468509588336725,0.07008023469398142,0.08419384431720642,0.12629090057207773
-17,0.09598677023652322,0.133683691421496,0.15938149519370315,0.1394390610991959,0.09883389856210455,0.317619070531495,0.1367018556306197,0.09209515996688386,0.09998362742516927,0.12112788000282895,0.11296775697133932,0.06406821737080369,0.08643334020822575,0.1275632172784914
-16,0.09670909053814389,0.138698744700468,0.15395247292179984,0.14747440513821058,0.096783953819151,0.31807073051946333,0.14042184740712976,0.09112027307017337,0.10228447411627524,0.12314205810797325,0.12193178185151801,0.06010405171294582,0.08889901440972012,0.12919945371638247
-15,0.09938838203396742,0.14372953549122985,0.14863317483235333,0.15421846731086514,0.09465574678581715,0.3161781532810624,0.1441785551483891,0.09268603235494,0.10527764448219434,0.12547219809849341,0.1317611766592986,0.058037609808961776,0.09076093703004703,0.13115212410135535
-14,0.10296839610254398,0.1488459180056454,0.14393156697088444,0.15932411488860973,0.09269656402696651,0.31225423420915843,0.14782525342144712,0.09706560779081556,0.1086714071831583,0.12739923268603315,0.14207836556670383,0.057688352555019896,0.09243980078594169,0.13332221647637904
-13,0.10675525843543325,0.1534362491945429,0.13998760418716272,0.16314189161587853,0.09113233315971726,0.30696860345528815,0.15167445311364244,0.10330799618498979,0.11240799665152217,0.1287483338627146,0.15245490697565706,0.05886263408388298,0.09384447299532325,0.13559405645505807
-12,0.11072508378825456,0.1570076333998405,0.13651071072693516,0.16625675727400693,0.08932667666076771,0.2993048717601247,0.15564055403254512,0.1115019254038359,0.11588098234836401,0.13033998376745548,0.1620558265326814,0.061074241240082115,0.09477532883779147,0.13772312121328348
-11,0.11476015722200869,0.15954888764423258,0.13353922505028,0.1682837279681839,0.08663234315040325,0.28904101965048257,0.15930862090926456,0.12189749638714878,0.11897542691837548,0.13270599046906137,0.16991694756324635,0.06359081803414564,0.09526646146967213,0.13949747095665427
-10,0.11762692634088893,0.16175917431326134,0.13066937592174824,0.16934204787828935,0.0837618538356875,0.2767799579330498,0.16224257388038962,0.13432015591355015,0.12199307693525689,0.1361631055794013,0.17527119127485274,0.06728320702744871,0.09559783660583414,0.14098542180305065
-9,0.11890706087555189,0.16377749844893735,0.12738201537965405,0.16950632712240193,0.08120411963476466,0.26220030255672305,0.1644534750466844,0.14816997425707062,0.12490314870412525,0.14049181376189374,0.1787027551111995,0.0721209513056044,0.09518435618509899,0.1420772152607469
-8,0.11895786113659693,0.165939428680544,0.1239977234565299,0.16902663628410408,0.07933918036443538,0.24548165614260395,0.16628395092663856,0.16289791626081854,0.1277218519777395,0.14511478327425037,0.1806527280413197,0.07839881708423735,0.093654246976292,0.14288206004662385
-7,0.1182707401304969,0.16704630260984385,0.12119501652350935,0.16917572924109672,0.07882201406869523,0.22788355828367607,0.167520443220276,0.17708621828805432,0.1305790936693232,0.1499494411501784,0.1812058671721865,0.08592729923011014,0.09140002056223337,0.1435432110884369
-6,0.11684734690228644,0.16606751512779777,0.11882511018821662,0.17065060616733313,0.07953180776993315,0.209865382043711,0.16849480235571698,0.18982923045120495,0.1326983011834133,0.15499305116463707,0.1811118243658691,0.09430343495965779,0.08830249040422303,0.143963146391077
-5,0.11568542370206361,0.16255928630166536,0.11703370592177365,0.173827355837595,0.08008553277235626,0.19154525773952175,0.16969707908990003,0.20071433250877324,0.1351682464332305,0.160297694633801,0.18079023475871941,0.10357937122217978,0.08570822099521776,0.144360903224369
-4,0.11574135607456484,0.15670604353261036,0.11582713459591328,0.1767450041734929,0.08019471429816669,0.17246159245260925,0.17108040053629725,0.21005812928300288,0.13817034824552432,0.16619449494982444,0.180367546853263,0.11348960741770475,0.0841621495052782,0.14470757860909633
-3,0.1167225968785306,0.14967085165355648,0.11507350998410423,0.177688451987069,0.07989661965901948,0.15313499459699556,0.17275476580460142,0.2184295846138428,0.1415322950825258,0.17330069303552004,0.17907320196433912,0.12308459373839994,0.08357856119757205,0.14491851693815974
-2,0.11823667105241546,0.14217312162805243,0.11466270209329257,0.17669604927830365,0.07864881443102292,0.133966162972391,0.17483750450326532,0.2261916305410862,0.1449096902619791,0.18080118229169173,0.17567448473456965,0.13249827797226651,0.08368836762253752,0.1448449737986826
-1,0.1202360617583361,0.13435705592861308,0.11429534457821729,0.17337716336607742,0.07625149276942875,0.11607869442965897,0.1773481292466202,0.234314700859832,0.14772554438960947,0.1880501644307852,0.17033352956086173,0.14181856098955095,0.08357695572405636,0.14444333831012673
0,0.12319572500740099,0.12631272836087937,0.1131086636030328,0.16762178970301078,0.07288028248898118,0.10028711407462616,0.17968582738196798,0.24227284597351054,0.14950753478723047,0.19463165679270164,0.1650528141203275,0.1512681816497805,0.08286410142356582,0.14374532810515508
1,0.12565631681981052,0.11823610476110671,0.11044691852846408,0.15933535139542712,0.06847261503160967,0.08678989483458302,0.18157046378775474,0.24915501588070194,0.1501941655125418,0.20026383002043766,0.1610374838327299,0.15980311729849275,0.08144341615369292,0.14249266875825792
2,0.12646399272158715,0.1114597184257559,0.10715669554433246,0.14866474707561925,0.06273223719102919,0.07550961347142936,0.18313501972583074,0.2543526707542193,0.14974214805245287,0.2045951497952781,0.15910489984460952,0.16675272693533222,0.0790154879456754,0.14066808519101165
3,0.12498550732724079,0.10604632161292475,0.10377383222141161,0.1367746608460625,0.05655531090105823,0.0652867351592721,0.18437628989381957,0.2570626280468108,0.1474756744643245,0.207283821112462,0.15877341380662174,0.17118399269647483,0.07640126852516774,0.13815226589335777
4,0.12117725098324868,0.10165609783717725,0.10066393204658494,0.12534543324061315,0.051496377672242154,0.0562055305107669,0.18443975985346922,0.2567879093003934,0.1436622811977831,0.20796381949569992,0.1595530833843955,0.17279621540902015,0.07394439713927534,0.13505323754389764
5,0.11565869410881265,0.09833623834895386,0.09818583447465173,0.11567345299039926,0.047704337885237744,0.048592615896330967,0.1826585118400454,0.2534184472976276,0.13884350436527296,0.20609976811188088,0.1610275846215551,0.17158899289156498,0.07104156513008712,0.13144842676634
6,0.11015071753669885,0.09516288135038815,0.0965280307863922,0.10785149763542382,0.04534079628522956,0.04289358769660459,0.17874947748571723,0.24653528093566912,0.1337990706984667,0.2024785955552054,0.16286743658402497,0.1674443384262092,0.06717481275722137,0.12745973259486545
7,0.10557852652905804,0.09222230116065692,0.09548690828691529,0.10161195753888252,0.04423773871287877,0.03943482573314881,0.1724895464188812,0.2365155863142298,0.12873174669158963,0.19811848444209593,0.16530306622803306,0.16150648620823596,0.06295548211996692,0.12339943510650561
8,0.10201540378083837,0.0901015973581604,0.09489326753618056,0.097033218648609,0.045256745905383935,0.03842189424613966,0.16721415107966964,0.2237307672179925,0.12349662018009214,0.1930484617863583,0.168558899241072,0.15529903698657183,0.059485550054148004,0.11988889338624742
9,0.09913569625076131,0.08887055742121862,0.09453233686732238,0.09412053372259041,0.04832893877559315,0.03950262706601494,0.1641610632335977,0.21054929367106673,0.11869785181785945,0.18747534912430144,0.1729907812202755,0.14933913063860382,0.057343317374159666,0.1173113443987204
10,0.09742476794225904,0.08862089399428089,0.093175066987668,0.09248189832647606,0.05306344646623815,0.04238221707816752,0.16307119362638395,0.197009725007917,0.1144717746690836,0.1814504226485007,0.1789136224232622,0.14374197629162064,0.05676080393074262,0.11558213918404615
11,0.09683839306572958,0.0895336440551435,0.09122820434545001,0.09126075901265816,0.05935570145951937,0.04616713606118873,0.16370781101264503,0.18294539316470304,0.11099610639045598,0.1750333133670919,0.18528487052158274,0.137795830372964,0.05784807458024756,0.11446117210841383
12,0.09723136730971761,0.09108419318222324,0.08889990921242037,0.08992183302767523,0.06619307815647892,0.05030350363549292,0.1654801776994028,0.16848546161122374,0.1081300056489978,0.16897187241947842,0.19118470927918502,0.1308549280289353,0.06111676299543848,0.11368136940051306
13,0.09817764065183963,0.09325161178510374,0.08603031883375449,0.08834172245769342,0.07267479501692678,0.05441290909390376,0.16925978442544992,0.15460081655760632,0.10480444595050897,0.1640585719541583,0.19595813559514985,0.12294840592983998,0.06618453982666479,0.11313105369835384
14,0.09944144540369168,0.09667691218035054,0.08247701781452982,0.08634931542381172,0.07887029569546535,0.057934804963467326,0.17412541792242037,0.1420024489638242,0.10128563794643206,0.15952573096345496,0.19933599538218735,0.11439311632128568,0.07296701530196217,0.11272193494483718
15,0.1001060411221613,0.10139913988715159,0.0787729557935077,0.08359646991589491,0.0849113798183363,0.060040693908662804,0.17894846098481781,0.1307716924663451,0.09707530253455865,0.15467388713721683,0.20152212587290697,0.10587627789564583,0.08050817992138991,0.11216943132758428
16,0.10021721170527738,0.10675539862106775,0.0748218919998587,0.08036820570119696,0.09025829800180807,0.05977432831570996,0.18233773403224304,0.12057391388044691,0.09219558203006714,0.14924660466581133,0.20242946659198027,0.09744265478468488,0.08830203978744093,0.11113256385519951
17,0.10005772837604035,0.11135714511395545,0.0707941833753997,0.07716072626475733,0.0951995262133726,0.058970283634766585,0.18416528561301643,0.11089692820333648,0.08697665904162433,0.14349497118476426,0.20285338094431798,0.09018686726032618,0.09628809232480076,0.10987705981157526
18,0.09954532944630509,0.11463793793601731,0.06839552519505764,0.07426494514773486,0.09945312338933002,0.060829878446821486,0.1841909250466553,0.10171343021052015,0.08257964820837943,0.13835460074707595,0.20430562034691943,0.08423251102349592,0.1045224212439058,0.10900199202986292
19,0.09905575662123775,0.11722088067704481,0.06713157171119591,0.07206533366293685,0.10290088057606117,0.06573906714973575,0.1829124578306989,0.0925461012615495,0.0787468944071393,0.13413174401717376,0.2064040595914105,0.07975526679943942,0.11293624106463185,0.10858048118232735
