,TSS_7::NC_013691.1:18031-18231(),TSS_8::NC_013691.1:35174-35374(),TSS_9::NC_013691.1:39276-39476(),TSS_10::NC_013691.1:66501-66701(),mean
-56,5.779999999999999,5.284999999999999,6.114999999999999,5.99,5.792499999999999
-55,5.72,5.5,5.895,6.015,5.7825
-54,5.984999999999999,5.495,5.734999999999999,6.1000000000000005,5.82875
-53,6.1,5.415,5.83,6.0,5.83625
-52,6.2299999999999995,5.285,5.945,6.029999999999999,5.8725000000000005
-51,5.9399999999999995,5.5600000000000005,6.135,6.0600000000000005,5.92375
-50,5.8950000000000005,5.5600000000000005,6.18,5.880000000000001,5.87875
-49,6.005,5.51,6.175,5.87,5.890000000000001
-48,6.01,5.529999999999999,6.235,5.7700000000000005,5.8862499999999995
-47,5.79,5.51,6.3,5.615,5.803750000000001
-46,5.904999999999999,5.5600000000000005,6.475,5.46,5.85
-45,5.88,5.56,6.43,5.375,5.811249999999999
-44,5.909999999999999,5.335,6.42,5.62,5.82125
-43,6.09,5.735,6.404999999999999,5.43,5.914999999999999
-42,6.17,5.6049999999999995,6.235,5.734999999999999,5.936249999999999
-41,6.5200000000000005,5.5,6.09,5.95,6.015
-40,6.414999999999999,5.4350000000000005,6.06,5.92,5.9575
-39,6.1049999999999995,5.385,5.845,5.87,5.80125
-38,6.18,5.46,5.79,5.845000000000001,5.81875
-37,6.055,5.235,5.79,5.88,5.739999999999999
-36,5.715,5.235,5.720000000000001,5.505,5.54375
-35,5.834999999999999,4.995,5.465,5.529999999999999,5.456249999999999
-34,5.3549999999999995,5.025,5.4350000000000005,5.505,5.33
-33,5.235,5.175,5.56,5.53,5.375
-32,5.15,5.285,5.4399999999999995,5.48,5.33875
-31,5.444999999999999,5.255,5.17,5.53,5.35
-30,5.334999999999999,5.069999999999999,5.17,5.95,5.38125
-29,5.33,5.165,5.095000000000001,5.895,5.37125
-28,5.385,5.1450000000000005,5.37,5.8149999999999995,5.428750000000001
-27,5.34,5.119999999999999,5.4350000000000005,5.835,5.4325
-26,5.45,4.984999999999999,5.415000000000001,5.9,5.4375
-25,5.505000000000001,4.85,5.49,5.895,5.4350000000000005
-24,5.595000000000001,5.225,5.585,5.705,5.5275
-23,5.55,5.154999999999999,5.68,5.725,5.5275
-22,5.425,5.205,5.5,5.465000000000001,5.39875
-21,5.14,5.205,5.425,5.225,5.248749999999999
-20,5.22,5.2299999999999995,5.59,5.205,5.311249999999999
-19,5.499999999999999,5.1850000000000005,5.515,5.325,5.38125
-18,5.555,5.205,5.485,5.319999999999999,5.39125
-17,5.395,5.4799999999999995,5.534999999999999,5.06,5.3675
-16,5.574999999999999,5.29,5.49,5.175,5.382499999999999
-15,5.355,5.18,5.965000000000001,5.125,5.40625
-14,5.57,5.18,5.970000000000001,4.995,5.42875
-13,5.6899999999999995,5.3149999999999995,5.6850000000000005,5.069999999999999,5.4399999999999995
-12,5.705,5.3100000000000005,5.58,5.1,5.42375
-11,5.635,5.44,5.78,4.84,5.42375
-10,5.46,5.655,5.7700000000000005,4.595,5.37
-9,5.24,5.535,5.92,4.84,5.38375
-8,4.945,5.534999999999999,5.76,5.0649999999999995,5.32625
-7,5.04,5.75,5.58,4.965,5.333749999999999
-6,5.069999999999999,5.855,5.35,4.65,5.231249999999999
-5,4.81,5.705,5.32,4.585,5.105
-4,4.744999999999999,5.73,5.2,4.585,5.065
-3,4.5649999999999995,5.61,5.08,4.425,4.92
-2,4.61,5.665,5.11,4.654999999999999,5.01
-1,4.735,5.88,4.8950000000000005,4.575,5.02125
0,4.51,5.85,4.945,4.34,4.91125
1,4.49,5.615,5.1,4.319999999999999,4.88125
2,4.26,5.284999999999999,4.924999999999999,4.51,4.744999999999999
3,4.365,5.23,4.715,4.615,4.73125
4,4.46,5.58,5.07,4.675,4.94625
5,4.395,5.74,4.91,4.7299999999999995,4.94375
6,4.470000000000001,5.665,4.885,5.06,5.0200000000000005
7,4.35,5.705,5.15,4.785,4.9975000000000005
8,4.09,5.75,5.325,4.975,5.035
9,4.09,5.575,5.244999999999999,5.13,5.01
10,4.2,5.545,5.165,5.16,5.0175
11,4.22,5.619999999999999,5.095000000000001,4.970000000000001,4.97625
12,4.64,5.595000000000001,5.11,4.79,5.0337499999999995
13,4.64,5.405,5.1899999999999995,4.79,5.00625
14,4.5600000000000005,5.4799999999999995,5.465000000000001,5.22,5.1812499999999995
15,4.805000000000001,5.715,5.534999999999999,5.465,5.38
16,4.825,5.5649999999999995,5.635,5.43,5.36375
17,5.1049999999999995,5.535,5.83,5.285,5.43875
18,5.22,5.535,6.084999999999999,5.055,5.473749999999999
19,5.1899999999999995,5.07,6.119999999999999,5.135,5.37875
20,5.235,5.125,6.165,5.37,5.47375
21,5.234999999999999,5.405,6.115,5.54,5.57375
22,5.39,5.665000000000001,6.365,5.415,5.70875
23,5.465,5.694999999999999,6.765000000000001,5.569999999999999,5.87375
24,5.465000000000001,5.4799999999999995,6.685,5.595000000000001,5.80625
25,5.465000000000001,5.404999999999999,6.575,5.76,5.80125
26,5.325,5.405,6.385,5.725,5.710000000000001
27,5.3549999999999995,5.085,6.185,6.005,5.6575
28,5.6850000000000005,5.119999999999999,6.359999999999999,6.005000000000001,5.7925
29,5.74,5.369999999999999,6.34,5.805000000000001,5.81375
30,5.6899999999999995,5.57,6.1049999999999995,5.93,5.8237499999999995
31,5.665,5.7700000000000005,6.279999999999999,6.029999999999999,5.936249999999999
32,5.455,5.970000000000001,6.4399999999999995,6.01,5.96875
33,5.295,6.145,6.43,6.49,6.09
34,5.395,6.3,6.44,6.555,6.1725
35,5.4,6.43,6.425,6.385,6.16
36,5.305000000000001,6.3549999999999995,6.115,6.455,6.057499999999999
37,5.25,6.419999999999999,5.7299999999999995,6.630000000000001,6.0075
38,5.195,6.359999999999999,5.505,6.7299999999999995,5.9475
39,5.275,6.584999999999999,5.779999999999999,6.795,6.108750000000001
40,5.295,6.425,5.659999999999999,6.890000000000001,6.0675
41,5.115,6.404999999999999,5.425,6.7,5.91125
42,5.135,6.225,5.35,6.615,5.831250000000001
43,5.115,5.945,5.175,6.385,5.654999999999999
44,5.04,5.915,5.075,6.635,5.66625
45,5.220000000000001,5.97,5.175,6.475,5.710000000000001
46,5.36,6.02,5.575,6.36,5.828749999999999
47,5.225,6.3549999999999995,5.475,6.33,5.8462499999999995
48,5.1,6.49,5.155,5.885,5.657500000000001
49,5.195,6.1850000000000005,5.17,6.1899999999999995,5.6850000000000005
50,5.3950000000000005,5.88,5.5,6.07,5.71125
51,5.375,5.895,5.39,6.0,5.665
52,5.415,5.845,5.369999999999999,5.865,5.623749999999999
53,5.765,5.36,5.125,5.715,5.49125
54,5.765000000000001,4.88,5.245,5.715,5.40125
55,5.4399999999999995,4.5200000000000005,5.15,5.819999999999999,5.2325
56,5.415,4.3149999999999995,5.359999999999999,5.93,5.255
57,5.470000000000001,3.995,5.514999999999999,5.785,5.19125
58,5.525,4.08,5.305,5.890000000000001,5.2
59,5.615,4.1850000000000005,5.175,5.825,5.2
60,5.84,4.115,5.195,5.775,5.23125
61,5.9399999999999995,4.115,5.265,5.8100000000000005,5.282500000000001
62,6.119999999999999,4.07,5.225,5.85,5.31625
63,6.185,4.545,5.215,5.9799999999999995,5.48125
64,6.265,4.615,5.395,5.53,5.45125
65,6.145,4.655,5.404999999999999,5.55,5.43875
66,6.11,4.630000000000001,5.165,5.39,5.32375
67,6.2700000000000005,4.55,5.135,5.3149999999999995,5.3175
68,6.135,4.130000000000001,5.1049999999999995,5.535,5.22625
69,5.875,4.205,5.04,5.52,5.16
70,5.775,4.35,5.029999999999999,5.709999999999999,5.21625
71,5.87,4.24,5.069999999999999,5.404999999999999,5.14625
72,5.64,4.125,4.8,5.615,5.045
73,5.459999999999999,4.385,4.865,5.565,5.06875
74,5.47,4.665000000000001,4.735,5.325,5.04875
75,5.725,4.694999999999999,4.8100000000000005,4.925,5.038749999999999
76,5.805,5.125,4.735,4.8,5.11625
77,5.819999999999999,5.555,4.795,4.845,5.25375
78,5.68,5.6899999999999995,5.275,4.819999999999999,5.36625
79,5.61,5.58,5.595000000000001,4.795,5.395000000000001
80,5.66,5.505000000000001,5.615,4.994999999999999,5.44375
81,5.819999999999999,5.25,5.5649999999999995,5.17,5.45125
82,5.485,5.22,5.63,5.095000000000001,5.3575
83,5.590000000000001,4.95,5.64,4.865,5.26125
84,5.65,4.9399999999999995,5.58,5.119999999999999,5.3225
85,5.755000000000001,4.925,5.76,5.26,5.424999999999999
86,5.89,5.17,5.81,5.485,5.588749999999999
87,5.944999999999999,5.41,5.869999999999999,5.455,5.67
88,5.799999999999999,5.609999999999999,6.045,5.38,5.708749999999999
89,5.7299999999999995,5.615,6.04,5.555,5.734999999999999
90,5.680000000000001,5.4399999999999995,5.8,5.51,5.6075
91,5.385,5.265,5.695,5.655,5.5
92,5.765,5.319999999999999,5.720000000000001,5.654999999999999,5.615
93,5.545,5.54,6.1,5.41,5.648750000000001
94,5.5649999999999995,5.569999999999999,5.8549999999999995,5.49,5.619999999999999
95,5.34,5.91,5.875,5.715,5.71
96,5.335,5.955,5.99,5.665,5.73625
97,5.315,5.845,6.0,5.665000000000001,5.706250000000001
