,TSS_1::Pseudomonas_phage_phiKZ:12384-12584(),TSS_2::Pseudomonas_phage_phiKZ:73986-74186(),TSS_3::Pseudomonas_phage_phiKZ:114822-115022(),TSS_4::Pseudomonas_phage_phiKZ:117462-117662(),TSS_5::Pseudomonas_phage_phiKZ:160060-160260(),TSS_6::Pseudomonas_phage_phiKZ:187935-188135(),TSS_7::Pseudomonas_phage_phiKZ:265839-266039(),TSS_8::Pseudomonas_phage_phiKZ:266294-266494(),TSS_9::Pseudomonas_phage_phiKZ:266709-266909(),TSS_10::Pseudomonas_phage_phiKZ:269656-269856(),TSS_11::Pseudomonas_phage_phiKZ:271571-271771(),TSS_12::Pseudomonas_phage_phiKZ:271823-272023(),TSS_13::Pseudomonas_phage_phiKZ:273355-273555(),TSS_14::Pseudomonas_phage_phiKZ:273878-274078(),TSS_15::Pseudomonas_phage_phiKZ:277698-277898(),TSS_16::Pseudomonas_phage_phiKZ:280102-280302(),mean
-84,-0.948,-1.1239999999999999,-1.0773333333333333,-1.0486666666666666,-1.4093333333333333,-1.3606666666666667,-1.2793333333333332,-1.0826666666666667,-1.316,-1.364,-1.1246666666666667,-1.7233333333333332,-1.5919999999999999,-1.2593333333333334,-1.1526666666666665,-1.292,-1.2596250000000002
-83,-0.9486666666666667,-1.0946666666666665,-0.9933333333333334,-1.0073333333333334,-1.4093333333333333,-1.3406666666666667,-1.2833333333333334,-1.0959999999999999,-1.3739999999999999,-1.368,-1.0966666666666667,-1.6640000000000001,-1.5626666666666666,-1.2293333333333332,-1.1420000000000001,-1.2826666666666666,-1.2432916666666667
-82,-0.9953333333333333,-1.1239999999999999,-0.9946666666666668,-0.9873333333333334,-1.4173333333333333,-1.3106666666666666,-1.25,-1.088,-1.4366666666666668,-1.3793333333333335,-1.0353333333333332,-1.6593333333333333,-1.552,-1.1813333333333336,-1.1886666666666665,-1.2733333333333334,-1.2420833333333334
-81,-1.0033333333333334,-1.1386666666666667,-1.1053333333333335,-1.0073333333333332,-1.4173333333333333,-1.2546666666666666,-1.2420000000000002,-1.058,-1.4633333333333334,-1.378,-1.0433333333333334,-1.6146666666666667,-1.5473333333333332,-1.1813333333333333,-1.1686666666666667,-1.2693333333333332,-1.2432916666666667
-80,-1.0313333333333334,-1.15,-1.1239999999999999,-1.0406666666666666,-1.4173333333333331,-1.1706666666666665,-1.2420000000000002,-1.0393333333333332,-1.5113333333333334,-1.4153333333333333,-1.0166666666666666,-1.5319999999999998,-1.5246666666666664,-1.2,-1.1073333333333335,-1.2213333333333334,-1.234
-79,-1.058,-1.1700000000000002,-1.1039999999999999,-1.0606666666666666,-1.4173333333333331,-1.1506666666666665,-1.214,-1.0966666666666667,-1.5413333333333334,-1.4486666666666668,-0.9966666666666667,-1.506,-1.4686666666666666,-1.2480000000000002,-1.1353333333333333,-1.222,-1.239875
-78,-1.0846666666666667,-1.162,-1.1239999999999999,-1.0713333333333332,-1.4173333333333331,-1.1506666666666665,-1.214,-1.1,-1.5599999999999998,-1.4686666666666668,-0.9666666666666667,-1.506,-1.4206666666666665,-1.2280000000000002,-1.1886666666666665,-1.306,-1.2480416666666665
-77,-1.07,-1.2086666666666666,-1.1813333333333336,-1.082,-1.38,-1.1520000000000001,-1.1606666666666667,-1.0813333333333333,-1.5866666666666667,-1.5219999999999998,-0.9293333333333333,-1.5420000000000003,-1.4433333333333331,-1.1453333333333333,-1.1753333333333333,-1.3920000000000001,-1.25325
-76,-1.05,-1.2073333333333334,-1.153333333333333,-1.1433333333333333,-1.3893333333333333,-1.1720000000000002,-1.1406666666666667,-1.0826666666666667,-1.6426666666666667,-1.458,-0.9306666666666668,-1.598,-1.5213333333333334,-1.1186666666666667,-1.1833333333333333,-1.392,-1.2614583333333333
-75,-1.0979999999999999,-1.1246666666666667,-1.161333333333333,-1.135333333333333,-1.4186666666666665,-1.1139999999999999,-1.15,-1.0933333333333333,-1.7206666666666668,-1.411333333333333,-0.9506666666666667,-1.596666666666667,-1.5346666666666666,-1.0893333333333333,-1.2413333333333332,-1.328,-1.2605
-74,-1.154,-1.1353333333333333,-1.134666666666667,-1.1073333333333333,-1.4073333333333333,-1.1239999999999999,-1.15,-1.0933333333333333,-1.7246666666666668,-1.384666666666667,-0.9506666666666668,-1.57,-1.5353333333333332,-1.0253333333333334,-1.2613333333333332,-1.328,-1.2553750000000001
-73,-1.1913333333333334,-1.1646666666666665,-1.1346666666666667,-1.1073333333333333,-1.4293333333333333,-1.1239999999999999,-1.12,-1.1213333333333333,-1.6686666666666667,-1.3846666666666667,-0.9306666666666666,-1.5473333333333334,-1.5366666666666666,-1.024,-1.2613333333333334,-1.3,-1.252875
-72,-1.2193333333333334,-1.1646666666666665,-1.136,-1.1073333333333333,-1.4653333333333334,-1.0866666666666667,-1.1013333333333333,-1.1506666666666667,-1.6313333333333333,-1.4326666666666665,-0.9306666666666668,-1.5213333333333334,-1.4586666666666666,-1.024,-1.2426666666666668,-1.3013333333333332,-1.248375
-71,-1.1913333333333331,-1.1646666666666665,-1.1173333333333335,-1.1073333333333333,-1.4786666666666668,-1.1053333333333333,-1.1213333333333333,-1.1786666666666668,-1.620666666666667,-1.4326666666666665,-0.9306666666666668,-1.544,-1.4226666666666667,-1.032,-1.252,-1.312,-1.2507083333333333
-70,-1.2213333333333334,-1.1646666666666665,-1.1093333333333333,-1.1646666666666665,-1.3960000000000001,-1.0946666666666667,-1.1826666666666665,-1.1506666666666665,-1.6159999999999999,-1.4546666666666668,-0.9506666666666667,-1.5339999999999998,-1.4226666666666667,-1.032,-1.2553333333333332,-1.312,-1.2538333333333334
-69,-1.2413333333333332,-1.1366666666666667,-1.0813333333333333,-1.198,-1.3693333333333333,-1.0653333333333335,-1.1626666666666667,-1.1226666666666667,-1.5933333333333333,-1.4326666666666665,-0.9693333333333333,-1.5453333333333332,-1.4606666666666668,-1.032,-1.2366666666666668,-1.2933333333333334,-1.2462916666666668
-68,-1.2033333333333334,-1.1666666666666667,-1.1393333333333333,-1.206,-1.3986666666666667,-1.0373333333333334,-1.1213333333333333,-1.0613333333333332,-1.5153333333333334,-1.4326666666666668,-1.0333333333333334,-1.5826666666666669,-1.5166666666666666,-1.0613333333333332,-1.238,-1.2453333333333334,-1.2474583333333333
-67,-1.184666666666667,-1.156,-1.1753333333333333,-1.2340000000000002,-1.432,-1.0673333333333335,-1.1213333333333333,-1.0613333333333332,-1.4626666666666666,-1.4026666666666665,-1.0813333333333335,-1.5606666666666666,-1.576,-1.1453333333333333,-1.2526666666666666,-1.2253333333333332,-1.2586666666666666
-66,-1.214,-1.1413333333333333,-1.1486666666666667,-1.244,-1.4520000000000002,-1.0873333333333335,-1.1586666666666665,-1.0799999999999998,-1.4846666666666666,-1.4040000000000001,-1.0813333333333335,-1.6053333333333335,-1.5273333333333334,-1.2093333333333334,-1.2446666666666666,-1.1879999999999997,-1.2669166666666667
-65,-1.27,-1.1673333333333333,-1.208,-1.2886666666666666,-1.4406666666666668,-1.1353333333333333,-1.188,-1.0986666666666665,-1.5206666666666666,-1.4080000000000001,-1.1193333333333333,-1.688,-1.4660000000000002,-1.2733333333333334,-1.2726666666666666,-1.2453333333333334,-1.299375
-64,-1.334,-1.2253333333333332,-1.2653333333333332,-1.302,-1.4406666666666668,-1.1913333333333334,-1.216,-1.0986666666666667,-1.524,-1.3746666666666667,-1.1753333333333333,-1.736,-1.486,-1.2733333333333332,-1.2526666666666666,-1.2486666666666666,-1.3215000000000001
-63,-1.2980000000000003,-1.2666666666666666,-1.2453333333333334,-1.2926666666666664,-1.4626666666666668,-1.2173333333333334,-1.1960000000000002,-1.0946666666666665,-1.5253333333333332,-1.3466666666666667,-1.1953333333333334,-1.7093333333333334,-1.5386666666666668,-1.2653333333333334,-1.1699999999999997,-1.1846666666666665,-1.3130416666666664
-62,-1.2793333333333334,-1.24,-1.188,-1.2926666666666666,-1.4733333333333334,-1.2533333333333334,-1.1853333333333333,-1.0946666666666665,-1.5626666666666666,-1.264,-1.1766666666666665,-1.6826666666666665,-1.5386666666666668,-1.2373333333333332,-1.1686666666666667,-1.0786666666666667,-1.29475
-61,-1.2993333333333335,-1.1933333333333331,-1.208,-1.2313333333333332,-1.4626666666666668,-1.2946666666666669,-1.2053333333333331,-1.0746666666666667,-1.54,-1.2173333333333332,-1.1766666666666667,-1.66,-1.5386666666666666,-1.2653333333333334,-1.1873333333333336,-1.0693333333333332,-1.2890000000000001
-60,-1.3086666666666669,-1.2133333333333334,-1.2266666666666666,-1.2393333333333334,-1.4533333333333334,-1.3146666666666667,-1.168,-1.0453333333333332,-1.492,-1.2373333333333334,-1.2406666666666666,-1.6713333333333331,-1.5613333333333335,-1.2986666666666666,-1.1573333333333333,-1.0799999999999998,-1.29425
-59,-1.3086666666666669,-1.2173333333333334,-1.2546666666666666,-1.2593333333333334,-1.4546666666666668,-1.2566666666666668,-1.1346666666666667,-1.0919999999999999,-1.5146666666666666,-1.2746666666666664,-1.2966666666666666,-1.662,-1.5646666666666669,-1.272,-1.1373333333333335,-1.0613333333333332,-1.2975833333333333
-58,-1.3086666666666666,-1.208,-1.2659999999999998,-1.2293333333333334,-1.406,-1.2566666666666668,-1.1066666666666665,-1.1280000000000001,-1.5333333333333334,-1.312,-1.354,-1.6486666666666667,-1.5446666666666669,-1.2533333333333334,-1.1746666666666665,-1.0893333333333333,-1.3012083333333333
-57,-1.3273333333333333,-1.264,-1.2646666666666666,-1.2386666666666666,-1.379333333333333,-1.2980000000000003,-1.1266666666666667,-1.1186666666666665,-1.5133333333333332,-1.3746666666666667,-1.326,-1.6746666666666667,-1.5646666666666667,-1.2253333333333336,-1.2306666666666666,-1.0693333333333332,-1.3122500000000001
-56,-1.3753333333333335,-1.3746666666666667,-1.2833333333333334,-1.276,-1.3753333333333333,-1.2993333333333332,-1.136,-1.1106666666666667,-1.5246666666666664,-1.422666666666667,-1.326,-1.7013333333333336,-1.5779999999999998,-1.2453333333333334,-1.2306666666666668,-1.04,-1.3312083333333333
-55,-1.365333333333333,-1.4013333333333333,-1.3693333333333333,-1.2466666666666666,-1.3473333333333335,-1.3633333333333333,-1.0746666666666667,-1.1386666666666667,-1.5246666666666668,-1.3780000000000001,-1.364,-1.7593333333333334,-1.5366666666666666,-1.328,-1.1693333333333336,-1.012,-1.3361666666666667
-54,-1.4280000000000002,-1.4293333333333333,-1.4266666666666665,-1.2133333333333334,-1.3473333333333335,-1.3820000000000001,-1.0666666666666667,-1.1653333333333333,-1.574,-1.314,-1.364,-1.7853333333333334,-1.5066666666666668,-1.3840000000000001,-1.1893333333333334,-1.012,-1.34925
-53,-1.4546666666666668,-1.3713333333333333,-1.3966666666666667,-1.2133333333333334,-1.2899999999999998,-1.3820000000000001,-1.0746666666666667,-1.2133333333333334,-1.594,-1.2806666666666666,-1.3266666666666669,-1.7853333333333332,-1.4506666666666668,-1.4106666666666667,-1.1986666666666668,-1.07,-1.3445416666666667
-52,-1.4546666666666668,-1.3526666666666667,-1.37,-1.2426666666666668,-1.2566666666666666,-1.344,-1.0746666666666667,-1.2133333333333334,-1.5560000000000003,-1.2806666666666666,-1.3253333333333335,-1.7586666666666666,-1.372666666666667,-1.3733333333333335,-1.1653333333333333,-1.09,-1.3269166666666667
-51,-1.4546666666666668,-1.326,-1.3473333333333335,-1.2686666666666668,-1.2646666666666666,-1.324,-1.0639999999999998,-1.1666666666666667,-1.4780000000000002,-1.2606666666666666,-1.3253333333333335,-1.6526666666666665,-1.3153333333333335,-1.3466666666666667,-1.2026666666666668,-1.0899999999999999,-1.3054583333333334
-50,-1.4280000000000002,-1.27,-1.2613333333333332,-1.224,-1.2459999999999998,-1.3333333333333333,-1.0906666666666667,-1.148,-1.394,-1.1993333333333331,-1.314,-1.562,-1.3433333333333333,-1.32,-1.2360000000000002,-1.0606666666666666,-1.2769166666666667
-49,-1.3173333333333332,-1.1920000000000002,-1.204,-1.2206666666666666,-1.2199999999999998,-1.3066666666666669,-1.1093333333333333,-1.1486666666666667,-1.3906666666666667,-1.1913333333333334,-1.336,-1.4840000000000002,-1.3433333333333335,-1.3293333333333335,-1.256,-1.0566666666666666,-1.256625
-48,-1.2973333333333332,-1.1306666666666667,-1.2040000000000002,-1.2193333333333334,-1.198,-1.2226666666666666,-1.1280000000000001,-1.1753333333333333,-1.3906666666666667,-1.1713333333333333,-1.3986666666666667,-1.4733333333333332,-1.29,-1.3093333333333332,-1.2893333333333332,-1.094,-1.2495
-47,-1.2973333333333332,-1.1386666666666665,-1.224,-1.19,-1.1886666666666665,-1.1866666666666668,-1.1293333333333335,-1.194,-1.3346666666666667,-1.1633333333333333,-1.4546666666666668,-1.4626666666666668,-1.2526666666666666,-1.3373333333333335,-1.2626666666666668,-1.122,-1.2461666666666666
-46,-1.3353333333333335,-1.1586666666666665,-1.232,-1.2473333333333334,-1.162,-1.1826666666666668,-1.1293333333333335,-1.166,-1.3213333333333332,-1.1913333333333334,-1.4533333333333334,-1.4013333333333333,-1.1933333333333331,-1.3173333333333332,-1.244,-1.074,-1.2380833333333334
-45,-1.326,-1.1106666666666667,-1.2426666666666668,-1.2806666666666666,-1.114,-1.1906666666666668,-1.1666666666666667,-1.186,-1.3206666666666669,-1.1713333333333333,-1.3693333333333333,-1.3713333333333333,-1.1373333333333333,-1.2839999999999998,-1.244,-1.0446666666666666,-1.2225000000000001
-44,-1.2699999999999998,-1.0693333333333332,-1.256,-1.3186666666666664,-1.1239999999999999,-1.2186666666666668,-1.1666666666666667,-1.2006666666666665,-1.294,-1.162,-1.3053333333333335,-1.3813333333333335,-1.1226666666666667,-1.312,-1.216,-1.0366666666666666,-1.215875
-43,-1.2606666666666666,-1.0493333333333335,-1.218,-1.3386666666666664,-1.1506666666666665,-1.1986666666666668,-1.1946666666666665,-1.1366666666666665,-1.358,-1.1393333333333333,-1.248,-1.4173333333333333,-1.1413333333333333,-1.3413333333333335,-1.2066666666666668,-1.0366666666666666,-1.21475
-42,-1.2753333333333332,-0.9933333333333334,-1.1993333333333331,-1.3013333333333332,-1.1993333333333331,-1.184,-1.204,-1.0886666666666664,-1.464,-1.0766666666666667,-1.2680000000000002,-1.3813333333333335,-1.1506666666666665,-1.3693333333333333,-1.1800000000000002,-1.0366666666666666,-1.21075
-41,-1.2473333333333332,-0.9400000000000001,-1.1806666666666668,-1.2719999999999998,-1.1993333333333331,-1.1826666666666668,-1.208,-1.1166666666666667,-1.4633333333333334,-1.032,-1.2866666666666666,-1.2986666666666666,-1.1466666666666667,-1.368,-1.1226666666666667,-1.0553333333333332,-1.1949999999999998
-40,-1.2273333333333332,-1.004,-1.132,-1.2719999999999998,-1.246,-1.0719999999999998,-1.228,-1.1460000000000001,-1.3853333333333333,-0.9906666666666666,-1.2753333333333334,-1.2506666666666668,-1.1840000000000002,-1.3053333333333332,-1.1706666666666665,-1.1393333333333333,-1.1892916666666666
-39,-1.1446666666666667,-1.06,-1.1320000000000001,-1.2719999999999998,-1.2726666666666666,-1.0833333333333333,-1.236,-1.1273333333333333,-1.3319999999999999,-1.0279999999999998,-1.286,-1.2133333333333334,-1.2133333333333334,-1.2413333333333334,-1.1840000000000002,-1.1593333333333333,-1.1865833333333333
-38,-1.1446666666666667,-1.108,-1.1320000000000001,-1.2719999999999998,-1.3299999999999998,-1.1313333333333333,-1.208,-1.0793333333333333,-1.3946666666666667,-1.0613333333333332,-1.3233333333333335,-1.1866666666666668,-1.2133333333333334,-1.1853333333333333,-1.1846666666666665,-1.129333333333333,-1.19275
-37,-1.1633333333333333,-1.108,-1.1026666666666667,-1.2146666666666668,-1.3633333333333333,-1.1593333333333333,-1.208,-1.1073333333333333,-1.4213333333333333,-1.0813333333333333,-1.3873333333333335,-1.1906666666666665,-1.2133333333333334,-1.1666666666666667,-1.2046666666666668,-1.1013333333333333,-1.1995833333333334
-36,-1.1633333333333333,-1.108,-1.0413333333333332,-1.1506666666666665,-1.3933333333333333,-1.2153333333333334,-1.1893333333333334,-1.1646666666666667,-1.44,-1.1106666666666667,-1.4653333333333336,-1.2186666666666668,-1.2133333333333334,-1.1373333333333335,-1.1673333333333331,-1.1093333333333333,-1.2055
-35,-1.1673333333333333,-1.0799999999999998,-1.0413333333333332,-1.0893333333333333,-1.4133333333333333,-1.2193333333333334,-1.1253333333333333,-1.1646666666666665,-1.4866666666666668,-1.1386666666666667,-1.4800000000000002,-1.2566666666666666,-1.2433333333333332,-1.0813333333333333,-1.106,-1.1386666666666665,-1.202
-34,-1.1873333333333334,-1.072,-1.0693333333333332,-1.0793333333333335,-1.3753333333333333,-1.182,-1.0786666666666667,-1.1346666666666667,-1.4286666666666668,-1.1186666666666665,-1.394,-1.2753333333333332,-1.2793333333333334,-1.0813333333333333,-1.0779999999999998,-1.1386666666666665,-1.1857916666666666
-33,-1.2166666666666666,-1.072,-1.0413333333333332,-1.094,-1.3193333333333332,-1.182,-1.0799999999999998,-1.097333333333333,-1.4386666666666668,-1.1766666666666665,-1.2833333333333334,-1.2286666666666666,-1.27,-1.1426666666666667,-1.0633333333333332,-1.1386666666666667,-1.1777916666666666
-32,-1.2993333333333332,-1.072,-1.0493333333333335,-1.0859999999999999,-1.2713333333333334,-1.154,-1.0933333333333333,-1.0986666666666667,-1.4946666666666668,-1.2033333333333334,-1.2273333333333334,-1.2020000000000002,-1.2513333333333334,-1.1346666666666667,-1.0913333333333335,-1.1720000000000002,-1.1812916666666666
-31,-1.288,-1.0799999999999998,-1.0793333333333333,-1.0566666666666666,-1.2713333333333334,-1.1433333333333333,-1.0653333333333335,-1.1186666666666665,-1.4933333333333332,-1.2326666666666668,-1.2006666666666668,-1.2593333333333334,-1.2246666666666668,-1.1533333333333333,-1.1113333333333335,-1.2199999999999998,-1.187375
-30,-1.24,-1.1,-1.0686666666666667,-1.0233333333333332,-1.2993333333333332,-1.2213333333333334,-1.008,-1.0986666666666665,-1.4360000000000002,-1.294,-1.2006666666666668,-1.2926666666666666,-1.2246666666666668,-1.1733333333333333,-1.1406666666666667,-1.2493333333333332,-1.1919166666666667
-29,-1.24,-1.108,-1.0073333333333332,-1.012,-1.2986666666666664,-1.2506666666666668,-1.008,-1.0373333333333332,-1.4266666666666667,-1.3039999999999998,-1.2286666666666668,-1.2826666666666666,-1.206,-1.1453333333333333,-1.1686666666666665,-1.276,-1.1875
-28,-1.22,-1.1373333333333335,-1.0153333333333332,-1.048,-1.2719999999999998,-1.28,-1.0000000000000002,-1.0753333333333333,-1.4266666666666665,-1.2906666666666669,-1.286,-1.3093333333333335,-1.206,-1.1159999999999999,-1.1673333333333331,-1.3539999999999999,-1.20025
-27,-1.1786666666666668,-1.1706666666666667,-1.0073333333333332,-1.076,-1.194,-1.2906666666666666,-0.9706666666666667,-1.1219999999999999,-1.3673333333333335,-1.2706666666666668,-1.2660000000000002,-1.3673333333333333,-1.1966666666666668,-1.116,-1.194,-1.3833333333333333,-1.1982083333333333
-26,-1.216,-1.1713333333333333,-1.0073333333333332,-1.076,-1.1646666666666665,-1.2439999999999998,-0.9373333333333334,-1.1206666666666665,-1.3673333333333333,-1.2673333333333334,-1.2473333333333334,-1.45,-1.1973333333333334,-1.0973333333333335,-1.2406666666666666,-1.3366666666666664,-1.1963333333333332
-25,-1.2719999999999998,-1.108666666666667,-0.978,-1.068,-1.1646666666666665,-1.2719999999999998,-0.9173333333333334,-1.1113333333333333,-1.4006666666666665,-1.3313333333333333,-1.2206666666666666,-1.44,-1.224,-1.0493333333333335,-1.2206666666666668,-1.2806666666666664,-1.1912083333333332
-24,-1.3053333333333332,-1.0526666666666666,-0.978,-1.068,-1.2020000000000002,-1.272,-0.9473333333333334,-1.103333333333333,-1.3913333333333333,-1.3206666666666669,-1.1913333333333334,-1.4213333333333333,-1.2146666666666668,-1.0493333333333335,-1.1873333333333336,-1.2806666666666666,-1.1865833333333335
-23,-1.2786666666666666,-1.0326666666666666,-1.0113333333333334,-1.0973333333333335,-1.1913333333333334,-1.2719999999999998,-0.9953333333333333,-1.1313333333333333,-1.3913333333333333,-1.2593333333333334,-1.1540000000000001,-1.392,-1.2066666666666668,-1.0213333333333334,-1.129333333333333,-1.31,-1.179625
-22,-1.2600000000000002,-1.0246666666666668,-1.0413333333333332,-1.1546666666666667,-1.1766666666666665,-1.2519999999999998,-0.9953333333333333,-1.083333333333333,-1.391333333333333,-1.2393333333333334,-1.0913333333333335,-1.3886666666666667,-1.2066666666666668,-1.0213333333333334,-1.1393333333333333,-1.318,-1.174
-21,-1.26,-1.062,-1.088,-1.192,-1.1666666666666667,-1.196,-0.9953333333333333,-1.0459999999999998,-1.3446666666666667,-1.2019999999999997,-1.0133333333333334,-1.4666666666666666,-1.2533333333333334,-1.0133333333333334,-1.1673333333333333,-1.3366666666666664,-1.1752083333333334
-20,-1.26,-1.1233333333333333,-1.0959999999999999,-1.2533333333333332,-1.1386666666666665,-1.1926666666666668,-0.9953333333333333,-1.0179999999999998,-1.318,-1.174,-0.98,-1.4660000000000002,-1.3013333333333332,-1.0133333333333334,-1.1953333333333334,-1.3273333333333333,-1.1782916666666665
-19,-1.2980000000000003,-1.1313333333333333,-1.068,-1.2333333333333334,-1.176,-1.2786666666666666,-1.0526666666666666,-1.018,-1.3180000000000003,-1.194,-1.018,-1.4193333333333333,-1.3013333333333332,-0.9560000000000001,-1.1953333333333334,-1.29,-1.18425
-18,-1.3466666666666667,-1.159333333333333,-1.0959999999999999,-1.2,-1.2053333333333334,-1.389333333333333,-1.088666666666667,-0.9993333333333332,-1.3079999999999998,-1.1360000000000001,-1.066,-1.4393333333333336,-1.3373333333333333,-0.9526666666666667,-1.1766666666666665,-1.2899999999999998,-1.1994166666666666
-17,-1.32,-1.159333333333333,-1.088,-1.2,-1.2626666666666666,-1.416,-1.1380000000000001,-1.0093333333333332,-1.3346666666666667,-1.1373333333333333,-1.058,-1.4766666666666666,-1.4200000000000002,-0.9793333333333334,-1.1566666666666667,-1.286,-1.215125
-16,-1.3346666666666667,-1.159333333333333,-1.0766666666666667,-1.2,-1.3039999999999998,-1.4266666666666667,-1.1660000000000001,-1.036,-1.3940000000000003,-1.1413333333333333,-1.0953333333333333,-1.5033333333333334,-1.4480000000000002,-0.9793333333333333,-1.108666666666667,-1.2953333333333332,-1.2292916666666667
-15,-1.3546666666666665,-1.1673333333333331,-1.078,-1.172,-1.296,-1.3820000000000001,-1.194,-1.0546666666666666,-1.4780000000000002,-1.1,-1.1566666666666667,-1.5033333333333334,-1.4400000000000002,-0.978,-1.0793333333333335,-1.2993333333333335,-1.2333333333333334
-14,-1.3733333333333333,-1.1593333333333333,-1.1260000000000001,-1.1533333333333333,-1.2853333333333332,-1.3726666666666667,-1.186,-1.1386666666666665,-1.5406666666666666,-1.042,-1.1566666666666667,-1.5133333333333332,-1.4400000000000002,-0.958,-1.0793333333333335,-1.2806666666666666,-1.2378333333333333
-13,-1.4513333333333331,-1.1593333333333333,-1.1593333333333333,-1.1173333333333333,-1.334,-1.3726666666666667,-1.2126666666666668,-1.1273333333333333,-1.536,-1.014,-1.1566666666666667,-1.4506666666666665,-1.4506666666666665,-0.95,-1.0606666666666666,-1.2026666666666666,-1.2347083333333333
-12,-1.4886666666666666,-1.1593333333333333,-1.1673333333333333,-1.1306666666666665,-1.3673333333333335,-1.3433333333333333,-1.2686666666666668,-1.1086666666666667,-1.5466666666666666,-1.0433333333333334,-1.214,-1.3646666666666667,-1.4600000000000002,-0.9793333333333333,-1.0046666666666666,-1.1733333333333333,-1.23875
-11,-1.4780000000000002,-1.1213333333333333,-1.1593333333333333,-1.1506666666666665,-1.3593333333333333,-1.3713333333333333,-1.346666666666667,-1.09,-1.4893333333333336,-1.0426666666666666,-1.2433333333333332,-1.3113333333333332,-1.4593333333333334,-1.0086666666666666,-0.978,-1.2013333333333336,-1.2381666666666669
-10,-1.4406666666666665,-1.1013333333333333,-1.1886666666666668,-1.192,-1.3406666666666667,-1.4006666666666667,-1.4573333333333334,-1.0993333333333333,-1.4560000000000002,-0.9586666666666666,-1.2806666666666666,-1.3246666666666667,-1.486,-1.0366666666666666,-0.95,-1.2213333333333334,-1.2459166666666666
-9,-1.379333333333333,-1.0733333333333333,-1.1926666666666668,-1.1840000000000002,-1.2566666666666666,-1.4,-1.4833333333333334,-1.1406666666666667,-1.4280000000000002,-0.9400000000000001,-1.3633333333333335,-1.3546666666666667,-1.4846666666666666,-1.074,-0.942,-1.2306666666666668,-1.2454583333333333
-8,-1.3873333333333333,-1.0933333333333333,-1.1513333333333333,-1.184,-1.268,-1.3800000000000001,-1.482,-1.1326666666666665,-1.364,-0.9600000000000001,-1.3633333333333333,-1.3733333333333335,-1.4926666666666668,-1.1313333333333333,-0.97,-1.1733333333333331,-1.2441666666666666
-7,-1.4173333333333331,-1.1306666666666665,-1.1400000000000001,-1.1840000000000002,-1.268,-1.3986666666666667,-1.454,-1.1793333333333331,-1.364,-0.932,-1.3620000000000003,-1.3433333333333333,-1.5113333333333334,-1.1313333333333333,-0.94,-1.1653333333333333,-1.2450833333333335
-6,-1.4066666666666667,-1.1013333333333333,-1.1413333333333333,-1.1266666666666665,-1.22,-1.4766666666666668,-1.474,-1.2073333333333334,-1.392,-0.94,-1.380666666666667,-1.284,-1.5126666666666666,-1.1393333333333333,-0.9386666666666666,-1.146666666666667,-1.2429999999999999
-5,-1.3453333333333333,-1.0866666666666667,-1.1413333333333333,-1.1233333333333333,-1.2280000000000002,-1.5293333333333332,-1.5113333333333334,-1.2353333333333334,-1.4186666666666667,-0.9979999999999999,-1.3993333333333335,-1.3106666666666666,-1.4346666666666665,-1.1113333333333335,-0.9573333333333333,-1.1453333333333333,-1.2485
