,TSS_1::Pseudomonas_phage_phiKZ:3,TSS_2::Pseudomonas_phage_phiKZ:2,TSS_3::Pseudomonas_phage_phiKZ:2,TSS_4::Pseudomonas_phage_phiKZ:4,TSS_5::Pseudomonas_phage_phiKZ:4,TSS_6::Pseudomonas_phage_phiKZ:2,TSS_7::Pseudomonas_phage_phiKZ:2,TSS_8::Pseudomonas_phage_phiKZ:2,TSS_9::Pseudomonas_phage_phiKZ:3,TSS_10::Pseudomonas_phage_phiKZ:,TSS_11::Pseudomonas_phage_phiKZ:,TSS_12::Pseudomonas_phage_phiKZ:,TSS_13::Pseudomonas_phage_phiKZ:,TSS_14::Pseudomonas_phage_phiKZ:,TSS_15::Pseudomonas_phage_phiKZ:,TSS_16::Pseudomonas_phage_phiKZ:,TSS_17::Pseudomonas_phage_phiKZ:,TSS_18::Pseudomonas_phage_phiKZ:,TSS_19::Pseudomonas_phage_phiKZ:,TSS_20::Pseudomonas_phage_phiKZ:,TSS_21::Pseudomonas_phage_phiKZ:,TSS_22::Pseudomonas_phage_phiKZ:,TSS_23::Pseudomonas_phage_phiKZ:,TSS_24::Pseudomonas_phage_phiKZ:,TSS_25::Pseudomonas_phage_phiKZ:,TSS_26::Pseudomonas_phage_phiKZ:,TSS_27::Pseudomonas_phage_phiKZ:,TSS_28::Pseudomonas_phage_phiKZ:,TSS_29::Pseudomonas_phage_phiKZ:,TSS_30::Pseudomonas_phage_phiKZ:,TSS_31::Pseudomonas_phage_phiKZ:,TSS_32::Pseudomonas_phage_phiKZ:,TSS_33::Pseudomonas_phage_phiKZ:,TSS_34::Pseudomonas_phage_phiKZ:,TSS_35::Pseudomonas_phage_phiKZ:,TSS_36::Pseudomonas_phage_phiKZ:,TSS_37::Pseudomonas_phage_phiKZ:,TSS_38::Pseudomonas_phage_phiKZ:,TSS_39::Pseudomonas_phage_phiKZ:,TSS_40::Pseudomonas_phage_phiKZ:,TSS_41::Pseudomonas_phage_phiKZ:,TSS_42::Pseudomonas_phage_phiKZ:,TSS_43::Pseudomonas_phage_phiKZ:,TSS_44::Pseudomonas_phage_phiKZ:,TSS_45::Pseudomonas_phage_phiKZ:,TSS_46::Pseudomonas_phage_phiKZ:,TSS_47::Pseudomonas_phage_phiKZ:,TSS_48::Pseudomonas_phage_phiKZ:,TSS_49::Pseudomonas_phage_phiKZ:,mean
-81,0.0545552378600585,0.15129216667625817,0.11041203462157437,0.09431135493409241,0.11131886740772057,0.19304092160962394,0.16397387084059503,0.16371518006400115,0.08556884626353314,0.06784373792786821,0.08989587299078008,0.18972901723459126,0.08643637146416215,0.11384762233479659,0.05205505641956382,0.07668701872115066,0.14817677943701507,0.04149162818664059,0.09446015527080034,0.059440805810302,0.18655785141337727,0.11756039414349292,0.08659414882974063,0.10910555147074544,0.06475823493292097,0.05867996523348101,0.06447353928776298,0.1056859685523354,0.10462043848372704,0.14861936723213523,0.11963951825889081,0.08076642490667862,0.04609601255425493,0.09787015085500224,0.10328693810973535,0.08082687320458942,0.06080494584420417,0.08802991065168927,0.08314310946988815,0.08251722414660596,0.06478761627853695,0.0682553256559187,0.1420299054046171,0.07508653414189287,0.06880101280819781,0.04791490374051914,0.1635846990137977,0.0755064481127037,0.027981932138149555,0.097384438590831
-80,0.059422755329064846,0.1682292165055963,0.12241722116070006,0.09996332424900481,0.13171696678705672,0.20229065725407214,0.17683450265965656,0.1822583054135099,0.0981874659662608,0.07263459782225301,0.09812471730376436,0.20478879839698969,0.10553108981101662,0.12381311593426152,0.0622490063274281,0.08533355539579963,0.1615342584197348,0.047769961853495815,0.11045903841757651,0.06354056129304018,0.20057510435267364,0.13848588479676954,0.09809256724440478,0.12660332371042277,0.07427187511917445,0.06286128023152417,0.0736062088695569,0.11726714300727852,0.12484096540613014,0.1642018896268118,0.13669292440619937,0.09451854681926304,0.053979344735269864,0.10559315320623319,0.11378734886582471,0.0858283909556217,0.0726059464927774,0.09063647949411373,0.09959790413402211,0.08780175127362091,0.07238160278563628,0.0714978675604689,0.16127128936332114,0.08387704823695039,0.07364905774802202,0.05020483267192598,0.16951863543663676,0.07761315300623703,0.02875348345577239,0.10791253304720297
-79,0.06399156717387847,0.18380314185812013,0.13516518774456868,0.1046638123139592,0.15054896117253752,0.21078622183300827,0.1890903626236093,0.20020620805949144,0.10985071298554312,0.07955300535138078,0.10671081053059062,0.2163617437082268,0.1273474601292855,0.13330407416458295,0.07255530597161745,0.09437680686432769,0.17147691357185657,0.054785351995262285,0.12707734756979946,0.06796270502289103,0.21396806913949645,0.15951160796560035,0.10926837317420839,0.1435208920095111,0.08578092303774314,0.06826278898001073,0.08353016022117903,0.12786782040038694,0.14486418594599354,0.17915983120994652,0.15314395908595752,0.10708170781736825,0.06438290327267202,0.1135347526941927,0.12490042016507205,0.09012238328241061,0.08464167140593985,0.09634987254436915,0.11678857847365887,0.09041477080263999,0.08033734531958583,0.07466113318796241,0.1796202697535904,0.09270416418332314,0.07849993955782034,0.05408784066732565,0.17466734943695256,0.078585235392456,0.02992628694806847,0.11836332523918325
-78,0.06873989820310836,0.19669795029275,0.14865359632392933,0.10817046329657051,0.16776378002406428,0.2184315623232575,0.20200397953439894,0.21884960887445065,0.12153721843155593,0.087799414789738,0.11550945893381481,0.2232706722780066,0.1506328350795671,0.14184231113061394,0.08305839733655011,0.10387231597637299,0.17750360918636512,0.0619382124558754,0.14286563624933385,0.07115056845974835,0.22582549340600416,0.17954480491154048,0.11979292051176194,0.16009469609589008,0.099013262254768,0.07366285883533118,0.09431061891392609,0.13736048462882114,0.16298953222309942,0.19474789136644138,0.1690518142833911,0.11887653577310893,0.07775725349984101,0.12205961665835445,0.1340814349693698,0.09342279812221226,0.09608588156107388,0.10367576669026521,0.13523246834149108,0.09192739539949711,0.08860085861505088,0.07737298963282661,0.19553859768193274,0.09991186135054032,0.0854125514304782,0.059612246627691975,0.1789034553558592,0.08145384595515012,0.03222970912383118,0.12854777823264535
-77,0.07424757046249475,0.20714906323450477,0.16233068177687718,0.1106581641815548,0.18289439003859037,0.22391540389636014,0.21494718312860486,0.23780459973275309,0.13351058050637699,0.09623988367342538,0.12356725507975115,0.22699540905812618,0.17443468198148324,0.14996369598759324,0.0934303481863422,0.11460620589449202,0.1792908699492452,0.06757875095227621,0.15729730716596038,0.07365889764212584,0.2355152998773415,0.19878681211219637,0.12925947294239173,0.17604285120997526,0.11308899424733665,0.07927512706874343,0.10457911202343373,0.14701927626034358,0.18102025065870347,0.21097928360368906,0.18448486956501342,0.12908249540252578,0.09399659374909353,0.13154391912197866,0.14072025182731135,0.0958228526673284,0.10709627379683233,0.1124378747256963,0.15363489136940264,0.09490816179649984,0.09705299888777216,0.07947552832555552,0.21009110388138513,0.10787175668444651,0.0956601805058789,0.06652420436039444,0.18370694444302943,0.0856447636381129,0.035690577429625885,0.13848027887165257
-76,0.08014298405905665,0.21672108651547844,0.1754483934300633,0.11262623651173978,0.1961244288446261,0.2288058605554019,0.22650880460712236,0.25709048903418774,0.14625162662259925,0.10348592708177909,0.13116284473285844,0.23197384387883474,0.1978467591959204,0.15752704829270872,0.10586709107467515,0.12576828205787127,0.1812388493965994,0.07125706366647054,0.17119643073643512,0.07657742053709804,0.24261861140380195,0.21686396478903638,0.13775771860227204,0.19013939527530072,0.1266206588899372,0.08495862834259789,0.11391852264346095,0.15478321665943545,0.1979109377459742,0.22936483767944918,0.19856078248270972,0.13797760430174974,0.11363862651221797,0.14151201424060106,0.145130224720847,0.09833077315695712,0.11620937877547968,0.12287101269230807,0.17182891055574995,0.10000635479291627,0.10586911828382124,0.08075263493357862,0.22269311833409047,0.11675414663273702,0.10690731286682786,0.07640464900922168,0.18797577035638569,0.0916338507171153,0.03955234738303196,0.14822788966553346
-75,0.08601913659906901,0.22556791533614634,0.18784595849813865,0.11505182401309466,0.20737867442395386,0.2318825519307206,0.23632715264533996,0.2751494063344896,0.16146175523120104,0.10995519867527548,0.1383370749461676,0.23971007822831553,0.2191423431196447,0.16650397342655376,0.12054587628491258,0.1358306324883451,0.1843277601009373,0.07445368210329836,0.1847447004341472,0.07949039512961546,0.24772496204844602,0.23376787196629048,0.14492870569080102,0.20166267851240455,0.13964887326224742,0.09193240588789345,0.12034973370880478,0.16091580852346818,0.213893438417624,0.24905879249124174,0.21105341284640472,0.14567420569714362,0.1349786426977351,0.1519118837969879,0.14697340415365473,0.09976974388643299,0.12430289827693866,0.1347723048537472,0.18962274532661588,0.10696752661482585,0.11537000299610707,0.08216877885173382,0.23281437350529446,0.12774808900056886,0.11972542173870479,0.08887441316205621,0.19272304506659121,0.09918381138218191,0.04369845839946748,0.1577947453614649
-74,0.0928077771991682,0.23444765449589888,0.2011541941827521,0.1175434790983653,0.21715468431669457,0.23321851333849336,0.24542676705751082,0.29115213512969573,0.17967357114704635,0.11650654566153484,0.14415153750461054,0.24930859799350072,0.23753071330195036,0.17728936572269532,0.13489873684421613,0.14416019356190968,0.18965991685525588,0.07674285349854043,0.19626893648248717,0.0815416400535203,0.2503743644612586,0.2499756636344436,0.15228654942997696,0.21238557903581987,0.15210822849855948,0.09963787134287591,0.12386582137558855,0.16506673145203687,0.22876999095031114,0.2697032052943979,0.22390901902294713,0.153375039114853,0.1581561285168595,0.16234130097371263,0.14804904596984866,0.10039339050893152,0.1323833570328037,0.14584441835553802,0.20628650431429274,0.11633557703489658,0.1245329708241382,0.08510637559558536,0.2425834543769619,0.1402008988123817,0.1344915851080723,0.10264171346101218,0.1975403646240004,0.10848129675338555,0.048709037968330274,0.16726884280182994
-73,0.09840239153918016,0.24260643993223102,0.21585246929815866,0.1189431889396096,0.22453635069622613,0.23609914305899835,0.2536102028552825,0.305464179832521,0.19972148941046333,0.12267685675959832,0.14849105640757182,0.2609367507790565,0.2521904775620096,0.1873829079947334,0.1491374440132885,0.15102732551881762,0.19722684957086517,0.0791156200126715,0.20715709938393703,0.08357878030563257,0.2518187237322258,0.2670151371313462,0.16130184858534494,0.22412800531135377,0.1639505037723235,0.10863745178026019,0.12524394647027554,0.1678045807021056,0.24326863484264766,0.29141444867361116,0.23588266698149968,0.16137926623497664,0.18149557741800426,0.17271865905507106,0.15290523947423426,0.10225873812578871,0.1407665559040568,0.15753123941033134,0.22063535809287477,0.12871132480753644,0.13426473046311646,0.09038754514732569,0.2534430793484159,0.1535860869248575,0.15130499812362386,0.11722787226586309,0.2025619889046968,0.11913052560070685,0.05474672478256389,0.17693221391709982
-72,0.1024799574548669,0.2512221464948283,0.23114663658975268,0.1208711651560604,0.23055542726338601,0.2409400538134901,0.26088960230649616,0.31887474273256744,0.2203140233992904,0.1298700231144159,0.1521107815958183,0.2737615981275837,0.262816071121761,0.1969973589567206,0.1634075108647499,0.1562736421265309,0.20615594159161832,0.08232424982674684,0.21783641177740481,0.08679971282084745,0.2539862080369162,0.2843818923522875,0.17172652642185654,0.23753372647171828,0.1731700123037863,0.11942811553862831,0.1270299674243381,0.17045083554450738,0.2562368493365132,0.3140030524562619,0.24698226050960326,0.1680168746692718,0.2047503576077984,0.18300857553718455,0.16042747436988442,0.10539524640128847,0.14790100803143302,0.17059805234348396,0.23305042734933257,0.14197188418945214,0.14442413306979313,0.09769079735125138,0.2651262548469483,0.16725735231291794,0.17089789895062585,0.1317666783028379,0.20726514519778855,0.13002700856850513,0.060115739215511096,0.1867401512621768
-71,0.10565367852538729,0.26087584886978593,0.2453220100488948,0.12347409362749687,0.23644402877146814,0.24741038479373229,0.2663959411482447,0.33038119684690914,0.23996503910381767,0.13664766091721864,0.1546875257011872,0.28659377244869794,0.2710734104164886,0.20698776200867247,0.17726312115707682,0.1601035731604388,0.215564968361501,0.08608006662865453,0.22823592445582216,0.09163911202322367,0.2585681726637555,0.30037408554907535,0.18310825620963317,0.2528357161557563,0.1797079259423724,0.1294839253294679,0.13132036581871603,0.1717671442658344,0.26738132552729177,0.3355166449110886,0.2590981675667471,0.17441909983218568,0.2276698673391572,0.19343732297898122,0.17022364239021637,0.10927608753918261,0.1557364448101248,0.18429893461196048,0.24408104264075264,0.15649955166107504,0.15458156231426912,0.10714194899708944,0.2776181621097526,0.17943302079460124,0.19088338287750434,0.14548391171762365,0.2092579351290933,0.13980019211818323,0.06595891456280441,0.19644411986487784
-70,0.09814596648604132,0.2593055079967767,0.24965071775848147,0.11765956330590437,0.23888326164345078,0.22839048145614335,0.24593891740855098,0.31900790616011315,0.2524956106656907,0.13668470028521615,0.150410160588454,0.286690030974293,0.2682467755032037,0.20552709222966956,0.18445807261448768,0.1570837425281988,0.22138216208448017,0.08322399540640626,0.22975075085570845,0.087822668152014,0.24727585330819463,0.29806934167225857,0.19031096468871653,0.2620578582111231,0.17460406969115327,0.12981125201190608,0.1282284598122401,0.16671910340468749,0.27421019242769085,0.34808194995328534,0.2665163347951372,0.17802238835831732,0.24858199007892662,0.19223472832902944,0.17394265935569958,0.1055523037817997,0.16022290846848206,0.18908796356011104,0.2497598776368422,0.16387755700778125,0.16244230487649527,0.11127519162920976,0.2891587577111313,0.18223921489444264,0.20334356383461674,0.1548066104335978,0.19205202019530201,0.13511094925138098,0.06936321975080482,0.19730036067823775
-69,0.09229490811009865,0.2571842817151635,0.2506855243770042,0.11223238961507895,0.24028326712849285,0.2094952095965686,0.22602053317859938,0.30910740397171477,0.2626748311170458,0.13343731348472504,0.14581059865888976,0.2828933591676195,0.26384091660476144,0.20444261882063497,0.19199135911211757,0.15660886902460194,0.2234837342267845,0.0806245448958524,0.23272667787322368,0.0879713896009105,0.23859512678458122,0.299355465215583,0.19801007311278204,0.2695145762566349,0.1697608824979368,0.12810714094794273,0.12588227198877214,0.16263255321820852,0.279889157528431,0.35655177621018214,0.274239643948257,0.18087025888820382,0.26873294921210483,0.19076312904398499,0.1812308734522451,0.10247072894128954,0.1649168717667801,0.19124137005287956,0.2529785856899033,0.17206543181695036,0.1699246008752911,0.11332815026701,0.29896846388283543,0.18758895779748527,0.21525245638438933,0.16211808242158687,0.17713140606816685,0.1284410965534571,0.07436802771427761,0.19793346609832735
-68,0.08793004563216907,0.251961855713712,0.24959768832108775,0.1079900034417961,0.240650639948574,0.1923311175530744,0.20791526819346678,0.2995497994032602,0.2699683961763962,0.12799224249445945,0.14399208936544702,0.2731659511847232,0.2584804172764104,0.20322201766803744,0.19909975485084822,0.15704285183976008,0.2225324947016699,0.07946987002265342,0.23658596954994326,0.09164778872549224,0.23108435744220576,0.30395064747042494,0.20432343102907252,0.2743509652097057,0.1645317931581895,0.12571213861886285,0.12361165796474224,0.15916153543052192,0.28224125480840906,0.36090425000695747,0.2814303273922027,0.18202285305097496,0.28798527749526803,0.1910453649644351,0.18886573162875495,0.10006583969254837,0.16868538129430194,0.19323786232349577,0.25459152168166443,0.18174459653802133,0.1742546083378203,0.11451352266031349,0.3052763094330815,0.19228488234523494,0.22626912560476162,0.1678784883008698,0.16219302734592617,0.12141452953539526,0.08063349776920721,0.19806920491012964
-67,0.08429242558506661,0.24348685944476042,0.24652264311746,0.10370534852102242,0.24001989727029907,0.17683772437671802,0.1926640255626263,0.2887198320077523,0.2733591391303069,0.12353675270181608,0.14295365581911249,0.25896653614151954,0.2547941186372671,0.19947156454519754,0.2049840468834243,0.15817280629921224,0.21889467513400743,0.0817977040872246,0.2403312156388011,0.09792640075043155,0.22380909617739256,0.3114905504472582,0.2066192936544895,0.276525338557785,0.16114221770819115,0.12290204925590616,0.12216570841825267,0.15824851440034363,0.2797547542517701,0.35814364713263425,0.2871260622994538,0.18225819824787204,0.30703225191455596,0.19309731219893184,0.1953572279875413,0.0977055703724643,0.1711748554851605,0.19613499432345333,0.25349481049411116,0.1916703687251819,0.17612040197148046,0.11418553047580882,0.30942033747762754,0.19700632793968076,0.2353530578052506,0.17202028359915483,0.148476776015809,0.11432800908190602,0.08668573415273051,0.1975691153515556
-66,0.08414444757724468,0.23479586837829935,0.24387836060471207,0.09935008367447104,0.2383926051134261,0.1643775466468191,0.1811476535493094,0.27839046160502956,0.2734684974143031,0.12148387753346124,0.14414646236113582,0.24053812415229553,0.25616328724468657,0.19532028002525365,0.2105483070498469,0.16107254813138333,0.21382313976068765,0.0861329204943018,0.2405920087261701,0.10418507655074098,0.21674262217086698,0.32047955835180897,0.20480950353092386,0.2738506369174357,0.16071568656741647,0.11941547967670267,0.12220552284103267,0.1556411928504601,0.27461717464609436,0.34927871666403776,0.2913944171463639,0.18036589980080472,0.32401585782512915,0.19688532983427803,0.1998834959072052,0.09814227752844865,0.1730118118057741,0.1991598891734489,0.2481301391635959,0.1990709136001073,0.17518678564934537,0.11458678060064172,0.3112840987306417,0.20213138884175214,0.24479573874017774,0.1735299585154646,0.13606273682339304,0.10785969582586848,0.09161519600043175,0.19666979719027
-65,0.08864152031037646,0.2261061761432006,0.242244505964161,0.09688281028282451,0.23399095159113995,0.15309213465568045,0.17211935625995708,0.2686058492887016,0.26971361461372967,0.12120655006797072,0.1462712614418038,0.21921446916734683,0.2617783042798578,0.19166278375665408,0.21713219198597314,0.16533052817541322,0.20929699591014694,0.09231156343424321,0.23878779118380006,0.11086238990317718,0.21045616558552577,0.3257783076839992,0.198478356504931,0.26493613552098416,0.16210404245314752,0.120259904658473,0.12330791500450085,0.15151773020237383,0.26605074671606826,0.3353436714618624,0.2939703996062931,0.1770882273565518,0.33976065758449314,0.2009856924216773,0.2033052115733366,0.09998033628793468,0.174516059011466,0.2029668773551069,0.2408342829963904,0.2058719551973936,0.17294069317858624,0.11527085302272848,0.3122581071008423,0.20755050096042385,0.25334946959058724,0.1747393419406957,0.12641879468662387,0.10675541325752542,0.09529471350320931,0.19566004715999777
-64,0.09605550643078246,0.2166651482219563,0.24215634379275391,0.09560975007538472,0.22842875694494688,0.14504599367914014,0.16532209990993338,0.25579012282968294,0.2657467060984722,0.12212513524870354,0.1499867012192791,0.19799824620644696,0.2662657643292849,0.18678256584904193,0.22318650060507988,0.17103360451198782,0.20280287151440302,0.10136585467344525,0.23216879374630922,0.11834632206519209,0.20391477193328872,0.32830302206940654,0.19003985450543653,0.2551274136421801,0.16530830368146562,0.12469196190433925,0.12462199719261964,0.1465512228066779,0.2549011291309494,0.3175528871908082,0.2973628041732521,0.17320858525752017,0.35423485033106217,0.20673247422268198,0.20669523134880893,0.1025229282380266,0.17614003707456347,0.21060250998403046,0.23255284928593464,0.20998614734938617,0.17101043869993793,0.1159411973405207,0.31217232335049794,0.21326773601611215,0.2610611902447523,0.17695505233056136,0.11804888754906148,0.10819384026233585,0.09819977831090444,0.1946690655791704
-63,0.10587573711607892,0.20845564299158945,0.24291836422815552,0.0949997034556851,0.2194625677723554,0.14043812825774135,0.16025557650483097,0.24117110736463648,0.26144947071184094,0.12595023463376306,0.15417888792441373,0.17782309924220535,0.2681564691078223,0.18250542437701625,0.23036191194270753,0.17875606716712747,0.19636415700806487,0.1115091376307529,0.22218822272690092,0.12418942784590362,0.19825585720237893,0.32637736939014905,0.18385680872199392,0.24942991819680332,0.17045745009139965,0.13267245479260587,0.12468836159995936,0.1420395306858275,0.24216887977416465,0.2982379422200077,0.30151365116506357,0.16970038813257002,0.3675518491851333,0.2127402199856495,0.20759552405350093,0.10543129803769105,0.1761728628238864,0.21947640716748226,0.22457148288063794,0.21242576264794563,0.16883008438000593,0.12133989410086499,0.31222628181206535,0.21947964791358004,0.2674282824706152,0.17938016358445802,0.11095063749900988,0.11187075102952135,0.0990447214479208,0.19393722083678536
-62,0.11654584401100927,0.1977770806574143,0.24380243899706372,0.09437328613789825,0.20992952498827938,0.13909636239189038,0.15623863906979865,0.227128349883516,0.2579726222263826,0.13032286645004426,0.159402075342069,0.16120981937907894,0.2668949197769108,0.1793065133461012,0.2381365218486815,0.1860081634484699,0.19071100995886517,0.12041753780038042,0.20892020665680572,0.12897651017520423,0.19194186786549647,0.32020961447953733,0.17840859644849463,0.24767104119916014,0.17609175901082696,0.1453774028159612,0.12075112269900892,0.13893589383148255,0.22855302181587542,0.28021171102288334,0.30710337076817884,0.16516457055247388,0.37967690949305843,0.21767327428175265,0.20725009071795433,0.10923638280023149,0.17485759449462368,0.22890019179144966,0.21390363937686963,0.21654859505806984,0.1672530004819283,0.1302618243673607,0.31297354690257073,0.22513150046463953,0.27215159380556553,0.18254796171179424,0.10462379136020288,0.11733843845648743,0.09964950992420049,0.19333812470497966
-61,0.12568614047007348,0.18539141014443403,0.24418904648100453,0.09216737133281501,0.1998023985842837,0.14048975786300738,0.15404545441394132,0.21282712317108218,0.2540990230844628,0.1348372242991369,0.16510249358235995,0.1493394590425035,0.26399163335769826,0.17803388219887395,0.2467188665596865,0.19241216692514945,0.18743702694881217,0.12847758082343141,0.1942166495090478,0.13162781431139026,0.18496705181581252,0.31142617140400247,0.1750898836103576,0.24802728404186122,0.1798733641564986,0.1587848302795897,0.11660502180559773,0.13556474260156837,0.21367343349563642,0.2659770123197278,0.31135689847220954,0.16039137608510684,0.3910908446796696,0.22237751233459094,0.20594943003049088,0.1155318093712943,0.17252068774380214,0.24114701610685021,0.2030005379480427,0.2233854430890144,0.16611699358219795,0.1407127834625364,0.314464070051836,0.23048505158975302,0.27742086826757717,0.18631261915250982,0.10209337899339084,0.12578326991239488,0.09850636648105224,0.1930515974691463
-60,0.13431072306350747,0.17173202803495166,0.2423210289847632,0.08910950076161864,0.18910394072366624,0.14326642110933657,0.15319736272743606,0.19843643552444773,0.253746604172873,0.13720244128095088,0.1685476506601578,0.14203562185733695,0.2601755717669745,0.17812748912825319,0.25522624756904777,0.19894006187686497,0.18598239821743404,0.1371989463066559,0.18095368434809556,0.13071193478174475,0.17668068844442725,0.3015603645660089,0.1729780942328088,0.2489915321519402,0.18113472188624655,0.17260418579908535,0.11350217456165364,0.13166984042897026,0.2001216233753736,0.2558907150477365,0.31354590153232087,0.1565632744412207,0.39880846026691164,0.22627154681590733,0.20306869533338023,0.12214068590861135,0.16924402130636648,0.25257025591240984,0.19372403704336333,0.23331678304392328,0.16669330500651042,0.1546632502695341,0.3178387913819215,0.23328737570293204,0.28256794465399976,0.18705352237628828,0.10062067253033583,0.13591213324754903,0.10106290601216998,0.1929472162484903
-59,0.14310369692276353,0.15971333461759335,0.23706814638402185,0.08711635901594438,0.1800186366888465,0.14739415452652418,0.1560824723628818,0.1841004070409608,0.2545870042823049,0.1373626074882785,0.17095321572071828,0.14088845148113874,0.2537970577029881,0.1789458129003025,0.2631122359397947,0.2048040939313896,0.18730166370439966,0.1456825228068686,0.16891067154993367,0.12921511857886683,0.16968151210441343,0.2919839625575288,0.17200445456880983,0.25165408110795634,0.1788427134730231,0.18561189700703465,0.11021353282476427,0.1296690094812643,0.18763124874834075,0.2472592881515904,0.3156814730648787,0.1550642127284603,0.4020291194796709,0.22977991401824793,0.19775969422455578,0.1307596348606253,0.16563378150683122,0.2612165337772486,0.18532194383571382,0.246930178726562,0.16784601068684607,0.17036257227337492,0.321728890586366,0.23432352111578125,0.28755897925312957,0.18549874191705884,0.09817122295684644,0.14754480865039452,0.10593789008858248,0.19313996913106984
