,TSS_1::Pseudomonas_phage_phiKZ:12288-12488(),TSS_2::Pseudomonas_phage_phiKZ:12382-12582(),TSS_3::Pseudomonas_phage_phiKZ:14712-14912(),TSS_4::Pseudomonas_phage_phiKZ:15991-16191(),TSS_5::Pseudomonas_phage_phiKZ:19791-19991(),TSS_6::Pseudomonas_phage_phiKZ:81676-81876(),TSS_7::Pseudomonas_phage_phiKZ:81869-82069(),TSS_8::Pseudomonas_phage_phiKZ:114356-114556(),TSS_9::Pseudomonas_phage_phiKZ:114822-115022(),TSS_10::Pseudomonas_phage_phiKZ:172065-172265(),TSS_11::Pseudomonas_phage_phiKZ:187688-187888(),TSS_12::Pseudomonas_phage_phiKZ:265838-266038(),TSS_13::Pseudomonas_phage_phiKZ:271586-271786(),TSS_14::Pseudomonas_phage_phiKZ:271822-272022(),TSS_15::Pseudomonas_phage_phiKZ:274048-274248(),TSS_16::Pseudomonas_phage_phiKZ:278654-278854(),TSS_17::Pseudomonas_phage_phiKZ:280101-280301(),mean
-85,-1.21,-1.0786666666666667,-1.0606666666666666,-1.3133333333333332,-1.4413333333333331,-1.2246666666666668,-1.1246666666666667,-1.1286666666666667,-1.0959999999999999,-1.0246666666666668,-1.0693333333333332,-1.3060000000000003,-0.9506666666666667,-1.8133333333333332,-1.44,-1.4053333333333333,-1.3493333333333333,-1.237450980392157
-84,-1.2093333333333334,-0.996,-1.0306666666666666,-1.3433333333333335,-1.4773333333333336,-1.2433333333333334,-1.12,-1.0953333333333333,-1.0773333333333333,-1.0446666666666666,-1.0693333333333332,-1.2593333333333334,-0.9693333333333333,-1.7873333333333332,-1.3573333333333333,-1.379333333333333,-1.3293333333333333,-1.2228627450980394
-83,-1.2093333333333334,-0.9773333333333333,-1.042,-1.3993333333333335,-1.4806666666666668,-1.2913333333333332,-1.0933333333333333,-1.114,-0.9933333333333334,-1.0526666666666666,-1.0586666666666666,-1.2793333333333334,-1.0333333333333334,-1.7233333333333334,-1.2733333333333334,-1.3686666666666667,-1.292,-1.2165882352941177
-82,-1.224,-0.948,-1.148,-1.4006666666666665,-1.4246666666666667,-1.2533333333333334,-1.0466666666666666,-1.1400000000000001,-0.9946666666666668,-1.0713333333333332,-1.1159999999999999,-1.2833333333333334,-1.0813333333333335,-1.6640000000000001,-1.2473333333333334,-1.358,-1.2826666666666668,-1.2167058823529413
-81,-1.1866666666666665,-0.9486666666666667,-1.1853333333333333,-1.374,-1.426,-1.2066666666666666,-1.0479999999999998,-1.1400000000000001,-1.1053333333333335,-1.1193333333333333,-1.18,-1.25,-1.0813333333333335,-1.6593333333333333,-1.246,-1.3473333333333335,-1.2733333333333334,-1.2221960784313723
-80,-1.1253333333333333,-0.9953333333333333,-1.2040000000000002,-1.3553333333333335,-1.4833333333333334,-1.1693333333333336,-1.0586666666666666,-1.16,-1.1239999999999999,-1.0893333333333333,-1.1946666666666665,-1.242,-1.1193333333333333,-1.6146666666666667,-1.2446666666666668,-1.3473333333333335,-1.2693333333333332,-1.2233333333333332
-79,-1.1633333333333333,-1.0033333333333332,-1.2306666666666668,-1.354,-1.502,-1.1400000000000001,-1.088,-1.1973333333333334,-1.1039999999999999,-1.0893333333333333,-1.1680000000000001,-1.242,-1.1753333333333333,-1.532,-1.1806666666666668,-1.374,-1.2213333333333334,-1.2214901960784315
-78,-1.1646666666666667,-1.0313333333333332,-1.2173333333333334,-1.3539999999999999,-1.538,-1.1119999999999999,-1.1706666666666665,-1.1786666666666668,-1.1239999999999999,-1.1026666666666667,-1.1680000000000001,-1.214,-1.1953333333333334,-1.506,-1.1793333333333333,-1.3380000000000003,-1.2220000000000002,-1.2244705882352942
-77,-1.1006666666666667,-1.058,-1.2093333333333334,-1.2633333333333334,-1.5333333333333334,-1.0933333333333333,-1.1906666666666665,-1.1306666666666667,-1.1813333333333336,-1.0993333333333335,-1.1680000000000001,-1.2139999999999997,-1.1766666666666665,-1.5060000000000002,-1.1980000000000002,-1.2966666666666666,-1.306,-1.2191372549019608
-76,-1.1099999999999999,-1.0846666666666667,-1.1813333333333333,-1.2433333333333334,-1.5113333333333332,-1.0673333333333335,-1.2106666666666663,-1.1686666666666667,-1.153333333333333,-1.1273333333333333,-1.1680000000000001,-1.1606666666666667,-1.1766666666666667,-1.5420000000000003,-1.2273333333333334,-1.2966666666666669,-1.3920000000000001,-1.2247843137254901
-75,-1.166,-1.07,-1.2113333333333334,-1.1953333333333334,-1.5339999999999998,-1.066,-1.1906666666666665,-1.1953333333333334,-1.161333333333333,-1.1573333333333333,-1.1866666666666668,-1.1406666666666667,-1.2406666666666666,-1.598,-1.2633333333333332,-1.2686666666666668,-1.392,-1.2374901960784312
-74,-1.2566666666666668,-1.05,-1.2113333333333332,-1.1660000000000001,-1.6246666666666667,-1.038,-1.2186666666666668,-1.244,-1.134666666666667,-1.2413333333333334,-1.2346666666666666,-1.15,-1.2966666666666666,-1.5966666666666667,-1.286,-1.2486666666666666,-1.328,-1.2544705882352942
-73,-1.2753333333333332,-1.0979999999999999,-1.212,-1.1773333333333333,-1.6513333333333333,-1.038,-1.2386666666666668,-1.3266666666666669,-1.1346666666666667,-1.2413333333333334,-1.2346666666666666,-1.15,-1.354,-1.57,-1.2993333333333332,-1.186,-1.328,-1.265607843137255
-72,-1.3046666666666666,-1.154,-1.2586666666666666,-1.1993333333333334,-1.614,-1.038,-1.28,-1.3733333333333333,-1.136,-1.242,-1.2266666666666666,-1.12,-1.326,-1.5473333333333334,-1.29,-1.222,-1.3,-1.2724705882352942
-71,-1.3886666666666665,-1.1913333333333334,-1.296,-1.2633333333333332,-1.5806666666666667,-1.0086666666666666,-1.3,-1.3453333333333333,-1.1173333333333335,-1.262,-1.264,-1.1013333333333333,-1.326,-1.5213333333333334,-1.372666666666667,-1.2633333333333332,-1.3013333333333332,-1.2884313725490195
-70,-1.426,-1.2193333333333334,-1.4066666666666667,-1.31,-1.5793333333333335,-0.9793333333333333,-1.27,-1.3533333333333333,-1.1093333333333333,-1.32,-1.2786666666666666,-1.1213333333333333,-1.3639999999999999,-1.544,-1.428666666666667,-1.2833333333333334,-1.312,-1.312078431372549
-69,-1.396666666666667,-1.1913333333333331,-1.4626666666666668,-1.28,-1.5433333333333332,-0.9326666666666666,-1.2213333333333334,-1.3833333333333333,-1.0813333333333333,-1.384,-1.2226666666666666,-1.1826666666666665,-1.364,-1.534,-1.448666666666667,-1.2253333333333332,-1.312,-1.3038823529411765
-68,-1.3406666666666667,-1.2213333333333334,-1.4886666666666668,-1.224,-1.5399999999999998,-0.9326666666666666,-1.2253333333333336,-1.3846666666666667,-1.1393333333333333,-1.404,-1.196,-1.1626666666666667,-1.3266666666666669,-1.5453333333333332,-1.4966666666666666,-1.2366666666666668,-1.2933333333333332,-1.3034117647058823
-67,-1.2793333333333332,-1.2413333333333332,-1.4293333333333333,-1.176,-1.6179999999999999,-1.0233333333333334,-1.2533333333333334,-1.3286666666666667,-1.1753333333333333,-1.4053333333333335,-1.1666666666666667,-1.1213333333333333,-1.3253333333333335,-1.5826666666666667,-1.496,-1.238,-1.2453333333333334,-1.3003137254901962
-66,-1.3073333333333332,-1.2033333333333334,-1.4,-1.184,-1.6273333333333333,-1.07,-1.2253333333333332,-1.3006666666666666,-1.1486666666666667,-1.4186666666666667,-1.1106666666666667,-1.1213333333333333,-1.3253333333333335,-1.5606666666666666,-1.4773333333333334,-1.2193333333333334,-1.2253333333333332,-1.2897254901960782
-65,-1.3686666666666667,-1.1846666666666665,-1.3813333333333333,-1.214,-1.57,-1.1073333333333333,-1.1960000000000002,-1.31,-1.208,-1.4106666666666667,-1.0773333333333333,-1.1586666666666665,-1.314,-1.6053333333333335,-1.4880000000000002,-1.182,-1.188,-1.292
-64,-1.3386666666666664,-1.2139999999999997,-1.2973333333333334,-1.2153333333333332,-1.5513333333333332,-1.1900000000000002,-1.1853333333333333,-1.3099999999999998,-1.2653333333333332,-1.3626666666666667,-1.0853333333333335,-1.188,-1.336,-1.688,-1.5253333333333334,-1.0713333333333332,-1.2453333333333334,-1.2981960784313724
-63,-1.338666666666667,-1.2699999999999998,-1.2773333333333334,-1.1953333333333334,-1.4873333333333332,-1.2380000000000002,-1.1213333333333333,-1.3099999999999998,-1.2453333333333334,-1.3493333333333333,-1.0853333333333335,-1.216,-1.3986666666666667,-1.7360000000000002,-1.54,-1.0713333333333332,-1.2486666666666666,-1.301686274509804
-62,-1.376,-1.334,-1.3053333333333335,-1.2333333333333334,-1.3813333333333335,-1.2300000000000002,-1.0733333333333335,-1.3099999999999998,-1.188,-1.3486666666666667,-1.0853333333333335,-1.1960000000000002,-1.4546666666666668,-1.7093333333333334,-1.5213333333333334,-1.1086666666666667,-1.1846666666666665,-1.296470588235294
-61,-1.3186666666666667,-1.2980000000000003,-1.3893333333333335,-1.2533333333333332,-1.3453333333333333,-1.2186666666666668,-1.0733333333333335,-1.3,-1.208,-1.3006666666666666,-1.0573333333333332,-1.1853333333333333,-1.4533333333333334,-1.6826666666666665,-1.512,-1.1273333333333333,-1.0786666666666667,-1.2824705882352943
-60,-1.2626666666666668,-1.2793333333333334,-1.3886666666666665,-1.2733333333333334,-1.3186666666666667,-1.22,-1.0733333333333335,-1.3266666666666667,-1.2266666666666666,-1.3006666666666669,-1.0386666666666666,-1.2053333333333331,-1.3693333333333333,-1.66,-1.512,-1.1753333333333336,-1.0693333333333332,-1.276470588235294
-59,-1.21,-1.2993333333333335,-1.340666666666667,-1.2733333333333334,-1.236,-1.24,-1.1033333333333333,-1.3046666666666666,-1.2546666666666666,-1.3226666666666667,-1.0486666666666666,-1.168,-1.3053333333333335,-1.6713333333333333,-1.5120000000000002,-1.1753333333333336,-1.0799999999999998,-1.2673725490196077
-58,-1.2113333333333334,-1.3086666666666669,-1.340666666666667,-1.262,-1.18,-1.2586666666666666,-1.1033333333333333,-1.2779999999999998,-1.2659999999999998,-1.332,-1.0686666666666667,-1.1346666666666667,-1.248,-1.662,-1.5346666666666668,-1.1473333333333333,-1.0613333333333332,-1.2586666666666666
-57,-1.2020000000000002,-1.3086666666666669,-1.340666666666667,-1.2026666666666666,-1.1906666666666665,-1.2866666666666666,-1.07,-1.278,-1.2646666666666666,-1.3313333333333333,-1.0686666666666667,-1.1066666666666665,-1.2680000000000002,-1.6486666666666667,-1.5706666666666669,-1.11,-1.0893333333333333,-1.2551372549019608
-56,-1.2286666666666666,-1.3086666666666666,-1.3113333333333335,-1.1493333333333335,-1.224,-1.2786666666666666,-1.108,-1.3353333333333335,-1.2833333333333334,-1.3673333333333333,-1.0686666666666667,-1.1266666666666667,-1.2866666666666666,-1.6746666666666667,-1.5213333333333334,-1.0966666666666667,-1.0693333333333332,-1.2610980392156863
-55,-1.2193333333333334,-1.3273333333333333,-1.2006666666666668,-1.16,-1.1973333333333334,-1.2506666666666668,-1.186,-1.3686666666666667,-1.3693333333333333,-1.4200000000000002,-1.0913333333333335,-1.136,-1.2753333333333334,-1.7013333333333334,-1.4953333333333334,-1.0966666666666667,-1.04,-1.2667843137254902
-54,-1.2113333333333332,-1.3753333333333335,-1.1366666666666667,-1.16,-1.1493333333333333,-1.2786666666666668,-1.2393333333333334,-1.3686666666666667,-1.4266666666666665,-1.4200000000000002,-1.1206666666666665,-1.0746666666666667,-1.286,-1.7593333333333334,-1.4940000000000002,-1.1433333333333333,-1.012,-1.2738823529411767
-53,-1.2113333333333332,-1.3653333333333333,-1.0806666666666667,-1.1893333333333334,-1.1113333333333333,-1.2886666666666668,-1.226,-1.4046666666666667,-1.3966666666666667,-1.4200000000000002,-1.1286666666666667,-1.0666666666666667,-1.3233333333333335,-1.7853333333333334,-1.5033333333333334,-1.1320000000000001,-1.012,-1.2732549019607844
-52,-1.258,-1.4280000000000002,-1.062,-1.2506666666666668,-1.0333333333333334,-1.262,-1.2459999999999998,-1.4233333333333333,-1.37,-1.4200000000000002,-1.158,-1.0746666666666667,-1.3873333333333333,-1.7853333333333334,-1.53,-1.1119999999999999,-1.07,-1.2865098039215688
-51,-1.258,-1.4546666666666668,-1.062,-1.2706666666666668,-0.9759999999999999,-1.2633333333333334,-1.3366666666666667,-1.4606666666666668,-1.3473333333333335,-1.416,-1.1873333333333334,-1.0746666666666667,-1.4653333333333336,-1.7586666666666668,-1.6126666666666667,-1.084,-1.0899999999999999,-1.3010588235294118
-50,-1.2246666666666668,-1.4546666666666668,-1.034,-1.2699999999999998,-1.004,-1.2340000000000002,-1.3926666666666667,-1.514,-1.2613333333333332,-1.4533333333333334,-1.1873333333333334,-1.0639999999999998,-1.4800000000000002,-1.6526666666666665,-1.6019999999999999,-1.092,-1.09,-1.294745098039216
-49,-1.2166666666666666,-1.454666666666667,-1.062,-1.2686666666666668,-1.024,-1.1513333333333335,-1.3926666666666667,-1.5046666666666668,-1.204,-1.5106666666666666,-1.1593333333333333,-1.0906666666666667,-1.394,-1.562,-1.5646666666666667,-1.1400000000000001,-1.0606666666666666,-1.2800392156862745
-48,-1.226,-1.4280000000000002,-1.054,-1.2886666666666668,-1.0613333333333332,-1.1233333333333335,-1.374,-1.5346666666666666,-1.2040000000000002,-1.52,-1.1513333333333333,-1.1093333333333333,-1.2833333333333334,-1.4839999999999998,-1.5873333333333333,-1.1493333333333335,-1.0566666666666669,-1.2726666666666668
-47,-1.2526666666666668,-1.3173333333333335,-1.0633333333333335,-1.2586666666666666,-1.1186666666666667,-1.1033333333333333,-1.3739999999999999,-1.5826666666666669,-1.224,-1.5466666666666666,-1.1699999999999997,-1.1280000000000001,-1.2273333333333334,-1.4733333333333334,-1.6653333333333333,-1.1493333333333335,-1.094,-1.2793333333333332
-46,-1.3099999999999998,-1.2973333333333334,-1.0366666666666666,-1.2306666666666668,-1.1813333333333333,-1.0846666666666667,-1.3739999999999999,-1.5826666666666667,-1.232,-1.6306666666666667,-1.2540000000000002,-1.1293333333333335,-1.2006666666666668,-1.4626666666666668,-1.678666666666667,-1.2133333333333334,-1.1219999999999999,-1.2953333333333337
-45,-1.282,-1.2973333333333334,-1.0366666666666666,-1.268,-1.208,-1.0566666666666669,-1.4206666666666665,-1.5333333333333334,-1.2426666666666668,-1.6833333333333333,-1.2726666666666666,-1.1293333333333335,-1.2006666666666668,-1.4013333333333333,-1.614666666666667,-1.2713333333333334,-1.074,-1.2936862745098041
-44,-1.252,-1.3353333333333335,-1.1473333333333333,-1.324,-1.228,-1.0646666666666667,-1.4093333333333333,-1.4773333333333334,-1.256,-1.6253333333333335,-1.2146666666666668,-1.1666666666666667,-1.2286666666666666,-1.3713333333333333,-1.5773333333333333,-1.3006666666666666,-1.0446666666666666,-1.2954901960784315
-43,-1.252,-1.326,-1.1733333333333333,-1.338666666666667,-1.22,-1.0646666666666667,-1.3893333333333333,-1.4133333333333336,-1.218,-1.6159999999999999,-1.1866666666666668,-1.1666666666666667,-1.286,-1.3813333333333333,-1.5399999999999998,-1.2806666666666666,-1.0366666666666666,-1.2876078431372548
-42,-1.3146666666666667,-1.27,-1.1746666666666667,-1.312,-1.2093333333333334,-1.0633333333333335,-1.3893333333333333,-1.424,-1.1993333333333331,-1.616,-1.1946666666666665,-1.1946666666666665,-1.2659999999999998,-1.4173333333333331,-1.456,-1.2819999999999998,-1.0366666666666666,-1.2835294117647056
-41,-1.288,-1.2606666666666668,-1.1666666666666667,-1.3013333333333332,-1.232,-1.1006666666666667,-1.3313333333333333,-1.4773333333333334,-1.1806666666666668,-1.56,-1.1653333333333333,-1.204,-1.2473333333333334,-1.3813333333333333,-1.4146666666666665,-1.2913333333333334,-1.0366666666666666,-1.2729019607843137
-40,-1.288,-1.2753333333333334,-1.166666666666667,-1.35,-1.3180000000000003,-1.162,-1.2453333333333334,-1.464,-1.132,-1.5066666666666668,-1.0813333333333333,-1.208,-1.2206666666666666,-1.2986666666666666,-1.3846666666666667,-1.2713333333333334,-1.0553333333333332,-1.2604705882352942
-39,-1.326,-1.2473333333333334,-1.1746666666666667,-1.406,-1.3793333333333335,-1.162,-1.192,-1.454,-1.1320000000000001,-1.48,-1.044,-1.228,-1.1913333333333331,-1.2506666666666666,-1.338,-1.2526666666666668,-1.1393333333333333,-1.2586666666666668
-38,-1.3446666666666667,-1.2273333333333334,-1.1666666666666667,-1.4326666666666665,-1.3873333333333335,-1.1520000000000001,-1.2053333333333331,-1.454,-1.1320000000000001,-1.46,-1.044,-1.236,-1.154,-1.2133333333333334,-1.3006666666666669,-1.254,-1.1593333333333333,-1.2543137254901962
-37,-1.2979999999999998,-1.1446666666666667,-1.1386666666666665,-1.4286666666666668,-1.3793333333333335,-1.1293333333333335,-1.1773333333333333,-1.4686666666666666,-1.1026666666666667,-1.44,-1.0146666666666666,-1.208,-1.0913333333333335,-1.1866666666666668,-1.2740000000000002,-1.3366666666666667,-1.1293333333333335,-1.232235294117647
-36,-1.2979999999999998,-1.1446666666666667,-1.1386666666666665,-1.3806666666666665,-1.379333333333333,-1.1013333333333335,-1.0946666666666665,-1.4393333333333334,-1.0413333333333332,-1.4106666666666667,-1.004,-1.208,-1.0133333333333332,-1.1906666666666665,-1.2246666666666668,-1.4206666666666665,-1.1013333333333333,-1.2112549019607843
-35,-1.3273333333333333,-1.1633333333333333,-1.1666666666666667,-1.3813333333333335,-1.3713333333333333,-1.1306666666666667,-1.0106666666666666,-1.3766666666666665,-1.0413333333333332,-1.3813333333333333,-1.06,-1.1893333333333334,-0.98,-1.2186666666666668,-1.2360000000000002,-1.4986666666666664,-1.1093333333333333,-1.2142745098039214
-34,-1.354,-1.1633333333333333,-1.1866666666666668,-1.3813333333333333,-1.3233333333333335,-1.1600000000000001,-0.984,-1.386,-1.0693333333333332,-1.324,-1.1066666666666667,-1.1253333333333333,-1.018,-1.2566666666666668,-1.236,-1.5613333333333335,-1.1386666666666667,-1.2220392156862747
-33,-1.3433333333333333,-1.1673333333333333,-1.2773333333333337,-1.3906666666666667,-1.2860000000000003,-1.1680000000000001,-0.956,-1.3279999999999998,-1.0413333333333332,-1.2866666666666666,-1.0866666666666667,-1.0786666666666667,-1.066,-1.2753333333333334,-1.1520000000000001,-1.588,-1.1386666666666665,-1.2135294117647057
-32,-1.2593333333333334,-1.1873333333333334,-1.304,-1.424,-1.2566666666666668,-1.2253333333333332,-0.984,-1.3279999999999998,-1.0493333333333335,-1.2493333333333334,-1.06,-1.0799999999999998,-1.058,-1.2286666666666666,-1.074,-1.5786666666666667,-1.1386666666666665,-1.205019607843137
-31,-1.2600000000000002,-1.2166666666666666,-1.352666666666667,-1.424,-1.2033333333333334,-1.2546666666666666,-0.9919999999999999,-1.364,-1.0793333333333333,-1.2133333333333336,-0.9760000000000001,-1.0933333333333333,-1.0953333333333333,-1.2019999999999997,-1.0326666666666666,-1.488,-1.172,-1.2011372549019608
-30,-1.3659999999999999,-1.2993333333333332,-1.352666666666667,-1.3946666666666665,-1.2033333333333334,-1.2626666666666668,-0.9653333333333334,-1.36,-1.0686666666666667,-1.1506666666666665,-0.9773333333333334,-1.0653333333333335,-1.1566666666666667,-1.2593333333333334,-1.07,-1.41,-1.22,-1.2107058823529413
-29,-1.422,-1.288,-1.242,-1.3573333333333333,-1.2166666666666666,-1.2626666666666668,-0.9466666666666667,-1.36,-1.0073333333333332,-1.1640000000000001,-1.0613333333333335,-1.008,-1.1566666666666665,-1.2926666666666666,-1.0806666666666664,-1.3806666666666667,-1.2493333333333332,-1.2056470588235293
-28,-1.4353333333333331,-1.2399999999999998,-1.1780000000000002,-1.344,-1.2246666666666668,-1.2626666666666668,-0.9186666666666666,-1.3679999999999999,-1.0153333333333332,-1.174,-1.1026666666666667,-1.008,-1.1566666666666667,-1.2826666666666668,-1.034,-1.4273333333333333,-1.276,-1.2028235294117646
-27,-1.3826666666666667,-1.2399999999999998,-1.1580000000000004,-1.352,-1.236,-1.264,-0.9186666666666667,-1.3573333333333333,-1.0073333333333332,-1.1646666666666667,-1.0946666666666667,-1.0000000000000002,-1.214,-1.3093333333333332,-1.082,-1.4273333333333333,-1.3539999999999999,-1.209529411764706
-26,-1.4046666666666667,-1.2199999999999998,-1.1953333333333334,-1.3633333333333333,-1.1986666666666668,-1.2646666666666668,-0.9386666666666666,-1.2933333333333332,-1.0073333333333332,-1.1646666666666665,-1.0666666666666667,-0.9706666666666667,-1.2433333333333334,-1.3673333333333335,-1.1233333333333335,-1.3900000000000001,-1.3833333333333333,-1.2114901960784314
-25,-1.418,-1.1786666666666668,-1.2566666666666668,-1.304,-1.15,-1.2873333333333334,-0.9186666666666666,-1.2733333333333332,-0.978,-1.1653333333333333,-1.0946666666666667,-0.9373333333333334,-1.2806666666666664,-1.45,-1.1233333333333335,-1.39,-1.3366666666666664,-1.2083921568627451
-24,-1.3880000000000001,-1.216,-1.2566666666666668,-1.2773333333333334,-1.1993333333333334,-1.3073333333333335,-0.9193333333333334,-1.2533333333333334,-0.978,-1.214,-1.1326666666666667,-0.9173333333333334,-1.3633333333333333,-1.44,-1.1513333333333333,-1.39,-1.2806666666666664,-1.2167450980392156
-23,-1.3693333333333333,-1.2719999999999998,-1.2946666666666666,-1.2773333333333334,-1.2553333333333334,-1.2793333333333334,-0.9046666666666667,-1.1973333333333334,-1.0113333333333334,-1.2433333333333332,-1.1513333333333333,-0.9473333333333334,-1.3633333333333335,-1.4213333333333333,-1.1893333333333334,-1.3900000000000001,-1.2806666666666666,-1.2263529411764704
-22,-1.3893333333333333,-1.3053333333333332,-1.4006666666666667,-1.2773333333333334,-1.2833333333333337,-1.218,-0.942,-1.1640000000000001,-1.0413333333333332,-1.2726666666666666,-1.1233333333333335,-0.9953333333333333,-1.3619999999999999,-1.392,-1.18,-1.3366666666666667,-1.31,-1.2349019607843137
-21,-1.3986666666666667,-1.2786666666666666,-1.4566666666666668,-1.2773333333333334,-1.3033333333333335,-1.2560000000000002,-0.9979999999999999,-1.1826666666666668,-1.088,-1.3286666666666667,-1.1246666666666667,-0.9953333333333333,-1.3806666666666667,-1.3886666666666665,-1.1466666666666667,-1.2806666666666666,-1.318,-1.2472156862745098
-20,-1.4026666666666665,-1.2600000000000002,-1.5393333333333337,-1.2393333333333334,-1.3113333333333335,-1.2466666666666666,-1.0553333333333332,-1.1826666666666668,-1.0959999999999999,-1.3579999999999999,-1.102,-0.9953333333333333,-1.3993333333333335,-1.4666666666666666,-1.1366666666666667,-1.2026666666666666,-1.3366666666666664,-1.2547450980392156
-19,-1.404,-1.26,-1.5393333333333332,-1.1926666666666668,-1.3580000000000003,-1.2173333333333332,-1.0353333333333334,-1.1533333333333333,-1.068,-1.4153333333333333,-1.0753333333333335,-0.9953333333333333,-1.3893333333333335,-1.4660000000000002,-1.174,-1.1493333333333333,-1.3273333333333333,-1.248235294117647
-18,-1.468,-1.26,-1.4566666666666668,-1.1833333333333333,-1.444,-1.2173333333333332,-1.0833333333333333,-1.2013333333333336,-1.0959999999999999,-1.4793333333333334,-1.0753333333333335,-1.0526666666666666,-1.3693333333333335,-1.4193333333333333,-1.258,-1.176,-1.2899999999999998,-1.2664705882352942
-17,-1.5146666666666666,-1.2979999999999998,-1.392666666666667,-1.1793333333333333,-1.4733333333333334,-1.2180000000000002,-1.1166666666666667,-1.2146666666666666,-1.088,-1.494,-1.0753333333333333,-1.088666666666667,-1.3973333333333333,-1.4393333333333334,-1.314,-1.1746666666666667,-1.2899999999999998,-1.2805098039215688
-16,-1.4566666666666666,-1.3466666666666667,-1.3146666666666669,-1.1873333333333336,-1.4440000000000002,-1.2446666666666668,-1.1366666666666667,-1.1786666666666668,-1.0766666666666667,-1.494,-1.0753333333333333,-1.1380000000000001,-1.3973333333333333,-1.4766666666666668,-1.378,-1.1826666666666668,-1.2860000000000003,-1.2831764705882354
-15,-1.3786666666666667,-1.32,-1.3146666666666669,-1.2166666666666666,-1.4066666666666667,-1.2633333333333332,-1.1780000000000002,-1.1826666666666665,-1.078,-1.5073333333333332,-1.0853333333333333,-1.1660000000000001,-1.3359999999999999,-1.5033333333333334,-1.3820000000000001,-1.1546666666666667,-1.2953333333333332,-1.2805098039215688
-14,-1.3146666666666669,-1.3346666666666667,-1.372,-1.254,-1.3920000000000001,-1.2353333333333334,-1.1700000000000002,-1.2126666666666666,-1.1260000000000001,-1.466,-1.0493333333333332,-1.194,-1.316,-1.5033333333333334,-1.3526666666666667,-1.1466666666666667,-1.2993333333333332,-1.2787450980392157
-13,-1.3,-1.3546666666666667,-1.352,-1.3166666666666667,-1.4213333333333336,-1.216666666666667,-1.1700000000000002,-1.2686666666666668,-1.1593333333333333,-1.4080000000000001,-1.036,-1.186,-1.2866666666666664,-1.5133333333333332,-1.4006666666666667,-1.1466666666666667,-1.2806666666666664,-1.283372549019608
-12,-1.2899999999999998,-1.3733333333333335,-1.352,-1.3726666666666667,-1.474,-1.1886666666666668,-1.162,-1.306,-1.1673333333333333,-1.38,-1.0733333333333335,-1.2126666666666668,-1.2493333333333334,-1.4506666666666668,-1.4366666666666668,-1.1466666666666667,-1.2026666666666666,-1.2845882352941178
-11,-1.212,-1.4513333333333336,-1.3226666666666667,-1.3986666666666667,-1.4740000000000002,-1.1586666666666667,-1.142,-1.3653333333333333,-1.1593333333333333,-1.38,-1.0733333333333335,-1.2686666666666668,-1.2386666666666666,-1.3646666666666667,-1.4366666666666668,-1.1746666666666667,-1.1733333333333331,-1.2819999999999998
-10,-1.1786666666666668,-1.4886666666666666,-1.3093333333333335,-1.3986666666666667,-1.4740000000000002,-1.1213333333333333,-1.1699999999999997,-1.3986666666666667,-1.1886666666666668,-1.3219999999999998,-1.0653333333333335,-1.346666666666667,-1.2293333333333334,-1.3113333333333335,-1.4286666666666668,-1.2586666666666666,-1.2013333333333334,-1.2877254901960788
