,TSS_1::NC_011703.1:607-807(),TSS_2::NC_011703.1:4379-4579(),TSS_3::NC_011703.1:6537-6737(),TSS_4::NC_011703.1:8584-8784(),TSS_5::NC_011703.1:9016-9216(),TSS_6::NC_011703.1:39381-39581(),TSS_7::NC_011703.1:49134-49334(),TSS_8::NC_011703.1:51217-51417(),TSS_9::NC_011703.1:52973-53173(),TSS_10::NC_011703.1:61200-61400(),TSS_11::NC_011703.1:62317-62517(),TSS_12::NC_011703.1:65140-65340(),mean
-82,-1.5426666666666666,-1.5733333333333333,-1.4973333333333334,-1.4313333333333336,-1.41,-1.4453333333333336,-1.4673333333333334,-1.416,-1.6073333333333335,-1.576,-1.6406666666666667,-1.4720000000000002,-1.5066111111111111
-81,-1.5053333333333332,-1.5733333333333333,-1.5546666666666666,-1.4726666666666666,-1.43,-1.4733333333333334,-1.4673333333333334,-1.4160000000000001,-1.5713333333333332,-1.5493333333333332,-1.6780000000000002,-1.4906666666666668,-1.5151666666666666
-80,-1.5053333333333332,-1.5586666666666666,-1.5433333333333334,-1.4733333333333334,-1.46,-1.462,-1.4673333333333334,-1.4066666666666665,-1.5680000000000003,-1.5493333333333335,-1.6673333333333333,-1.5686666666666667,-1.5191666666666663
-79,-1.4866666666666668,-1.5666666666666667,-1.4853333333333332,-1.4373333333333336,-1.5086666666666668,-1.462,-1.4673333333333332,-1.344,-1.6320000000000001,-1.5533333333333332,-1.6566666666666665,-1.63,-1.5191666666666668
-78,-1.438,-1.556,-1.4593333333333334,-1.438,-1.562,-1.462,-1.4406666666666665,-1.4080000000000001,-1.6333333333333335,-1.5533333333333332,-1.7626666666666668,-1.592,-1.5254444444444442
-77,-1.4113333333333336,-1.4920000000000002,-1.4860000000000002,-1.4393333333333334,-1.5993333333333333,-1.4086666666666667,-1.3873333333333335,-1.4266666666666665,-1.5853333333333335,-1.5546666666666666,-1.8253333333333335,-1.5433333333333332,-1.5132777777777777
-76,-1.4753333333333332,-1.4326666666666665,-1.57,-1.3753333333333333,-1.5773333333333333,-1.352666666666667,-1.3653333333333333,-1.416,-1.5226666666666668,-1.5919999999999999,-1.8473333333333335,-1.5433333333333332,-1.5058333333333334
-75,-1.4646666666666666,-1.4546666666666668,-1.5699999999999998,-1.316,-1.5146666666666666,-1.3633333333333333,-1.3653333333333333,-1.4053333333333335,-1.4866666666666668,-1.5919999999999999,-1.794,-1.49,-1.4847222222222223
-74,-1.4606666666666668,-1.4586666666666668,-1.5073333333333332,-1.316,-1.5146666666666666,-1.4460000000000002,-1.3933333333333333,-1.4053333333333335,-1.4600000000000002,-1.536,-1.794,-1.4633333333333334,-1.479611111111111
-73,-1.5513333333333332,-1.432,-1.4853333333333332,-1.3646666666666667,-1.5479999999999998,-1.4353333333333331,-1.392,-1.4053333333333333,-1.4333333333333333,-1.5026666666666666,-1.7846666666666666,-1.474,-1.4840555555555557
-72,-1.6293333333333335,-1.4426666666666668,-1.4813333333333332,-1.4220000000000002,-1.556,-1.379333333333333,-1.3546666666666667,-1.4273333333333333,-1.4973333333333334,-1.5106666666666666,-1.694,-1.474,-1.4890555555555558
-71,-1.6826666666666665,-1.4986666666666666,-1.5,-1.4486666666666668,-1.5673333333333335,-1.3686666666666667,-1.3253333333333335,-1.4913333333333332,-1.5346666666666666,-1.5106666666666666,-1.6453333333333333,-1.474,-1.5039444444444443
-70,-1.6780000000000002,-1.5813333333333333,-1.4986666666666666,-1.4486666666666668,-1.508,-1.4466666666666668,-1.3546666666666667,-1.5473333333333334,-1.4753333333333336,-1.5146666666666668,-1.6413333333333333,-1.47,-1.5137222222222222
-69,-1.656,-1.5813333333333335,-1.4693333333333334,-1.4486666666666668,-1.4746666666666668,-1.5026666666666668,-1.3840000000000001,-1.5366666666666666,-1.4420000000000002,-1.488,-1.6113333333333335,-1.4400000000000002,-1.502888888888889
-68,-1.6560000000000001,-1.5033333333333334,-1.4693333333333334,-1.4753333333333332,-1.4933333333333334,-1.5173333333333334,-1.4026666666666665,-1.4806666666666668,-1.460666666666667,-1.4393333333333331,-1.5519999999999998,-1.4213333333333333,-1.489277777777778
-67,-1.656,-1.4393333333333336,-1.4693333333333334,-1.4393333333333334,-1.5413333333333334,-1.4986666666666666,-1.4513333333333334,-1.4806666666666668,-1.5086666666666666,-1.4126666666666667,-1.4893333333333334,-1.4400000000000002,-1.4855555555555557
-66,-1.6373333333333335,-1.4393333333333336,-1.4733333333333334,-1.426,-1.604,-1.5186666666666668,-1.4513333333333334,-1.518,-1.518,-1.3900000000000001,-1.4533333333333334,-1.44,-1.4891111111111115
-65,-1.6186666666666667,-1.4986666666666666,-1.4546666666666668,-1.4253333333333333,-1.6300000000000001,-1.5293333333333334,-1.4513333333333334,-1.554,-1.5173333333333332,-1.3319999999999999,-1.468,-1.3913333333333333,-1.489222222222222
-64,-1.6186666666666667,-1.5546666666666666,-1.4546666666666668,-1.4346666666666665,-1.63,-1.4513333333333334,-1.4513333333333334,-1.5633333333333335,-1.4946666666666666,-1.3279999999999998,-1.4793333333333334,-1.4406666666666665,-1.4917777777777779
-63,-1.6186666666666667,-1.5919999999999999,-1.5073333333333332,-1.4873333333333332,-1.5766666666666669,-1.3953333333333333,-1.478,-1.4993333333333332,-1.4946666666666666,-1.328,-1.4793333333333334,-1.5046666666666664,-1.4967777777777778
-62,-1.5919999999999999,-1.6293333333333335,-1.5073333333333332,-1.4873333333333332,-1.5393333333333332,-1.3846666666666667,-1.4819999999999998,-1.4993333333333334,-1.494,-1.3373333333333335,-1.4526666666666668,-1.5533333333333335,-1.4965555555555554
-61,-1.528,-1.6400000000000001,-1.5293333333333332,-1.4953333333333334,-1.502,-1.4626666666666666,-1.446,-1.5100000000000002,-1.474,-1.3373333333333335,-1.4080000000000001,-1.5306666666666666,-1.488611111111111
-60,-1.5873333333333335,-1.5913333333333335,-1.5653333333333335,-1.4766666666666666,-1.482,-1.4893333333333334,-1.45,-1.5206666666666666,-1.426,-1.3373333333333333,-1.3706666666666665,-1.4933333333333332,-1.4825
-59,-1.5873333333333333,-1.5913333333333335,-1.5746666666666667,-1.4406666666666665,-1.462,-1.436,-1.45,-1.5206666666666666,-1.3966666666666667,-1.356,-1.370666666666667,-1.4933333333333334,-1.4732777777777777
-58,-1.5046666666666666,-1.5993333333333335,-1.5480000000000003,-1.4186666666666667,-1.4473333333333334,-1.4173333333333333,-1.4513333333333334,-1.5206666666666668,-1.3673333333333333,-1.3760000000000001,-1.4286666666666668,-1.52,-1.466611111111111
-57,-1.456,-1.562,-1.552,-1.4226666666666667,-1.4673333333333332,-1.4173333333333333,-1.4886666666666666,-1.5206666666666668,-1.2846666666666666,-1.3679999999999999,-1.4660000000000002,-1.5306666666666666,-1.4613333333333332
-56,-1.4066666666666667,-1.506,-1.5333333333333334,-1.404,-1.4373333333333336,-1.3986666666666667,-1.518,-1.4673333333333332,-1.2206666666666666,-1.3386666666666664,-1.4366666666666668,-1.4713333333333334,-1.428222222222222
-55,-1.3206666666666667,-1.4420000000000002,-1.5446666666666669,-1.3853333333333333,-1.4486666666666668,-1.3393333333333333,-1.4886666666666668,-1.411333333333333,-1.174,-1.3053333333333332,-1.4073333333333333,-1.498,-1.3971111111111112
-54,-1.2646666666666666,-1.5013333333333334,-1.5646666666666669,-1.3866666666666667,-1.4686666666666668,-1.3019999999999998,-1.4313333333333333,-1.4113333333333336,-1.166,-1.3133333333333332,-1.4259999999999997,-1.518,-1.3961666666666666
-53,-1.2313333333333332,-1.5306666666666666,-1.5659999999999998,-1.4133333333333333,-1.48,-1.2686666666666666,-1.4426666666666665,-1.4300000000000002,-1.1766666666666665,-1.3133333333333332,-1.4853333333333334,-1.51,-1.404
-52,-1.2686666666666668,-1.512,-1.5213333333333334,-1.4133333333333333,-1.48,-1.2406666666666666,-1.3833333333333333,-1.43,-1.128,-1.3399999999999999,-1.5479999999999998,-1.4913333333333332,-1.3963888888888887
-51,-1.302,-1.4746666666666666,-1.4800000000000002,-1.4133333333333333,-1.4306666666666668,-1.2506666666666668,-1.3273333333333333,-1.43,-1.0986666666666667,-1.3846666666666667,-1.5479999999999998,-1.4726666666666666,-1.384388888888889
-50,-1.294,-1.4153333333333333,-1.4800000000000002,-1.4133333333333336,-1.3666666666666667,-1.2773333333333334,-1.3166666666666667,-1.4033333333333333,-1.088,-1.3980000000000001,-1.5346666666666666,-1.4726666666666666,-1.3716666666666664
-49,-1.3126666666666666,-1.3886666666666667,-1.4786666666666666,-1.356,-1.2606666666666666,-1.2973333333333334,-1.3653333333333333,-1.3926666666666667,-1.1106666666666667,-1.3606666666666667,-1.538,-1.4460000000000002,-1.3589444444444447
-48,-1.3019999999999998,-1.3886666666666667,-1.4146666666666665,-1.2933333333333334,-1.2233333333333332,-1.3173333333333335,-1.3920000000000001,-1.4300000000000002,-1.1686666666666667,-1.3793333333333335,-1.48,-1.4233333333333333,-1.3510555555555557
-47,-1.2726666666666666,-1.3619999999999999,-1.3773333333333333,-1.356,-1.2340000000000002,-1.3813333333333333,-1.4366666666666668,-1.4313333333333333,-1.222,-1.406,-1.4533333333333334,-1.3653333333333333,-1.3581666666666667
-46,-1.254,-1.3513333333333333,-1.318,-1.3760000000000001,-1.2446666666666668,-1.3593333333333333,-1.4726666666666666,-1.394,-1.2779999999999998,-1.3686666666666667,-1.4386666666666665,-1.4146666666666665,-1.3558333333333332
-45,-1.1480000000000001,-1.4,-1.2913333333333334,-1.3760000000000001,-1.2166666666666666,-1.3233333333333335,-1.4953333333333334,-1.394,-1.326,-1.358,-1.5246666666666668,-1.4413333333333334,-1.357888888888889
-44,-1.1386666666666667,-1.4226666666666667,-1.3446666666666667,-1.3479999999999999,-1.2466666666666666,-1.286,-1.578,-1.4233333333333333,-1.318,-1.358,-1.5886666666666664,-1.3840000000000001,-1.3697222222222223
-43,-1.168,-1.4519999999999997,-1.3339999999999999,-1.3106666666666666,-1.306,-1.3153333333333335,-1.614,-1.4046666666666667,-1.3366666666666667,-1.3673333333333333,-1.5293333333333334,-1.3479999999999999,-1.3738333333333335
-42,-1.1573333333333333,-1.4786666666666666,-1.3299999999999998,-1.3333333333333333,-1.3193333333333332,-1.3446666666666667,-1.578,-1.3453333333333333,-1.4146666666666665,-1.4046666666666667,-1.5293333333333334,-1.3479999999999999,-1.3819444444444446
-41,-1.144,-1.4986666666666666,-1.4126666666666665,-1.3533333333333333,-1.3113333333333332,-1.3446666666666667,-1.5406666666666666,-1.3346666666666667,-1.4560000000000002,-1.4046666666666667,-1.6119999999999999,-1.348,-1.3967222222222222
-40,-1.144,-1.472,-1.4606666666666668,-1.3453333333333333,-1.2533333333333332,-1.2979999999999998,-1.5406666666666666,-1.3346666666666667,-1.4839999999999998,-1.4046666666666667,-1.6900000000000002,-1.312,-1.3949444444444445
-39,-1.144,-1.4233333333333333,-1.4699999999999998,-1.2973333333333334,-1.2533333333333334,-1.2993333333333335,-1.5686666666666667,-1.288,-1.4840000000000002,-1.4046666666666667,-1.7540000000000002,-1.284,-1.3892222222222221
-38,-1.144,-1.45,-1.45,-1.2446666666666668,-1.2793333333333332,-1.3553333333333335,-1.5680000000000003,-1.2993333333333332,-1.4839999999999998,-1.4046666666666667,-1.7540000000000002,-1.3213333333333332,-1.396222222222222
-37,-1.1333333333333333,-1.4793333333333332,-1.4353333333333333,-1.3026666666666666,-1.2346666666666666,-1.4660000000000002,-1.5786666666666667,-1.2886666666666668,-1.4840000000000002,-1.3780000000000001,-1.7273333333333334,-1.3506666666666667,-1.404888888888889
-36,-1.1780000000000002,-1.4793333333333334,-1.4633333333333334,-1.338666666666667,-1.2013333333333334,-1.4546666666666668,-1.5973333333333335,-1.2513333333333334,-1.4840000000000002,-1.3333333333333333,-1.79,-1.3693333333333335,-1.4117222222222223
-35,-1.2420000000000002,-1.5386666666666668,-1.4553333333333331,-1.3386666666666664,-1.2293333333333332,-1.4173333333333333,-1.6566666666666667,-1.2779999999999998,-1.4840000000000002,-1.3,-1.826,-1.418,-1.4320000000000002
-34,-1.306,-1.5653333333333335,-1.4086666666666667,-1.3960000000000001,-1.2906666666666666,-1.4533333333333334,-1.6119999999999999,-1.3373333333333335,-1.4840000000000002,-1.328,-1.870666666666667,-1.4446666666666668,-1.4580555555555554
-33,-1.306,-1.5386666666666666,-1.3820000000000001,-1.4093333333333333,-1.2986666666666666,-1.4520000000000002,-1.5213333333333334,-1.3373333333333333,-1.4246666666666665,-1.3426666666666667,-1.884,-1.4313333333333336,-1.4440000000000002
-32,-1.306,-1.5093333333333334,-1.3820000000000001,-1.3186666666666667,-1.2893333333333332,-1.3693333333333335,-1.4433333333333336,-1.3733333333333335,-1.3419999999999999,-1.2786666666666666,-1.8846666666666667,-1.4113333333333336,-1.409
-31,-1.3246666666666667,-1.5093333333333334,-1.4413333333333334,-1.2706666666666668,-1.2933333333333332,-1.3426666666666667,-1.4060000000000001,-1.4146666666666665,-1.286,-1.26,-1.944,-1.3206666666666669,-1.401111111111111
-30,-1.4086666666666667,-1.4873333333333332,-1.4453333333333334,-1.3006666666666669,-1.3413333333333335,-1.352,-1.4060000000000001,-1.3853333333333333,-1.238,-1.2413333333333334,-1.9486666666666668,-1.3206666666666669,-1.4062777777777777
-29,-1.4073333333333333,-1.45,-1.3546666666666665,-1.3273333333333333,-1.3406666666666667,-1.36,-1.3419999999999999,-1.3479999999999999,-1.238,-1.2413333333333334,-1.944,-1.4046666666666667,-1.3964999999999999
-28,-1.378,-1.4206666666666667,-1.3359999999999999,-1.3273333333333333,-1.2346666666666666,-1.3306666666666667,-1.286,-1.3773333333333333,-1.1913333333333334,-1.2899999999999998,-2.008,-1.4033333333333333,-1.381944444444444
-27,-1.3593333333333333,-1.4020000000000001,-1.3253333333333333,-1.3493333333333335,-1.1933333333333331,-1.3306666666666667,-1.2659999999999998,-1.3879999999999997,-1.1133333333333333,-1.29,-1.9973333333333332,-1.3926666666666667,-1.3672777777777778
-26,-1.3393333333333333,-1.3820000000000001,-1.2613333333333334,-1.412,-1.2013333333333334,-1.3599999999999999,-1.274,-1.3693333333333333,-1.1099999999999999,-1.29,-1.944,-1.3926666666666667,-1.3613333333333333
-25,-1.3766666666666665,-1.4193333333333333,-1.2019999999999997,-1.476,-1.2480000000000002,-1.4066666666666667,-1.3033333333333335,-1.3693333333333333,-1.188,-1.29,-1.9220000000000002,-1.372666666666667,-1.3811666666666669
-24,-1.406,-1.4193333333333333,-1.2286666666666666,-1.524,-1.2480000000000002,-1.4646666666666666,-1.3593333333333333,-1.4266666666666665,-1.2253333333333336,-1.3193333333333332,-1.8726666666666667,-1.3806666666666667,-1.4062222222222223
-23,-1.406,-1.3820000000000001,-1.2473333333333334,-1.486,-1.1840000000000002,-1.442,-1.3593333333333333,-1.43,-1.168,-1.3459999999999999,-1.8246666666666667,-1.3513333333333335,-1.3855555555555557
-22,-1.3873333333333335,-1.3713333333333333,-1.258,-1.408,-1.1800000000000002,-1.3593333333333333,-1.3300000000000003,-1.411333333333333,-1.1686666666666665,-1.3459999999999999,-1.7886666666666666,-1.322,-1.3608888888888888
-21,-1.3386666666666664,-1.3820000000000001,-1.2673333333333332,-1.3519999999999999,-1.2093333333333334,-1.3326666666666669,-1.3406666666666667,-1.3926666666666667,-1.1886666666666668,-1.3953333333333333,-1.726,-1.3326666666666667,-1.3548333333333336
-20,-1.3159999999999998,-1.3373333333333333,-1.2753333333333332,-1.3413333333333335,-1.1893333333333334,-1.314,-1.2959999999999998,-1.3566666666666667,-1.1900000000000002,-1.4140000000000001,-1.7033333333333334,-1.3106666666666666,-1.337
-19,-1.2333333333333334,-1.2813333333333332,-1.3033333333333332,-1.3900000000000001,-1.156,-1.258,-1.2626666666666666,-1.3346666666666667,-1.1633333333333333,-1.394,-1.6173333333333335,-1.2613333333333332,-1.3046111111111112
-18,-1.2346666666666666,-1.272,-1.3406666666666667,-1.386,-1.1280000000000001,-1.2579999999999998,-1.2906666666666666,-1.312,-1.1446666666666665,-1.379333333333333,-1.6026666666666667,-1.2613333333333332,-1.3008333333333333
-17,-1.2906666666666666,-1.328,-1.378,-1.4126666666666667,-1.108,-1.2779999999999998,-1.3466666666666667,-1.248,-1.1166666666666667,-1.4073333333333333,-1.6506666666666665,-1.2906666666666666,-1.3212777777777778
-16,-1.3279999999999998,-1.3653333333333333,-1.3333333333333333,-1.4606666666666668,-1.0666666666666667,-1.2686666666666668,-1.3840000000000001,-1.244,-1.1086666666666667,-1.4273333333333333,-1.6286666666666667,-1.3279999999999998,-1.328611111111111
-15,-1.3013333333333332,-1.338666666666667,-1.3,-1.4606666666666668,-1.0653333333333335,-1.2686666666666668,-1.3573333333333333,-1.3,-1.1660000000000001,-1.4566666666666668,-1.5753333333333333,-1.338666666666667,-1.327388888888889
-14,-1.2826666666666668,-1.32,-1.308,-1.4980000000000002,-1.0546666666666666,-1.2686666666666668,-1.338666666666667,-1.3906666666666667,-1.2566666666666666,-1.438,-1.5160000000000002,-1.2826666666666666,-1.3295555555555556
-13,-1.2826666666666668,-1.32,-1.328,-1.4980000000000002,-1.1013333333333333,-1.2406666666666666,-1.338666666666667,-1.38,-1.3033333333333335,-1.36,-1.5113333333333332,-1.264,-1.3273333333333333
-12,-1.3013333333333335,-1.3386666666666664,-1.338666666666667,-1.4386666666666665,-1.1653333333333333,-1.2033333333333334,-1.3573333333333333,-1.3506666666666667,-1.3033333333333335,-1.3599999999999999,-1.5486666666666666,-1.264,-1.3308333333333333
-11,-1.3793333333333335,-1.4166666666666667,-1.32,-1.3746666666666667,-1.1853333333333333,-1.1926666666666668,-1.4353333333333333,-1.3226666666666667,-1.2733333333333334,-1.3893333333333333,-1.5526666666666666,-1.3233333333333333,-1.3471111111111111
-10,-1.4326666666666668,-1.47,-1.32,-1.3186666666666667,-1.1586666666666665,-1.252,-1.4886666666666666,-1.3146666666666669,-1.1673333333333331,-1.4080000000000001,-1.5266666666666666,-1.406,-1.3552777777777776
-9,-1.4813333333333332,-1.5186666666666668,-1.342,-1.2986666666666666,-1.1386666666666665,-1.2566666666666668,-1.5106666666666666,-1.2853333333333334,-1.1680000000000001,-1.4566666666666668,-1.512,-1.4839999999999998,-1.3710555555555555
-8,-1.5106666666666666,-1.5293333333333332,-1.3526666666666667,-1.2786666666666666,-1.176,-1.2420000000000002,-1.5106666666666666,-1.2813333333333332,-1.252,-1.4833333333333334,-1.5113333333333334,-1.5133333333333332,-1.3867777777777777
-7,-1.5106666666666666,-1.5106666666666666,-1.3233333333333333,-1.2986666666666666,-1.1800000000000002,-1.214,-1.5106666666666666,-1.3373333333333333,-1.2406666666666666,-1.4833333333333334,-1.5246666666666668,-1.5133333333333332,-1.3872777777777776
-6,-1.4813333333333334,-1.4813333333333332,-1.294,-1.328,-1.1806666666666668,-1.222,-1.4813333333333334,-1.4200000000000002,-1.2393333333333334,-1.4566666666666668,-1.5346666666666666,-1.4840000000000002,-1.383611111111111
-5,-1.4666666666666666,-1.4666666666666666,-1.3126666666666666,-1.3093333333333335,-1.1993333333333334,-1.2519999999999998,-1.4666666666666666,-1.456,-1.238,-1.494,-1.5573333333333332,-1.4466666666666668,-1.3887777777777774
-4,-1.5446666666666669,-1.4866666666666668,-1.3906666666666667,-1.2606666666666664,-1.2286666666666666,-1.2706666666666666,-1.5446666666666669,-1.4186666666666667,-1.238,-1.5719999999999998,-1.6433333333333333,-1.4913333333333334,-1.4241666666666664
-3,-1.558,-1.4666666666666666,-1.3946666666666667,-1.2646666666666666,-1.2899999999999998,-1.2813333333333334,-1.558,-1.4146666666666665,-1.3206666666666669,-1.5826666666666669,-1.654,-1.5046666666666666,-1.4408333333333336
-2,-1.494,-1.4026666666666665,-1.3306666666666667,-1.238,-1.282,-1.2906666666666666,-1.494,-1.4520000000000002,-1.4266666666666665,-1.5626666666666666,-1.5946666666666667,-1.4673333333333332,-1.4196111111111112
-1,-1.4673333333333334,-1.3760000000000001,-1.3266666666666667,-1.2473333333333332,-1.262,-1.3,-1.4673333333333334,-1.4520000000000002,-1.5173333333333334,-1.5719999999999998,-1.5586666666666669,-1.4673333333333334,-1.4178333333333333
0,-1.4713333333333334,-1.4026666666666665,-1.3826666666666665,-1.2506666666666666,-1.2433333333333332,-1.3266666666666669,-1.4713333333333334,-1.4293333333333331,-1.508,-1.576,-1.5593333333333335,-1.4713333333333334,-1.4243888888888885
1,-1.4913333333333332,-1.436,-1.4386666666666665,-1.2146666666666666,-1.2166666666666666,-1.3826666666666665,-1.4913333333333332,-1.3666666666666667,-1.4453333333333334,-1.576,-1.5966666666666667,-1.4913333333333334,-1.4289444444444446
2,-1.5473333333333334,-1.456,-1.448,-1.2786666666666666,-1.198,-1.4400000000000002,-1.5473333333333334,-1.3813333333333333,-1.4826666666666668,-1.576,-1.5746666666666667,-1.5473333333333334,-1.4564444444444444
3,-1.562,-1.52,-1.4186666666666665,-1.2800000000000002,-1.114,-1.4480000000000002,-1.584666666666667,-1.4013333333333333,-1.5160000000000002,-1.5666666666666667,-1.5386666666666668,-1.5579999999999998,-1.4589999999999999
4,-1.504,-1.4606666666666668,-1.448,-1.2813333333333332,-1.114,-1.4293333333333333,-1.54,-1.4853333333333334,-1.5160000000000002,-1.5706666666666667,-1.5253333333333334,-1.4520000000000002,-1.443888888888889
5,-1.4546666666666668,-1.35,-1.4626666666666668,-1.3146666666666667,-1.1553333333333333,-1.3233333333333335,-1.4573333333333334,-1.5266666666666666,-1.564,-1.5719999999999998,-1.5246666666666664,-1.3693333333333333,-1.4228888888888889
6,-1.3686666666666667,-1.264,-1.4146666666666665,-1.3346666666666667,-1.1753333333333333,-1.2326666666666666,-1.3713333333333333,-1.5186666666666666,-1.5673333333333332,-1.5273333333333334,-1.4780000000000002,-1.3213333333333332,-1.3811666666666664
7,-1.3393333333333333,-1.2346666666666668,-1.4040000000000001,-1.3920000000000001,-1.1753333333333333,-1.186,-1.3139999999999998,-1.4893333333333336,-1.5313333333333332,-1.4366666666666668,-1.4486666666666668,-1.3106666666666666,-1.3551666666666666
8,-1.3113333333333332,-1.2346666666666668,-1.3760000000000001,-1.3906666666666667,-1.1606666666666667,-1.214,-1.306,-1.4053333333333335,-1.5420000000000003,-1.3806666666666665,-1.4073333333333333,-1.2826666666666666,-1.3342777777777777
9,-1.3033333333333332,-1.2346666666666668,-1.3679999999999999,-1.38,-1.1493333333333333,-1.206,-1.306,-1.3146666666666667,-1.4953333333333334,-1.2966666666666666,-1.4066666666666667,-1.2746666666666664,-1.3112777777777778
10,-1.314,-1.2453333333333334,-1.3213333333333332,-1.352,-1.1026666666666667,-1.1480000000000001,-1.2593333333333334,-1.2773333333333334,-1.4686666666666668,-1.2326666666666666,-1.4066666666666667,-1.228,-1.2796666666666667
11,-1.3186666666666667,-1.308,-1.2733333333333332,-1.3146666666666669,-1.0733333333333333,-1.1293333333333335,-1.2113333333333332,-1.2773333333333334,-1.4113333333333336,-1.1840000000000002,-1.411333333333333,-1.18,-1.257722222222222
12,-1.3413333333333335,-1.364,-1.3180000000000003,-1.2813333333333332,-1.0319999999999998,-1.13,-1.256,-1.2666666666666666,-1.3586666666666667,-1.2373333333333332,-1.438,-1.2026666666666666,-1.2688333333333335
13,-1.4273333333333333,-1.3906666666666667,-1.4086666666666665,-1.308,-1.0586666666666666,-1.1786666666666668,-1.3466666666666667,-1.256,-1.2993333333333335,-1.2933333333333332,-1.4393333333333334,-1.2293333333333334,-1.303
14,-1.4313333333333333,-1.3613333333333335,-1.4353333333333333,-1.334666666666667,-1.1053333333333333,-1.2053333333333334,-1.3733333333333333,-1.1986666666666665,-1.1886666666666665,-1.2826666666666668,-1.4493333333333331,-1.2186666666666668,-1.2987222222222223
15,-1.428,-1.324,-1.3993333333333335,-1.3213333333333332,-1.1346666666666667,-1.1826666666666668,-1.396,-1.165333333333333,-1.1606666666666667,-1.2213333333333334,-1.438,-1.2053333333333331,-1.2813888888888891
16,-1.4280000000000002,-1.3106666666666666,-1.3633333333333333,-1.2933333333333334,-1.2253333333333336,-1.1266666666666665,-1.3960000000000001,-1.1453333333333333,-1.1593333333333333,-1.2413333333333334,-1.3820000000000001,-1.2053333333333331,-1.2730555555555556
17,-1.392,-1.2826666666666666,-1.3673333333333335,-1.2293333333333332,-1.2813333333333334,-1.1173333333333335,-1.37,-1.142,-1.1233333333333335,-1.2973333333333332,-1.326,-1.1786666666666668,-1.2589444444444444
18,-1.3880000000000001,-1.2,-1.3673333333333335,-1.228,-1.3873333333333333,-1.1466666666666667,-1.3699999999999999,-1.1406666666666667,-1.1099999999999999,-1.3066666666666669,-1.3353333333333335,-1.1680000000000001,-1.2623333333333333
19,-1.3866666666666667,-1.2,-1.338,-1.2373333333333334,-1.4006666666666665,-1.1466666666666667,-1.3553333333333333,-1.0566666666666669,-1.1926666666666668,-1.2920000000000003,-1.3446666666666665,-1.216,-1.2638888888888888
20,-1.3733333333333335,-1.2480000000000002,-1.2966666666666666,-1.2866666666666666,-1.3673333333333333,-1.204,-1.3846666666666667,-1.0233333333333334,-1.1913333333333334,-1.35,-1.3153333333333335,-1.208,-1.2707222222222223
21,-1.4013333333333333,-1.276,-1.296,-1.2853333333333334,-1.3473333333333335,-1.2946666666666666,-1.426,-1.0233333333333332,-1.1873333333333334,-1.35,-1.3619999999999999,-1.1966666666666665,-1.2871666666666666
22,-1.4346666666666665,-1.3093333333333335,-1.3333333333333333,-1.2746666666666668,-1.318,-1.3426666666666667,-1.4460000000000002,-1.0233333333333332,-1.2006666666666665,-1.35,-1.3806666666666667,-1.1966666666666665,-1.3008333333333333
23,-1.4926666666666668,-1.3093333333333335,-1.3946666666666667,-1.334,-1.3193333333333332,-1.3426666666666667,-1.4726666666666666,-1.0806666666666667,-1.2013333333333336,-1.3793333333333335,-1.3886666666666665,-1.2433333333333334,-1.329888888888889
