,TSS_1::Pseudomonas_phage_phiKZ:34-234(),TSS_2::Pseudomonas_phage_phiKZ:2075-2275(),TSS_3::Pseudomonas_phage_phiKZ:2579-2779(),TSS_4::Pseudomonas_phage_phiKZ:4080-4280(),TSS_5::Pseudomonas_phage_phiKZ:4430-4630(),TSS_6::Pseudomonas_phage_phiKZ:23499-23699(),TSS_7::Pseudomonas_phage_phiKZ:26443-26643(),TSS_8::Pseudomonas_phage_phiKZ:29312-29512(),TSS_9::Pseudomonas_phage_phiKZ:34498-34698(),TSS_10::Pseudomonas_phage_phiKZ:35790-35990(),TSS_11::Pseudomonas_phage_phiKZ:42741-42941(),TSS_12::Pseudomonas_phage_phiKZ:44836-45036(),TSS_13::Pseudomonas_phage_phiKZ:45277-45477(),TSS_14::Pseudomonas_phage_phiKZ:45482-45682(),TSS_15::Pseudomonas_phage_phiKZ:49068-49268(),TSS_16::Pseudomonas_phage_phiKZ:51629-51829(),TSS_17::Pseudomonas_phage_phiKZ:53598-53798(),TSS_18::Pseudomonas_phage_phiKZ:57000-57200(),TSS_19::Pseudomonas_phage_phiKZ:57898-58098(),TSS_20::Pseudomonas_phage_phiKZ:62977-63177(),TSS_21::Pseudomonas_phage_phiKZ:70253-70453(),TSS_22::Pseudomonas_phage_phiKZ:74050-74250(),TSS_23::Pseudomonas_phage_phiKZ:77825-78025(),TSS_24::Pseudomonas_phage_phiKZ:81832-82032(),TSS_25::Pseudomonas_phage_phiKZ:88430-88630(),TSS_26::Pseudomonas_phage_phiKZ:106789-106989(),TSS_27::Pseudomonas_phage_phiKZ:107977-108177(),TSS_28::Pseudomonas_phage_phiKZ:120571-120771(),TSS_29::Pseudomonas_phage_phiKZ:137415-137615(),TSS_30::Pseudomonas_phage_phiKZ:171768-171968(),TSS_31::Pseudomonas_phage_phiKZ:172284-172484(),TSS_32::Pseudomonas_phage_phiKZ:198020-198220(),TSS_33::Pseudomonas_phage_phiKZ:199131-199331(),TSS_34::Pseudomonas_phage_phiKZ:204064-204264(),TSS_35::Pseudomonas_phage_phiKZ:212978-213178(),TSS_36::Pseudomonas_phage_phiKZ:220695-220895(),TSS_37::Pseudomonas_phage_phiKZ:221407-221607(),TSS_38::Pseudomonas_phage_phiKZ:221762-221962(),TSS_39::Pseudomonas_phage_phiKZ:226720-226920(),TSS_40::Pseudomonas_phage_phiKZ:228506-228706(),TSS_41::Pseudomonas_phage_phiKZ:237201-237401(),TSS_42::Pseudomonas_phage_phiKZ:240272-240472(),TSS_43::Pseudomonas_phage_phiKZ:243936-244136(),TSS_44::Pseudomonas_phage_phiKZ:245599-245799(),TSS_45::Pseudomonas_phage_phiKZ:246621-246821(),TSS_46::Pseudomonas_phage_phiKZ:250558-250758(),TSS_47::Pseudomonas_phage_phiKZ:254647-254847(),TSS_48::Pseudomonas_phage_phiKZ:257484-257684(),TSS_49::Pseudomonas_phage_phiKZ:266796-266996(),mean
-85,-1.1106666666666667,-1.2506666666666668,-1.1806666666666668,-1.4493333333333331,-1.6366666666666667,-1.2480000000000002,-1.108,-1.4133333333333336,-1.2380000000000002,-1.258,-1.3333333333333333,-1.5306666666666666,-1.2826666666666668,-1.1206666666666665,-1.468,-1.1226666666666667,-1.3386666666666664,-1.1373333333333333,-1.3186666666666667,-1.062,-1.1573333333333335,-1.062,-1.4193333333333333,-1.3306666666666667,-1.0413333333333332,-1.0526666666666666,-1.397333333333333,-1.4073333333333333,-0.9713333333333333,-1.1853333333333331,-1.0173333333333334,-1.2280000000000002,-1.2666666666666666,-1.0293333333333332,-1.3373333333333335,-1.4053333333333333,-1.236,-1.2833333333333334,-1.2546666666666666,-1.192,-1.1260000000000001,-0.9806666666666666,-1.1933333333333336,-1.4193333333333333,-1.0,-1.3106666666666666,-1.2586666666666666,-1.064,-1.046,-1.2302312925170067
-84,-1.0826666666666667,-1.2126666666666666,-1.2073333333333336,-1.412,-1.5953333333333333,-1.19,-1.1413333333333333,-1.4213333333333333,-1.2100000000000002,-1.258,-1.38,-1.5026666666666668,-1.2906666666666666,-1.1406666666666667,-1.488,-1.1146666666666667,-1.3053333333333332,-1.1753333333333336,-1.3186666666666667,-1.1,-1.1666666666666667,-1.1233333333333335,-1.4673333333333334,-1.2933333333333334,-0.9833333333333333,-1.038,-1.3599999999999999,-1.3713333333333333,-1.018,-1.1933333333333331,-1.0173333333333332,-1.228,-1.2293333333333332,-1.074,-1.3593333333333333,-1.3866666666666665,-1.236,-1.3406666666666667,-1.338666666666667,-1.1586666666666665,-1.1340000000000001,-1.0073333333333332,-1.1746666666666667,-1.438,-0.98,-1.3486666666666667,-1.1746666666666665,-1.1219999999999999,-0.9886666666666667,-1.2305714285714284
-83,-1.0826666666666667,-1.1926666666666668,-1.198,-1.3760000000000001,-1.5940000000000003,-1.1713333333333333,-1.1713333333333333,-1.3920000000000001,-1.2393333333333336,-1.25,-1.3986666666666667,-1.5026666666666666,-1.3373333333333335,-1.1126666666666667,-1.5406666666666666,-1.0666666666666667,-1.3053333333333332,-1.2233333333333332,-1.2606666666666666,-1.1840000000000002,-1.1706666666666665,-1.1313333333333333,-1.4706666666666668,-1.2466666666666666,-0.9833333333333333,-1.0753333333333333,-1.3599999999999999,-1.3446666666666665,-1.046,-1.164,-1.0173333333333334,-1.2466666666666666,-1.2293333333333334,-1.1113333333333335,-1.3966666666666667,-1.3399999999999999,-1.2846666666666668,-1.2926666666666666,-1.3373333333333335,-1.1666666666666667,-1.134,-0.978,-1.1546666666666667,-1.41,-1.0,-1.35,-1.1186666666666665,-1.1486666666666667,-1.0366666666666666,-1.2315374149659863
-82,-1.1026666666666667,-1.1726666666666667,-1.1686666666666665,-1.3233333333333333,-1.5313333333333334,-1.1993333333333331,-1.1900000000000002,-1.3506666666666667,-1.2426666666666668,-1.222,-1.4246666666666667,-1.4726666666666666,-1.326,-1.1406666666666667,-1.4826666666666666,-1.0573333333333332,-1.2753333333333332,-1.2153333333333334,-1.2706666666666666,-1.2026666666666666,-1.1906666666666668,-1.1593333333333333,-1.4506666666666668,-1.1906666666666665,-1.0206666666666666,-1.1086666666666667,-1.3219999999999998,-1.2386666666666668,-1.076,-1.1306666666666665,-1.0546666666666666,-1.228,-1.2193333333333336,-1.1686666666666665,-1.411333333333333,-1.254,-1.3419999999999999,-1.2633333333333332,-1.2546666666666666,-1.1946666666666665,-1.134,-0.9206666666666667,-1.1246666666666667,-1.3820000000000001,-1.0,-1.3299999999999998,-1.0893333333333333,-1.120666666666667,-1.066,-1.220761904761905
-81,-1.0746666666666667,-1.2006666666666668,-1.1800000000000002,-1.3233333333333335,-1.5046666666666666,-1.2193333333333334,-1.1980000000000002,-1.3306666666666667,-1.244,-1.252,-1.4246666666666667,-1.3886666666666665,-1.2666666666666666,-1.1980000000000002,-1.4733333333333334,-1.0613333333333332,-1.2853333333333332,-1.2153333333333334,-1.2973333333333334,-1.24,-1.2093333333333334,-1.1593333333333333,-1.4206666666666667,-1.2006666666666668,-1.078,-1.09,-1.2846666666666666,-1.1826666666666668,-1.0666666666666667,-1.1306666666666665,-1.0813333333333333,-1.2386666666666668,-1.23,-1.2019999999999997,-1.422666666666667,-1.2246666666666666,-1.312,-1.2833333333333334,-1.2360000000000002,-1.1946666666666665,-1.1340000000000001,-0.9206666666666667,-1.0966666666666667,-1.326,-0.972,-1.3599999999999999,-1.052,-1.1486666666666667,-1.1033333333333333,-1.219170068027211
-80,-1.0546666666666666,-1.2086666666666668,-1.18,-1.3126666666666664,-1.5326666666666668,-1.272,-1.2166666666666666,-1.332,-1.2706666666666666,-1.2893333333333332,-1.4246666666666665,-1.3986666666666667,-1.252,-1.2353333333333332,-1.4733333333333334,-1.024,-1.3633333333333333,-1.1673333333333331,-1.344,-1.3013333333333332,-1.2653333333333334,-1.1593333333333333,-1.4220000000000002,-1.1993333333333331,-1.1193333333333333,-1.062,-1.2846666666666666,-1.1793333333333333,-1.0373333333333332,-1.0826666666666667,-1.0666666666666667,-1.272,-1.23,-1.2020000000000002,-1.5066666666666668,-1.2433333333333332,-1.2853333333333334,-1.3366666666666667,-1.1786666666666668,-1.1666666666666667,-1.1526666666666665,-0.9406666666666667,-1.0386666666666666,-1.3219999999999998,-0.972,-1.3866666666666667,-0.9946666666666667,-1.1206666666666665,-1.114,-1.2243809523809523
-79,-1.0513333333333332,-1.2366666666666668,-1.208,-1.3613333333333335,-1.5420000000000003,-1.2360000000000002,-1.2353333333333334,-1.3093333333333335,-1.2666666666666666,-1.2673333333333334,-1.4626666666666666,-1.4466666666666665,-1.252,-1.2353333333333334,-1.4173333333333331,-1.024,-1.3766666666666667,-1.168,-1.3706666666666665,-1.3013333333333332,-1.3293333333333333,-1.1673333333333331,-1.5046666666666666,-1.1846666666666665,-1.1393333333333333,-1.088666666666667,-1.3113333333333332,-1.1993333333333334,-1.0373333333333332,-1.0833333333333333,-1.0933333333333333,-1.292,-1.2526666666666666,-1.174,-1.5053333333333332,-1.2913333333333334,-1.2986666666666666,-1.332,-1.1753333333333333,-1.1093333333333333,-1.2586666666666668,-0.9126666666666666,-1.012,-1.3253333333333333,-0.9440000000000001,-1.3293333333333333,-1.0146666666666666,-1.0633333333333335,-1.0673333333333332,-1.2299047619047618
-78,-1.0873333333333333,-1.2366666666666668,-1.208,-1.3946666666666667,-1.4926666666666668,-1.208,-1.2166666666666666,-1.2813333333333334,-1.2466666666666666,-1.2540000000000002,-1.4626666666666666,-1.4200000000000002,-1.2220000000000002,-1.206,-1.4026666666666665,-1.062,-1.3393333333333333,-1.1866666666666668,-1.3893333333333333,-1.2933333333333332,-1.3186666666666667,-1.1593333333333333,-1.5046666666666666,-1.2046666666666668,-1.1193333333333333,-1.1086666666666667,-1.3113333333333332,-1.1993333333333331,-1.0853333333333335,-1.102,-1.1400000000000001,-1.3293333333333335,-1.282,-1.194,-1.444,-1.2913333333333334,-1.2986666666666666,-1.31,-1.2020000000000002,-1.0906666666666667,-1.3,-0.9046666666666667,-0.9653333333333333,-1.2693333333333332,-0.9066666666666666,-1.2653333333333334,-0.9866666666666667,-1.1213333333333333,-1.0593333333333332,-1.226204081632653
-77,-1.0606666666666666,-1.2006666666666668,-1.1506666666666665,-1.3953333333333333,-1.4286666666666668,-1.18,-1.198,-1.2533333333333334,-1.2666666666666666,-1.262,-1.3846666666666667,-1.4306666666666668,-1.2033333333333334,-1.2526666666666668,-1.4293333333333333,-1.1086666666666667,-1.3673333333333333,-1.1973333333333334,-1.4673333333333334,-1.282,-1.2813333333333334,-1.1593333333333333,-1.5153333333333336,-1.1846666666666665,-1.1673333333333333,-1.1666666666666667,-1.2553333333333332,-1.2033333333333331,-1.0886666666666664,-1.13,-1.1666666666666667,-1.3666666666666667,-1.2339999999999998,-1.2019999999999997,-1.444,-1.302,-1.2413333333333332,-1.306,-1.1446666666666667,-1.0706666666666667,-1.2733333333333334,-0.8766666666666667,-0.9453333333333334,-1.2793333333333332,-0.8773333333333333,-1.2093333333333334,-0.9946666666666667,-1.1413333333333333,-1.0126666666666666,-1.2195782312925172
-76,-1.062,-1.1366666666666667,-1.1706666666666667,-1.3326666666666667,-1.402,-1.1720000000000002,-1.198,-1.2533333333333334,-1.2666666666666666,-1.2626666666666668,-1.37,-1.4346666666666665,-1.1740000000000002,-1.3106666666666666,-1.4106666666666667,-1.1273333333333333,-1.3473333333333335,-1.26,-1.482,-1.2806666666666666,-1.2546666666666666,-1.1593333333333333,-1.5713333333333337,-1.1513333333333333,-1.2233333333333334,-1.1933333333333331,-1.222,-1.2333333333333334,-1.062,-1.1380000000000001,-1.2506666666666666,-1.3773333333333333,-1.178,-1.1833333333333333,-1.4720000000000002,-1.2573333333333332,-1.1773333333333333,-1.286,-1.1113333333333335,-1.0626666666666666,-1.1673333333333331,-0.9146666666666666,-0.9533333333333333,-1.3053333333333332,-0.9346666666666668,-1.1986666666666668,-0.9866666666666666,-1.1713333333333333,-0.9860000000000001,-1.2170748299319727
-75,-1.0919999999999999,-1.088666666666667,-1.140666666666667,-1.3046666666666666,-1.3573333333333333,-1.1906666666666665,-1.2060000000000002,-1.2233333333333334,-1.2186666666666668,-1.2253333333333336,-1.358666666666667,-1.382,-1.174,-1.3106666666666666,-1.3920000000000001,-1.1553333333333335,-1.2833333333333334,-1.2866666666666666,-1.4040000000000001,-1.2899999999999998,-1.2906666666666666,-1.1213333333333333,-1.582,-1.1513333333333333,-1.2493333333333334,-1.1933333333333336,-1.2020000000000002,-1.2813333333333332,-1.0913333333333335,-1.1086666666666667,-1.2393333333333334,-1.4066666666666667,-1.1406666666666667,-1.0993333333333333,-1.424,-1.2013333333333334,-1.148,-1.314,-1.1113333333333335,-1.0146666666666666,-1.1380000000000001,-0.9626666666666668,-0.9733333333333333,-1.3053333333333332,-1.0173333333333332,-1.188,-0.9866666666666667,-1.2073333333333334,-1.0433333333333334,-1.2097278911564626
-74,-1.1106666666666667,-1.0966666666666667,-1.094,-1.314,-1.3479999999999999,-1.2686666666666668,-1.1793333333333333,-1.1373333333333333,-1.1626666666666667,-1.1640000000000001,-1.312,-1.404,-1.258,-1.2813333333333332,-1.392,-1.1179999999999999,-1.2473333333333334,-1.268,-1.3679999999999999,-1.3126666666666664,-1.3173333333333335,-1.1013333333333333,-1.4980000000000002,-1.1513333333333333,-1.2586666666666666,-1.1933333333333336,-1.2300000000000002,-1.2533333333333334,-1.2020000000000002,-1.0513333333333335,-1.2193333333333334,-1.4106666666666667,-1.1686666666666665,-1.1106666666666667,-1.3980000000000001,-1.1753333333333333,-1.148,-1.306,-1.1493333333333333,-0.9813333333333333,-1.1006666666666667,-0.9926666666666667,-0.9453333333333334,-1.3053333333333335,-1.0813333333333333,-1.1266666666666665,-0.9333333333333333,-1.194,-1.0466666666666666,-1.2017687074829932
-73,-1.1106666666666665,-1.0886666666666664,-1.094,-1.3099999999999998,-1.352,-1.3513333333333333,-1.1313333333333333,-1.0839999999999999,-1.0799999999999998,-1.144,-1.2853333333333332,-1.404,-1.2613333333333332,-1.2199999999999998,-1.354,-1.0913333333333333,-1.161333333333333,-1.22,-1.3679999999999999,-1.4033333333333333,-1.3453333333333335,-1.0733333333333333,-1.412,-1.1433333333333335,-1.2773333333333334,-1.2293333333333334,-1.24,-1.192,-1.2286666666666666,-1.0813333333333333,-1.246,-1.3546666666666667,-1.168,-1.1586666666666667,-1.3619999999999999,-1.2020000000000002,-1.156,-1.3433333333333335,-1.1973333333333334,-1.0013333333333334,-1.0433333333333332,-1.0566666666666666,-0.9253333333333332,-1.276,-1.1653333333333333,-1.134666666666667,-0.8866666666666667,-1.186,-1.0266666666666666,-1.1964761904761902
-72,-1.1026666666666667,-1.0313333333333334,-1.1219999999999999,-1.282,-1.2993333333333332,-1.3873333333333333,-1.1513333333333333,-1.0986666666666667,-1.0599999999999998,-1.1306666666666667,-1.2653333333333334,-1.3813333333333333,-1.2053333333333331,-1.2499999999999998,-1.276,-1.1179999999999999,-1.1,-1.22,-1.3106666666666666,-1.4220000000000002,-1.3173333333333335,-1.0933333333333333,-1.3853333333333333,-1.1133333333333333,-1.2773333333333334,-1.256,-1.2266666666666668,-1.212,-1.2006666666666668,-1.0706666666666667,-1.3519999999999999,-1.3286666666666667,-1.1453333333333333,-1.1586666666666665,-1.2980000000000003,-1.2220000000000002,-1.186,-1.3433333333333333,-1.1673333333333333,-1.0839999999999999,-1.0713333333333332,-1.1126666666666667,-0.8919999999999999,-1.1933333333333336,-1.1640000000000001,-1.134666666666667,-0.9346666666666666,-1.166,-1.0346666666666666,-1.1909251700680272
-71,-1.1320000000000001,-0.9753333333333334,-1.13,-1.302,-1.2993333333333332,-1.3233333333333335,-1.1606666666666667,-1.0693333333333332,-1.068,-1.1946666666666668,-1.2453333333333334,-1.3813333333333333,-1.2153333333333334,-1.2979999999999998,-1.1653333333333333,-1.1473333333333333,-1.1380000000000001,-1.22,-1.248,-1.4326666666666665,-1.3373333333333335,-1.1306666666666667,-1.332,-1.0933333333333333,-1.2779999999999998,-1.228,-1.2266666666666668,-1.248,-1.2486666666666666,-1.0133333333333332,-1.416,-1.3553333333333333,-1.1566666666666667,-1.188,-1.2686666666666668,-1.1846666666666665,-1.2699999999999998,-1.3099999999999998,-1.1673333333333333,-1.084,-1.0713333333333332,-1.1593333333333333,-0.912,-1.192,-1.1533333333333333,-1.0973333333333335,-0.9759999999999999,-1.162,-1.0826666666666667,-1.1936462585034013
-70,-1.1693333333333333,-0.9339999999999999,-1.1113333333333335,-1.3433333333333335,-1.2979999999999998,-1.3233333333333335,-1.1046666666666667,-1.0659999999999998,-1.1260000000000001,-1.2519999999999998,-1.2266666666666668,-1.4639999999999997,-1.2433333333333332,-1.3113333333333335,-1.1753333333333333,-1.2046666666666668,-1.1846666666666665,-1.2426666666666668,-1.2853333333333332,-1.4460000000000002,-1.3746666666666665,-1.1013333333333333,-1.284,-1.0933333333333333,-1.334,-1.2293333333333334,-1.2266666666666668,-1.2973333333333334,-1.286,-1.0333333333333334,-1.472,-1.3753333333333333,-1.2046666666666666,-1.2026666666666668,-1.222,-1.1553333333333333,-1.26,-1.3193333333333332,-1.1933333333333336,-1.0426666666666666,-1.0753333333333333,-1.148,-0.9413333333333332,-1.218,-1.2093333333333334,-1.036,-0.968,-1.218,-1.12,-1.2072108843537415
-69,-1.1693333333333333,-0.9139999999999999,-1.0753333333333333,-1.3166666666666667,-1.278,-1.4073333333333335,-1.1006666666666667,-1.0859999999999999,-1.1540000000000001,-1.224,-1.2280000000000002,-1.492,-1.2633333333333332,-1.3113333333333332,-1.174,-1.242,-1.1846666666666665,-1.242,-1.3679999999999999,-1.408,-1.3453333333333333,-1.0866666666666664,-1.264,-1.1306666666666667,-1.3806666666666667,-1.2666666666666666,-1.2373333333333334,-1.3333333333333335,-1.2966666666666666,-1.0893333333333333,-1.5333333333333334,-1.3766666666666667,-1.2046666666666668,-1.1166666666666667,-1.144,-1.174,-1.1960000000000002,-1.3193333333333335,-1.166666666666667,-1.0146666666666666,-1.0953333333333333,-1.1853333333333333,-0.9600000000000001,-1.218,-1.2933333333333332,-1.036,-0.996,-1.2706666666666666,-1.1199999999999999,-1.2140816326530612
-68,-1.1993333333333331,-0.9339999999999999,-1.0846666666666667,-1.326,-1.2893333333333332,-1.4633333333333336,-1.1533333333333333,-1.0779999999999998,-1.1166666666666667,-1.224,-1.2426666666666668,-1.4839999999999998,-1.2740000000000002,-1.358,-1.0633333333333335,-1.2993333333333335,-1.2033333333333334,-1.2220000000000002,-1.4160000000000001,-1.352,-1.3413333333333335,-1.1066666666666665,-1.2306666666666668,-1.188,-1.3606666666666667,-1.2666666666666666,-1.2733333333333334,-1.36,-1.3593333333333333,-1.172,-1.5233333333333334,-1.4406666666666665,-1.2046666666666668,-1.0593333333333335,-1.088,-1.2206666666666666,-1.09,-1.3659999999999999,-1.12,-1.0146666666666666,-1.206,-1.2413333333333334,-0.98,-1.246,-1.3213333333333332,-1.036,-0.968,-1.2719999999999998,-1.0919999999999999,-1.2231020408163267
-67,-1.2633333333333332,-1.0446666666666666,-1.0846666666666667,-1.3293333333333335,-1.3253333333333333,-1.4820000000000002,-1.1906666666666665,-1.058,-1.0553333333333332,-1.2240000000000002,-1.1866666666666665,-1.4839999999999998,-1.2553333333333334,-1.3566666666666667,-1.0433333333333334,-1.3353333333333335,-1.2233333333333334,-1.2486666666666666,-1.4160000000000001,-1.3053333333333335,-1.4053333333333333,-1.1066666666666665,-1.2606666666666666,-1.2173333333333334,-1.35,-1.2519999999999998,-1.364,-1.4066666666666665,-1.4073333333333333,-1.192,-1.5233333333333332,-1.4606666666666668,-1.1846666666666665,-1.03,-1.0746666666666664,-1.2006666666666668,-1.0606666666666666,-1.386,-1.12,-1.0146666666666666,-1.226,-1.288,-0.9719999999999999,-1.2259999999999998,-1.3133333333333332,-1.056,-0.9599999999999999,-1.292,-1.0626666666666666,-1.2311292517006802
-66,-1.347333333333333,-1.1006666666666665,-1.0266666666666666,-1.3406666666666667,-1.352,-1.462,-1.2106666666666668,-1.078,-1.0273333333333334,-1.194,-1.108666666666667,-1.5306666666666666,-1.2553333333333332,-1.3566666666666665,-1.0233333333333332,-1.3353333333333335,-1.1853333333333333,-1.2673333333333332,-1.4533333333333334,-1.296,-1.4426666666666668,-1.1366666666666665,-1.2806666666666666,-1.2166666666666666,-1.3766666666666665,-1.3079999999999998,-1.4013333333333333,-1.4253333333333333,-1.4166666666666667,-1.1840000000000002,-1.5233333333333332,-1.4613333333333332,-1.1553333333333333,-0.9966666666666666,-1.1006666666666667,-1.1926666666666668,-1.0806666666666667,-1.3579999999999999,-1.1119999999999999,-1.0066666666666668,-1.2259999999999998,-1.288,-0.952,-1.2459999999999998,-1.3413333333333333,-1.0553333333333332,-0.9866666666666667,-1.264,-1.0053333333333334,-1.2345306122448978
-65,-1.366,-1.1193333333333333,-1.0066666666666666,-1.3406666666666667,-1.3813333333333333,-1.398,-1.1840000000000002,-1.0766666666666667,-0.9433333333333332,-1.13,-1.0673333333333335,-1.5193333333333332,-1.3146666666666667,-1.4100000000000001,-1.014,-1.3733333333333335,-1.1073333333333333,-1.2673333333333334,-1.5126666666666666,-1.3453333333333333,-1.4200000000000002,-1.1566666666666665,-1.2526666666666666,-1.2273333333333334,-1.3633333333333333,-1.3346666666666667,-1.342,-1.4513333333333334,-1.3886666666666665,-1.2306666666666668,-1.5606666666666666,-1.506,-1.1179999999999999,-0.9966666666666666,-1.078,-1.1926666666666668,-1.0806666666666667,-1.2473333333333334,-1.1586666666666665,-0.9866666666666667,-1.1793333333333333,-1.3146666666666667,-0.98,-1.246,-1.3786666666666667,-1.066,-1.0333333333333334,-1.264,-0.968,-1.2326530612244897
