,TSS_1::Pseudomonas_phage_phiKZ:1,TSS_2::Pseudomonas_phage_phiKZ:2,TSS_3::Pseudomonas_phage_phiKZ:3,TSS_4::Pseudomonas_phage_phiKZ:3,TSS_5::Pseudomonas_phage_phiKZ:4,TSS_6::Pseudomonas_phage_phiKZ:4,TSS_7::Pseudomonas_phage_phiKZ:4,TSS_8::Pseudomonas_phage_phiKZ:5,TSS_9::Pseudomonas_phage_phiKZ:5,TSS_10::Pseudomonas_phage_phiKZ:,TSS_11::Pseudomonas_phage_phiKZ:,TSS_12::Pseudomonas_phage_phiKZ:,TSS_13::Pseudomonas_phage_phiKZ:,TSS_14::Pseudomonas_phage_phiKZ:,TSS_15::Pseudomonas_phage_phiKZ:,TSS_16::Pseudomonas_phage_phiKZ:,TSS_17::Pseudomonas_phage_phiKZ:,TSS_18::Pseudomonas_phage_phiKZ:,TSS_19::Pseudomonas_phage_phiKZ:,TSS_20::Pseudomonas_phage_phiKZ:,TSS_21::Pseudomonas_phage_phiKZ:,TSS_22::Pseudomonas_phage_phiKZ:,TSS_23::Pseudomonas_phage_phiKZ:,TSS_24::Pseudomonas_phage_phiKZ:,TSS_25::Pseudomonas_phage_phiKZ:,TSS_26::Pseudomonas_phage_phiKZ:,TSS_27::Pseudomonas_phage_phiKZ:,TSS_28::Pseudomonas_phage_phiKZ:,TSS_29::Pseudomonas_phage_phiKZ:,TSS_30::Pseudomonas_phage_phiKZ:,TSS_31::Pseudomonas_phage_phiKZ:,TSS_32::Pseudomonas_phage_phiKZ:,TSS_33::Pseudomonas_phage_phiKZ:,TSS_34::Pseudomonas_phage_phiKZ:,TSS_35::Pseudomonas_phage_phiKZ:,TSS_36::Pseudomonas_phage_phiKZ:,TSS_37::Pseudomonas_phage_phiKZ:,TSS_38::Pseudomonas_phage_phiKZ:,TSS_39::Pseudomonas_phage_phiKZ:,TSS_40::Pseudomonas_phage_phiKZ:,TSS_41::Pseudomonas_phage_phiKZ:,TSS_42::Pseudomonas_phage_phiKZ:,TSS_43::Pseudomonas_phage_phiKZ:,TSS_44::Pseudomonas_phage_phiKZ:,mean
-81,0.05825444586068942,0.19189229465402263,0.12923629662144992,0.22168313821393232,0.1943289822778884,0.15208259260633206,0.11290604057309665,0.07668701872115066,0.23214005724173364,0.052005533981418675,0.11756039414349292,0.09280408886421043,0.08331930568959278,0.1333931389799918,0.09168844907865256,0.13440044922569894,0.12337988616849849,0.11623402434119197,0.11127522940501718,0.08295996910199388,0.11547775789473311,0.05860244283832008,0.11338673404180362,0.1527436943219745,0.09094199226330497,0.04140941787893257,0.09167124381074687,0.08057289019829313,0.08784616369669358,0.19336403796953525,0.07467773411881076,0.1303109638059614,0.08889299872714394,0.11136297677977443,0.09136033115937012,0.05149302165382445,0.07461222402366406,0.1367458974192132,0.07647561366715107,0.07637978242862993,0.16597670031856257,0.23593394747459434,0.07829162928909623,0.05127871441563745,0.11313727831695064
-80,0.06050474701651394,0.2055288639742027,0.14728321062171057,0.2356984981770503,0.20590192758912534,0.16755030442057944,0.12239699880341812,0.08533355539579963,0.24868697058058245,0.0587315341674986,0.13848588479676954,0.10397989479401426,0.0989844808640076,0.1478057119459731,0.09525591898889114,0.1443824906954798,0.13057881871488317,0.13200677413715495,0.13114265068815975,0.10074927427764266,0.12706551452827436,0.0671580079273108,0.12203512836472578,0.1747023571443979,0.10347541296585047,0.049553114070561566,0.10418831904313645,0.08372132509719712,0.09450404330245134,0.21000529428644787,0.083577069118039,0.14676199848571966,0.09917012842041073,0.12863700011495333,0.1039234921574751,0.061896580191226916,0.07964773663369065,0.16000458081165495,0.09221406003573497,0.08067377475541884,0.1798581896367456,0.2537268792101518,0.08383450452003054,0.058884015557261436,0.12523197811428008
-79,0.062187194047292206,0.2205830586323465,0.16480517562811575,0.2479941191092021,0.21281085615890505,0.1831744707505089,0.13093523576944913,0.09437680686432769,0.2629505803101507,0.06664693990972256,0.15951160796560035,0.11450444213156777,0.11535812525221494,0.15978376068294514,0.09803088513133934,0.1548891744279738,0.13726076898304898,0.14994088359771013,0.15026522233973705,0.11980547224246167,0.13899905499058413,0.07785618359100588,0.13010417218653852,0.1964353393561391,0.11639172367667583,0.058393581686188314,0.1167532938025585,0.08759930922367118,0.10004068489093525,0.22532888684377533,0.09362028024612765,0.1626698536831532,0.10800378399709643,0.1458390669058846,0.11571832011321592,0.07527093041839612,0.08416064800962711,0.183670351193654,0.10765910365378306,0.08397418959522024,0.19410015039786663,0.26956039654186487,0.08933279432476819,0.06731857180142047,0.13715035116056296
-78,0.06372675258127933,0.2356015434656767,0.1811408740511376,0.2578947326301985,0.21653559293902475,0.19805225034742052,0.13905662062642854,0.10387231597637299,0.27611253338530584,0.07656864279909101,0.17954480491154048,0.12397099456219758,0.13234799929442426,0.1695370872467353,0.1014202561665293,0.16636372974216634,0.14435292789381013,0.1692183091373241,0.16962717914502237,0.1402055127538065,0.15175663282382373,0.08988729451682095,0.13838330436051868,0.21740954330866677,0.12770550352513516,0.0675383295422579,0.12740596021767517,0.09364634568337489,0.10551115017791879,0.2386219294666787,0.10241072198496759,0.1781029089647757,0.11446359098968391,0.16360378605575804,0.12592427974263296,0.09151027066764861,0.08916732495933127,0.20601986465436198,0.12381384927990043,0.08637424414033665,0.209060380621141,0.28406773680582187,0.09453959196785468,0.07540487836134566,0.14880636551077095
-77,0.06521328150824307,0.2504684368814655,0.19549890722328744,0.26596921011460795,0.22151402775973333,0.21203927923041918,0.14661997293154388,0.11460620589449202,0.29117008361506735,0.08631657079999736,0.19878681211219637,0.13246924022207798,0.14818489803796203,0.17775054615782784,0.10635783467222175,0.17776300853844573,0.15109814325465315,0.19034747144123004,0.1881718353560809,0.16169388224584427,0.16400823814815507,0.10223702689613982,0.14767713199846294,0.23729804884010802,0.13756836284480595,0.07575844228728965,0.13680627832150358,0.10202617201425379,0.11025756129448801,0.25119165003905886,0.10895896912660803,0.19217882188247176,0.12166150676541392,0.18250754975833122,0.1348193886418571,0.11115230343077298,0.0942616430158909,0.22542603402968314,0.13947858813983066,0.08888216462996544,0.22351016797232984,0.29857720938741317,0.09967108203233666,0.08313753665600986,0.16025208013978584
-76,0.06712548283676338,0.26604195105188766,0.20759847778784332,0.2734449294730232,0.22925026210921412,0.2253048750477952,0.1555968980653888,0.12576828205787127,0.30644725199891004,0.09645803586800492,0.21686396478903638,0.139640227310607,0.16297139782817704,0.1846615513832355,0.11407596961098983,0.18821295163306345,0.15790801518709396,0.21138530459813581,0.2048622625613697,0.18414468754723115,0.1756669892922454,0.11455422049095343,0.1574221741336593,0.2543472186356753,0.14494678397826627,0.08343450828393172,0.1447075073650327,0.1134920000704781,0.11542727356694868,0.2615336896556225,0.11259776656492523,0.20467145224616642,0.1301208410713796,0.20020502756835884,0.142515990037251,0.13249231961628985,0.09956238273009929,0.24321562336791266,0.15467939060209038,0.09032113535944125,0.23720825615668445,0.3136099696011882,0.10466420706778867,0.09025020956224361,0.17135022081296078
-75,0.06895218487864546,0.282261540273567,0.2195805453301063,0.28130752076612386,0.23884878187439945,0.23809785381164322,0.16638229036153024,0.1358306324883451,0.3221788974141893,0.1077957374883614,0.23376787196629048,0.14699807104978269,0.17751923891380497,0.19143733728963597,0.12555157567838104,0.1983423711561551,0.16533247823828934,0.23289682090582248,0.21863647675987993,0.20618859832657357,0.1878343688813195,0.12693257267638008,0.16747369507657303,0.26892162106664574,0.1515741849788665,0.08951366877002513,0.15210651921481608,0.12791789064142428,0.12164809233795888,0.2700736576827623,0.11555649525162619,0.21752705842270864,0.13846878000003962,0.21596912575240795,0.15021682345496062,0.15566980543541395,0.10603889674690634,0.25900365978444234,0.17019504651473807,0.09094478198193987,0.2486056438956407,0.32878167924612134,0.108972050063914,0.0963025893698514,0.18236717118679566
-74,0.07086302247925964,0.29864972179483396,0.23350113658134514,0.29064018236278316,0.25047693465995546,0.25153971225547916,0.1764758326335683,0.14416019356190968,0.3377835081680002,0.11969503500647796,0.2499756636344436,0.15601337020515074,0.19032471062095282,0.19814269648683508,0.1399992422825462,0.20622503034179776,0.17324842464945844,0.25434375102230483,0.2287159683053308,0.2262827270434064,0.20055557093467186,0.1385781972976686,0.17780677826682728,0.28083937316527297,0.15664036461535108,0.09563410291688043,0.15983780804001388,0.14575054928107134,0.1283876627763217,0.2775584853538984,0.11845987925555075,0.22950070638126135,0.1472248191041807,0.2299747036127592,0.15822105057508412,0.17900925433655884,0.11271302311692222,0.27291399073930944,0.18468272967567706,0.0928101295987971,0.2583887410659662,0.342905289703695,0.11231147424733715,0.10071645906456979,0.19314722743685195
-73,0.07189721807480046,0.3134900763231466,0.24969894579335605,0.3015548690059162,0.2633017820084829,0.2660338698785143,0.18609028359555552,0.15102732551881762,0.3535605308405119,0.13222665903644187,0.2670151371313462,0.16643804804166223,0.20063803403424094,0.20333120474091135,0.15538974813258571,0.21163707412849386,0.18234400428335223,0.2742691569096618,0.23587470751926123,0.242872666593889,0.21417935373888208,0.14874073870414622,0.18858073952887058,0.2895865774414478,0.15831225439775282,0.10142112125861755,0.16806605261256627,0.1679341168391792,0.1355986394046297,0.2833858310950329,0.1220941579737955,0.2406002999093649,0.1559960675396621,0.24196488900242358,0.16485865900937918,0.20226403452635253,0.11933951453447653,0.28603475699838354,0.19843353894451934,0.09594663787429683,0.2664873932285491,0.35586362200115773,0.11394979137658678,0.1038752967068525,0.20345921423267896
-72,0.07233403831475876,0.3257483554253045,0.2665529377066001,0.31352263212207715,0.2761339563295968,0.2811719877772815,0.19608068664750747,0.1562736421265309,0.3697100865421572,0.14524797797966263,0.2843818923522875,0.17781977782943892,0.20943910733492066,0.2068327812833528,0.17145020084510826,0.21606143172750084,0.19264054058884325,0.29127654588305024,0.24046596405981036,0.256227751692565,0.22899380947224707,0.15746958763715146,0.20035957351027234,0.29502636257307646,0.16003647373547644,0.10843452369563977,0.17674900900293072,0.19440936694813454,0.14532290765890243,0.2887927858976641,0.1269384591116079,0.2527162069665086,0.16478189899535112,0.25366780835884295,0.17126088417229313,0.22518354425771184,0.12660930686709304,0.29809807348867934,0.21027020860507348,0.09982747901219076,0.27351371085177173,0.3681334044173276,0.11472543040053582,0.10581023819510135,0.2135568942818168
-71,0.07328661224087775,0.3358291391192737,0.2842319143698065,0.3270824347516377,0.2866900309742935,0.2959636077810329,0.20552709222967006,0.1601035731604388,0.3859843722521682,0.15797044343011263,0.30037408554907535,0.19031096468871672,0.21595135092610285,0.2104295054906332,0.1862234962943356,0.22047652013563973,0.20503298147037471,0.3057300377917209,0.24370604576355537,0.26848699960516587,0.2432761155935669,0.16466260964688834,0.21421992380392538,0.29884618784553757,0.16423255978138146,0.1158983038749107,0.1858086342070587,0.22375382884790662,0.15827225273472462,0.29325586791721414,0.13266827654151075,0.26651633479513726,0.17290994237489604,0.2643460957990012,0.17802238835831652,0.24858199007892642,0.13500491831543707,0.30910695846121483,0.2212034916459686,0.10555230378179928,0.27961604300301485,0.3794516755715811,0.11629295484146104,0.10840238802696767,0.22362030122438584
-70,0.06662168517921283,0.32004292705560544,0.2960524080568735,0.3174300219196086,0.28289335916761976,0.2966470289960884,0.20444261882063555,0.1570837425281988,0.38215640284094404,0.16363785796895441,0.29806934167225857,0.19801007311278243,0.21458735896769315,0.2132350414320882,0.19244165443650357,0.212387030769984,0.20638701982476476,0.3055384306154495,0.23780345056919408,0.27713286278598176,0.23320805821592167,0.16325705346400254,0.21817994293704537,0.28960484179393664,0.15320047294105332,0.12138058200844815,0.18846498399109574,0.24428543873006503,0.16176623180790106,0.2811697689862046,0.1245106603954925,0.2742396439482572,0.1683279850204965,0.26854800068306456,0.18087025888820304,0.26873294921210467,0.13749715479713465,0.30490807375261364,0.2231608549544133,0.10247072894128924,0.26555897223279984,0.3680658594230245,0.10888078634935552,0.10507098708884599,0.22268092289280028
-69,0.060521994983966584,0.3030882418754637,0.3060700005897371,0.3081497397870683,0.27316595118472337,0.2954136260796467,0.2032220176680381,0.15660886902460194,0.3752627541862018,0.16818677440186408,0.299355465215583,0.20432343102907305,0.21552768028180988,0.21622028580243396,0.19562851998975656,0.20596398322030135,0.20948392066082464,0.3013058749465791,0.23317861286662017,0.28567059684461565,0.22472635447527195,0.16061808571407052,0.22253243133287776,0.28067718956615495,0.14592610322695418,0.13016004592735567,0.19038675079162506,0.2665052946896471,0.1673244293305471,0.2704839624178363,0.11720277928228666,0.28143032739220264,0.1684824539429432,0.2687213226088767,0.1820228530509745,0.2879852774952677,0.14148096506421973,0.3032115962036547,0.22609586249344446,0.10006583969254772,0.24987737617836286,0.3551217530262892,0.1041223325821129,0.10810625992803284,0.2220367269784651
-68,0.05464891377777761,0.2886770925926071,0.3141686111286549,0.29778637584895157,0.2589665361415199,0.29433042838982704,0.19947156454519827,0.15704285183976008,0.3661571141863601,0.17070720379144438,0.30395064747042494,0.20661929365449022,0.2166274255595543,0.2186402900798758,0.19703786035018514,0.19909278731475805,0.21448347134598778,0.29607441878204355,0.22853279593367387,0.29346239795577056,0.2184268553098317,0.15624506620403916,0.22559590908602267,0.27083775190875664,0.1403410968811023,0.1399043065460267,0.18958191068498506,0.2882348238207666,0.17467334850150998,0.25772077501733603,0.11165789946921367,0.2871260622994539,0.17275211099166735,0.2677910025801843,0.18225819824787182,0.30703225191455574,0.14779733255867517,0.30420998236482605,0.2284822103908565,0.09770557037246393,0.23386068253712225,0.3417975248629639,0.10279973422405375,0.11610676196934303,0.22135039203255663
-67,0.05118708137750707,0.2782286836931262,0.3201939022923018,0.2864920369292365,0.24053812415229575,0.2949821160455941,0.19532028002525434,0.15817280629921224,0.3542016205698519,0.17124191592088486,0.3114905504472582,0.20480950353092447,0.21757432081773068,0.22150638330903266,0.19696293395006964,0.19397489723242128,0.22044639757457735,0.2906113862733156,0.2247229447307511,0.29950967852615884,0.21716915510800855,0.15298733967862635,0.22770313728581754,0.2604367755819593,0.13606337623776216,0.1498823382509749,0.18626854054248396,0.3094482235469168,0.18225648983992376,0.24382574846077087,0.1091735990968717,0.2913944171463638,0.1772752466312626,0.2652647990000461,0.1803658998008047,0.3240158578251292,0.15681250400441096,0.3083631950829579,0.2305038260870899,0.09814227752844842,0.2186865852025716,0.3286503111565196,0.10397032994413961,0.12817107435271158,0.22088633207022898
-66,0.05240267618050687,0.27159184150645155,0.3206244167013204,0.27628993384529377,0.21921446916734708,0.2980123104486034,0.19166278375665444,0.16107254813138333,0.3425672449975866,0.16956138945042615,0.32047955835180897,0.19847835650493129,0.21601817029440085,0.2249224856561755,0.19450488460935716,0.18961539769440955,0.2297309140088224,0.28376260009362253,0.2205728575431399,0.3028018102349387,0.2194524155235813,0.1521970899987239,0.2296151407332936,0.24797998221096024,0.13402412092888766,0.1572350189524012,0.18380529839461673,0.3298983218377115,0.19079764298268526,0.229074701794285,0.11050952272554888,0.2939703996062932,0.1828003623155297,0.259974714868546,0.1770882273565517,0.33976065758449364,0.16817352555099802,0.31045727114586963,0.23148131443148662,0.09998033628793415,0.20331680669697377,0.31522598960989634,0.10829509168250281,0.14215936242802213,0.22048090829147665
-65,0.05681773330208421,0.2695497415426468,0.31695485908660487,0.26786034732717423,0.19799824620644704,0.30307021684439084,0.1867825658490426,0.16533052817541322,0.33049262137494123,0.16544138222922508,0.3257783076839992,0.19003985450543665,0.21270290440307207,0.22941853096350542,0.18834080619572235,0.1882841047679295,0.24245868872760848,0.2775527370518057,0.2148352429026706,0.3020884374383292,0.22464675336480683,0.15294037076680464,0.2324591433434858,0.2359788054112399,0.13471905623947827,0.16305632381996596,0.18214677158614817,0.3497470007190456,0.1991115341855641,0.21412474048620514,0.11477732169209309,0.29736280417325195,0.18830538127481664,0.25058194988002663,0.17320858525752042,0.35423485033106267,0.18105973954269552,0.3107406102316699,0.23149118029993546,0.10252292823802589,0.18895553843659801,0.303170894267132,0.11329329064666664,0.1569232864775722,0.22016719811931498
-64,0.06219674795983945,0.270165433651012,0.30940328948102164,0.26031081693104174,0.177823099242205,0.30850176749773284,0.18250542437701728,0.17103360451198782,0.3185626958635624,0.16273852736459682,0.32830302206940654,0.183856808721994,0.20646149290267934,0.23598351970186116,0.17982961190637517,0.1887795819168461,0.2595610934206785,0.27228697900435905,0.20677880084374678,0.2975686429716604,0.23196207600688776,0.155406392715373,0.23565229113412628,0.2262820549806943,0.1354691914610763,0.16645192468535744,0.18189376697241888,0.3676498786678959,0.2071239068269056,0.19995584773487293,0.12154311715230341,0.30151365116506346,0.193126390588292,0.23769510857648682,0.16970038813257024,0.36755184918513395,0.19453628178144644,0.3079733894521781,0.23191331688609568,0.10543129803769051,0.17595656777614116,0.29224584184385954,0.11745693624192129,0.17076619124639505,0.21995246862706389
-63,0.0702117908810117,0.27223576885755263,0.29904722699721226,0.2540650231053068,0.16120981937907838,0.3158770869756907,0.17930651334610218,0.17875606716712747,0.3082098407366825,0.16164237146717053,0.32637736939014905,0.17840859644849466,0.19938929520947773,0.24352053942228258,0.17213915881398106,0.1914036430672938,0.2781659921957765,0.26666371542139816,0.19826513253520084,0.290761310127517,0.23516936343897304,0.1569347409246255,0.23880473296667454,0.21583850502965954,0.13346267739895537,0.16624628463652755,0.18263605946800485,0.3814664066955039,0.21520266316725017,0.18889163317009344,0.12626407129369202,0.3071033707681788,0.19476624183295851,0.22542724245745402,0.16516457055247397,0.37967690949305904,0.2069755324610655,0.30196465607200584,0.23256552819296844,0.109236382800231,0.16370184305884727,0.28172124822927946,0.11958018494780805,0.18385627501932095,0.2195071224004572
-62,0.08201534491197315,0.2730986279284976,0.2874057707311129,0.24888529327802572,0.14933945904250318,0.32487278357409755,0.17803388219887437,0.1860081634484699,0.3000991475407816,0.16202896534328165,0.32020961447953733,0.17508988361035774,0.19213290371218988,0.25081500320010897,0.1675339094131375,0.19332569210857914,0.29717036115224293,0.2606077266381947,0.18852645839863563,0.28107065064355646,0.23288663744103416,0.15687620796899904,0.24045008162592688,0.20430388500606292,0.12723973454598808,0.16347148092365327,0.18273237762891353,0.39226729177668546,0.21900171765594031,0.180635500286075,0.12934682086055735,0.31135689847220915,0.19576201809713237,0.2153555385285968,0.1603913760851068,0.3910908446796704,0.22091695218281018,0.29211539602620656,0.23309874832208138,0.11553180937129419,0.15192963403413917,0.2726497361795455,0.12045066126263144,0.19579739405500013,0.21872564509932776
-61,0.09615991463313495,0.27325409796218286,0.27304899024616613,0.24524357411331216,0.14203562185733698,0.3359383450608274,0.17812748912825332,0.19241216692514945,0.2948028385631932,0.1627426133617312,0.31142617140400247,0.17297809423280885,0.18463850004158827,0.256941529251683,0.16785723884846754,0.1933662418639927,0.31527016520013074,0.25374007473535687,0.179325751396406,0.27187549536397887,0.22645938442863583,0.1533092940220829,0.24264293955459343,0.1928221334258117,0.11745493474394963,0.15990183018677503,0.18219688199995335,0.4015458873766692,0.21776703863915214,0.17432424887953907,0.13005592713620506,0.3135459015323205,0.19572319472034705,0.20663066319448417,0.15656327444122098,0.3988084602669127,0.23432862492680423,0.278924730549841,0.23412264273436173,0.12214068590861145,0.14014355119737373,0.26700009390430907,0.12040387711689307,0.20818378395923437,0.21764056588717692
-60,0.11140859595468941,0.2720034196755789,0.25852622701772876,0.24501426320072497,0.14088845148113874,0.34875460935909663,0.17894581290030262,0.19894006187686497,0.29243077309445165,0.16302824549617675,0.3015603645660089,0.17200445456880972,0.17650499910560138,0.2619298614203977,0.17233127416551455,0.19016905062726994,0.3323900044824202,0.2483521691943232,0.17052833710359167,0.2632763119951801,0.2165536457298193,0.14842353064677236,0.2426330387122181,0.18268472869432836,0.10685137651577219,0.15410379261173085,0.18104977494488267,0.4120104553330048,0.21435958100550737,0.16974550620716755,0.12865896757693615,0.31568147306487854,0.19393080436638097,0.19928870531407245,0.15506421272846072,0.4020291194796717,0.24643721118065876,0.26238617685564786,0.2358735437131132,0.13075963486062547,0.13005494287905278,0.26486715271745515,0.12028434831354509,0.21915284866828202,0.21663345135013304
-59,0.1266020924274958,0.2667303689967933,0.24336297624998027,0.24770482453276504,0.14733449408956503,0.35969061441242467,0.18044550794652894,0.2048040939313896,0.2947549770652667,0.1617514238101069,0.2919839625575288,0.17202508061564808,0.16891801037110082,0.26641955347155133,0.17914551444881527,0.18536218036299784,0.3468841084266874,0.24394177793003577,0.1642460325865734,0.2540354750056934,0.20543639176861445,0.1398182506621591,0.24134009854458532,0.1735792940420623,0.09867445618065963,0.14894137121348466,0.1815636303361992,0.42125940468571005,0.21356300101032302,0.16633817994745353,0.12658365951754186,0.31694988729847495,0.191720943099689,0.19327612737415348,0.15476542093780415,0.40059546292157744,0.2576928396429667,0.24406715748080696,0.23910310911579807,0.14176132883565817,0.12115871860359446,0.2658568717733299,0.11791383602468086,0.22665913195676582,0.21579003732302365
-58,0.1404483758948118,0.258302839039835,0.22833485884305132,0.2540110182965623,0.1577951627750225,0.3681625099643086,0.18271614626093818,0.20950177289163205,0.3002401261429927,0.15808988825426645,0.2840300379555225,0.17152213979902928,0.16121557153165822,0.2693485684426059,0.18614090168680802,0.17929371451002785,0.3567475412834451,0.2405608996808314,0.15719424603896304,0.24394966373268862,0.19382112582097086,0.12908758251264285,0.2356822909154265,0.16542928835656462,0.09446902477647033,0.1453254820721845,0.18404994961829851,0.4267402441100753,0.21721779441947692,0.16549479604354972,0.1257247478762954,0.3182580917039435,0.19051243006825327,0.18781806818886296,0.15636249067263908,0.3943277760553901,0.26786497968565104,0.22495839044026827,0.24146056034264324,0.15365878073727096,0.11249127057774513,0.26819328489955785,0.11542401573127252,0.23236603980098297,0.2148714656466236
-57,0.15242974459145092,0.24692608405255445,0.21495425795954298,0.2644596979099319,0.1670176171195311,0.37382876944839094,0.18515393336794767,0.2128113222646107,0.3065894329961471,0.1563856062841389,0.2756978647711039,0.16964667040672482,0.15518099702181093,0.2723791208656603,0.19068732051203116,0.17416930849836793,0.3619696102924309,0.2372816795734169,0.1499986130248409,0.23288425222040493,0.18370608842229366,0.12257132927244548,0.22881265007632173,0.15894608399703505,0.09192972911573169,0.14330582553948415,0.18594729389165005,0.4311565298055354,0.22663649779315076,0.16639602867958958,0.12705685716557316,0.31929553106854736,0.1888676486784041,0.18257241268996735,0.15909710074596606,0.38449028567263777,0.27672813507762173,0.2080947285792531,0.2444380392124803,0.16468172474978685,0.10572503690952376,0.2689691708595687,0.11537160607749615,0.23804805334563692,0.2141658247865168
-56,0.16148594095104893,0.23515507750421358,0.20451799453226385,0.276923323576075,0.17397858321527057,0.37718187084849764,0.18661892276022624,0.21504528497774275,0.31476580922761227,0.15560690883725442,0.2674821135842983,0.16705108273813113,0.1492042810308766,0.27553358101257536,0.1909562966059464,0.17162114322630312,0.3629448500477314,0.23515594253878952,0.14476486340217332,0.22087097110583648,0.17539831497856181,0.11932039574084741,0.22409483500323737,0.1543204814116324,0.09088304596632175,0.14159930693346645,0.18617340653763062,0.4336023232282688,0.24002141196213295,0.16909625876912765,0.13071208906495918,0.31936409828783113,0.1862367994485425,0.17866440219888552,0.1638686840468929,0.3722701595240049,0.28384346541575656,0.19375949555705924,0.2470043262835213,0.1759808076965508,0.09865626275173799,0.26852447903477306,0.11828888820201666,0.24354115636349033,0.21368385763932085
