,TTS_POS_1::NC_013691.1:415-515(+),TTS_POS_2::NC_013691.1:1484-1584(+),TTS_POS_3::NC_013691.1:2651-2751(+),TTS_POS_4::NC_013691.1:4049-4149(+),TTS_POS_5::NC_013691.1:4353-4453(+),TTS_POS_6::NC_013691.1:5568-5668(+),TTS_POS_7::NC_013691.1:6895-6995(+),TTS_POS_8::NC_013691.1:8773-8873(+),TTS_POS_9::NC_013691.1:9914-10014(+),TTS_POS_10::NC_013691.1:10461-10561(+),TTS_POS_11::NC_013691.1:11433-11533(+),TTS_POS_12::NC_013691.1:12691-12791(+),TTS_POS_13::NC_013691.1:17317-17417(+),TTS_POS_14::NC_013691.1:20134-20234(+),TTS_POS_15::NC_013691.1:21004-21104(+),TTS_POS_16::NC_013691.1:21152-21252(+),TTS_POS_17::NC_013691.1:22038-22138(+),TTS_POS_18::NC_013691.1:26268-26368(+),TTS_POS_19::NC_013691.1:26946-27046(+),TTS_POS_20::NC_013691.1:27806-27906(+),TTS_POS_21::NC_013691.1:28895-28995(+),TTS_POS_22::NC_013691.1:35254-35354(+),TTS_POS_23::NC_013691.1:39324-39424(+),TTS_POS_24::NC_013691.1:40088-40188(+),TTS_POS_25::NC_013691.1:40975-41075(+),TTS_POS_26::NC_013691.1:42179-42279(+),TTS_POS_27::NC_013691.1:42691-42791(+),TTS_POS_28::NC_013691.1:42861-42961(+),TTS_POS_29::NC_013691.1:42960-43060(+),TTS_POS_30::NC_013691.1:43576-43676(+),TTS_POS_31::NC_013691.1:43754-43854(+),TTS_POS_32::NC_013691.1:44836-44936(+),TTS_POS_33::NC_013691.1:47860-47960(+),TTS_POS_34::NC_013691.1:59924-60024(+),TTS_POS_35::NC_013691.1:65396-65496(+),TTS_NEG_1::NC_013691.1:3299-3399(-),TTS_NEG_2::NC_013691.1:11384-11484(-),TTS_NEG_3::NC_013691.1:12555-12655(-),TTS_NEG_4::NC_013691.1:12619-12719(-),TTS_NEG_5::NC_013691.1:27766-27866(-),TTS_NEG_6::NC_013691.1:28175-28275(-),TTS_NEG_7::NC_013691.1:33525-33625(-),TTS_NEG_8::NC_013691.1:36571-36671(-),TTS_NEG_9::NC_013691.1:38624-38724(-),TTS_NEG_10::NC_013691.1:40906-41006(-),TTS_NEG_11::NC_013691.1:53890-53990(-),TTS_NEG_12::NC_013691.1:55368-55468(-),TTS_NEG_13::NC_013691.1:55451-55551(-),TTS_NEG_14::NC_013691.1:59058-59158(-),TTS_NEG_15::NC_013691.1:59893-59993(-),TTS_NEG_16::NC_013691.1:61283-61383(-),TTS_NEG_17::NC_013691.1:62256-62356(-),TTS_NEG_18::NC_013691.1:65400-65500(-)
-39,0.023205717159781293,0.016217108446061453,0.03214398682159836,0.021516733239474013,0.026701116142694825,0.021785874973321788,0.03847975734945018,0.03655348920761026,0.023656120210866206,0.007212776844102771,0.02217657363731592,0.008922336713785131,0.0425635812263528,0.032054972029349565,0.055553602556514536,0.007952315556481758,0.010156182233988958,0.016319492446975874,0.013954619283869282,0.05991999644203866,0.015378304991859854,0.04799715657701251,0.03334390172301095,0.03990593454920331,0.01587725210267634,0.052607572972121,0.0674790678159993,0.019151011362069214,0.023611363100111343,0.037062117137034424,0.03748119209120238,0.014538398544950199,0.014653028968600884,0.032719946379513434,0.027373109421801267,0.02722235920850823,0.024663680138434573,0.008388115718508097,0.01546309866887829,0.005408443666352118,0.03862430018312077,0.032657896684844326,0.028112072026322987,0.021847798080852826,0.01906163662511982,0.045248658937014005,0.007556150240476472,0.01741441742661109,0.023078456925179784,0.028571955913081475,0.029581371627469356,0.023671664102196933,0.029818964499726146
-38,0.03388472566397569,0.025079040478197912,0.047658840143524075,0.03162297367301359,0.037504146404782515,0.033149339467276,0.05532377587488445,0.05415827529069038,0.03707930448931392,0.012367211939182022,0.03409925866262289,0.011690364226763868,0.058219905502712735,0.043853435402121596,0.08239873547603298,0.01182145472138939,0.01721707672085806,0.02535049801115662,0.021953155855327776,0.08843396588373935,0.021703836024173244,0.0700908645926088,0.04946300809956924,0.0577167532614656,0.021423567138834542,0.08049204994932355,0.09798749455521674,0.030821953495009345,0.037698075101624914,0.05378869560555662,0.05479497865668905,0.021984758998456887,0.021217541351770248,0.0448491953863866,0.0416259329626396,0.04011131717023766,0.036280065642484885,0.012892223558898974,0.019050644023388984,0.009977264123052356,0.05914281016139457,0.04985960383187077,0.04196602653673798,0.03411925112292093,0.023175174225749207,0.06840983051644711,0.012523145387726836,0.02717199442747184,0.03507762312395124,0.04089478856928793,0.044328520090579596,0.0383692562086228,0.045705512019413516
-37,0.04434600093102809,0.034191032249737546,0.0626390301532509,0.04252561491571527,0.04626338191593665,0.045262439177453886,0.07159161862755725,0.07152615096277061,0.049669435258954994,0.01934059657949536,0.04607119592573734,0.01563885806329739,0.06986792768666544,0.05167369580365862,0.10865368427759732,0.015942598891505042,0.025015247309068962,0.03465835986753429,0.029940976224106824,0.11576832351283686,0.02622006448308765,0.09077302180745953,0.06509356142712548,0.07429189542700529,0.02504894923258778,0.1080804445034889,0.12398570407066264,0.04342292238383022,0.051005837115706595,0.0692580086264187,0.07125106473668727,0.028571172926469202,0.0263007426802452,0.056425926529016124,0.0553100509358021,0.052267115798969734,0.04724476988794004,0.017066045660325508,0.02229713776175698,0.015941307787833196,0.08254887861433512,0.06755466745935454,0.05612187809698309,0.047239389809788944,0.02498730709358523,0.09232975147418514,0.017645638771357667,0.03655437349458681,0.04788971830349975,0.05300274113147716,0.0584807006459641,0.05395753607945297,0.06191773722674213
-36,0.05471511399163152,0.043902821038509246,0.07773320018194399,0.05494107694297008,0.05213348460999304,0.058033446016746724,0.08862437462684138,0.08917068967523689,0.06125600806927619,0.02819835486742568,0.05797390155493596,0.022364323538346408,0.07956813347159698,0.05558904740310908,0.13415629822864594,0.02138903815423864,0.03385818603370429,0.0449959033809245,0.03801794804198645,0.1407962453774462,0.02887129078625132,0.11111032540698591,0.08041428276796019,0.09034296130855499,0.026836723672936637,0.13542261784121873,0.14497218786419033,0.05656562215256905,0.06365501018703333,0.08383283874829758,0.08724948629409279,0.0337960634704707,0.029153436050974618,0.06974514585863412,0.06788674207257203,0.06258486050046068,0.057414689224895246,0.02111048445344112,0.027247523731652866,0.023348699622442636,0.10760759299947939,0.08577110428753461,0.07074867955052229,0.06133507284085167,0.025776234155611043,0.11499534400705516,0.022998895086959965,0.04546763082062087,0.062397632608323775,0.063670476213924,0.07198848944438452,0.06769800272002191,0.07687690773413933
-35,0.06566754865408744,0.05412002908902136,0.09197290983926024,0.0689778493303641,0.0550948192118391,0.07144330065957125,0.10653935996349959,0.10679843530654183,0.0720654831636658,0.03858962379477024,0.06975568766897426,0.03213601592598791,0.09126871120967128,0.05743065318893713,0.15788501141494868,0.028312610964572084,0.04339537523007666,0.05522995411740754,0.046198698616821424,0.16202547403051287,0.032278395026568166,0.13056168467922197,0.09550645894121286,0.1072551625247338,0.027748928581513416,0.16253265092171837,0.16137638717448374,0.07072092446730512,0.07572194218538235,0.09757919462176352,0.10295630681032823,0.036548641665643644,0.03241230115879947,0.08635704369745975,0.07944703107886968,0.0715843829209368,0.066783494122019,0.0243356081025015,0.03364596540660349,0.03252048955604521,0.13331857116957643,0.10477193691364843,0.0845225897938259,0.07641303954353973,0.028793919546722186,0.13590016260551496,0.029430707887335684,0.053911021477079255,0.07780647046649883,0.07318179408367177,0.0846321306274936,0.08002068651951941,0.08969994159552212
-34,0.07740761023635875,0.06494953634679865,0.1043992436082228,0.0840015183064764,0.06297484441669914,0.08528542722226425,0.12519982760732654,0.12458389300865118,0.08167802925785936,0.05121675810564148,0.08028554981504785,0.04428957914567783,0.10655874285227315,0.06082288375924351,0.17781785444560796,0.036712524675283124,0.052850127669533765,0.06486948733191206,0.054389024999485246,0.17924266371857145,0.03855323190811682,0.14906745232507235,0.11091150815232434,0.12469478127263985,0.030764984298642738,0.18939927859013211,0.17462368729883784,0.08558054835081555,0.08750964322832439,0.11089121912597813,0.11797727888508033,0.039035652469087204,0.037941168389763136,0.10733113989519465,0.09011594041274822,0.07925449844965692,0.07490646298212025,0.02730272732947433,0.04043343151659362,0.043464288051131075,0.15860764434996216,0.12395650565326521,0.09571469227857379,0.09252607736730294,0.03404532385084434,0.1543294713676497,0.03727210895215988,0.06157868668482811,0.0916778339951985,0.08249285004568564,0.09661011750109824,0.09060841779500678,0.10073874352184416
-33,0.08991651958864463,0.07647207242598986,0.11489891598110931,0.10015347935862078,0.077187380690823,0.10029037623255384,0.1449092877704451,0.14190688296893414,0.09026274687737375,0.06642623544082964,0.08916190917553254,0.058759510053224974,0.1253211122119392,0.06633739665033954,0.19402976800529817,0.046696922140865196,0.062362122951266585,0.07508872876266288,0.06231109467943734,0.1926611069893158,0.04819727340673728,0.16731857697345975,0.12659389696367068,0.14118800143137764,0.037423970241053005,0.21480325218546042,0.18626164414140783,0.10086945463342419,0.0994727677573373,0.12496311885029714,0.13169420697815432,0.04308583884862953,0.04644164975198759,0.13300764654572067,0.10012850479263395,0.08435973031702189,0.08198641557806721,0.030702147632349214,0.04619085154516346,0.05596527926630892,0.18357219272075503,0.14215163605006614,0.10441630499271919,0.10944088401811532,0.04151395169559516,0.1702350341006638,0.047566578700018625,0.06786639702279873,0.10437605631059148,0.09278608752916404,0.10711186576572049,0.09916521208398643,0.10978621162944469
-32,0.10309182499788253,0.08883383536218464,0.12389695107630169,0.1156573474294296,0.09773015703073182,0.11648643890211122,0.16407263216558826,0.15839663674217302,0.09731450613586713,0.08334972198426896,0.0966540596595736,0.07575092891396504,0.14566392069827674,0.07322294764403063,0.20648499512527635,0.05533621335118338,0.07231578747428873,0.08694600065324794,0.07090463621007388,0.2023705129749153,0.06072033214563823,0.18581795047427796,0.1401406574637879,0.15638314646453547,0.04799214715469808,0.23721429753050108,0.1979523016275186,0.11694096582712912,0.11157342259929914,0.14143306933953864,0.1429861353999056,0.048402979861404793,0.057513614984561826,0.16295814642600429,0.11001645413789188,0.08857598381316173,0.08847045464357534,0.03491817467187316,0.05091216369026084,0.07018385638635369,0.20852245187575663,0.15937926754019188,0.11057970415693577,0.1250714647982472,0.05015949225249035,0.18369438118325576,0.06046874884074795,0.07382950344139608,0.11578807145992662,0.10420870463150485,0.11573536654804355,0.10605901689007577,0.11657742920758885
-31,0.1143690916019463,0.10178023554452649,0.13122913416341858,0.12996371949182128,0.12414110184598429,0.1334608469124608,0.18240091616704784,0.17322780030710297,0.10310363457327368,0.10199223318662157,0.10237891958527341,0.09519636681738963,0.16548776911267563,0.0815150901658213,0.215453479144858,0.06174675475828399,0.08428581846560966,0.10062591531151828,0.07983869344584711,0.20903768221551539,0.07476380518504216,0.20484047005445644,0.149485281388822,0.17112849388913384,0.062451318669226395,0.2557706449617362,0.20950314915173257,0.13213140116859223,0.12319540290589884,0.15983505950933818,0.15233108416388888,0.05541686800032094,0.07083275797399355,0.19544096364217875,0.12030132748964657,0.09225326252826264,0.09431480430957359,0.04051870081499671,0.05642758630368523,0.0863399792134899,0.23292633092911288,0.1755980580841393,0.11394466460543311,0.1392192453108037,0.05969609771950953,0.19521424551983313,0.07600226745182506,0.07975724586647384,0.12617127716530124,0.11719048011238775,0.12372625169725937,0.11107746120800858,0.12088031853831271
-30,0.11185081040789091,0.1063644231991481,0.12168646780662132,0.13196303414126348,0.14110368708006554,0.13946721735796075,0.1797213754064287,0.168047995836028,0.09668559191127013,0.11819873419029285,0.09582841462924924,0.10954486787951867,0.1621628436684559,0.07394768764775686,0.19518160920700864,0.061894794916302266,0.09572852189714734,0.10936853604918025,0.08178869247690321,0.18377223483306787,0.0816901437455265,0.20061086496421363,0.13760936419482342,0.16539515800416293,0.07150872275135985,0.244891889734338,0.18537900221647888,0.13761621648005293,0.12316287956600727,0.16192482376227377,0.14132570689988713,0.05701264170870042,0.07894060829526865,0.20990764594104552,0.11591967778835302,0.08108664327277412,0.08752670584200087,0.043971561075146506,0.05424712039772171,0.10080537593198194,0.23890250496939203,0.17494829992069807,0.10151831584731415,0.14172536489295298,0.05857902822512665,0.18209714172736036,0.08952148918939266,0.07635287976195067,0.1237502548099211,0.11648289925005655,0.11649133314703523,0.10303101833373762,0.10859447265330144
-29,0.1089801259551754,0.11013361145245756,0.1121859673680085,0.13382249724711087,0.16323802615666497,0.1448744046431276,0.1778982556786371,0.16126719937523923,0.08810497339659172,0.13301892174687274,0.08795117560204754,0.12429533328907275,0.16081163679998833,0.0704356225087861,0.17462556803757154,0.06015846633910159,0.10875352795227862,0.11948652871951797,0.08126257327098645,0.15943435709028625,0.08970355278189068,0.1983482828837896,0.12462804775642684,0.1628844172396418,0.08398893348954414,0.22768118748602437,0.1602071725237089,0.14108191040215354,0.12028340551131937,0.16557153736878183,0.13089061336138225,0.0600788292227815,0.08951541734358363,0.2252716715605912,0.11054102211775647,0.07018440854904293,0.08122002013827077,0.0485204356473609,0.05730184936081332,0.11456157277131462,0.24462381373366426,0.17112344440123284,0.09145810445538029,0.1415020201785065,0.061956557177643354,0.16633861260505928,0.10306596975670368,0.07111336458224439,0.11930264963960076,0.1165676489567562,0.10939600128850897,0.09183090849614797,0.09371669944621212
-28,0.1049793985436075,0.11303225995373083,0.10382671980186695,0.13356057291366324,0.19067963956340744,0.14975393446958293,0.17670697543242928,0.15370913089126798,0.07874269507486341,0.14535892121413646,0.0796282281336566,0.13903603092969502,0.16262114260018956,0.07089937478267454,0.15416393755456556,0.05645736050954554,0.1244891127960794,0.12918368202586333,0.0786493827074111,0.1371716141120984,0.09957524149475312,0.19680009064062973,0.11643966386698812,0.16343636104700685,0.0991492282625788,0.2079000503532636,0.1374584666631154,0.14259757572986015,0.11541868100896949,0.17403185647855957,0.12134452064505978,0.0647589104167504,0.102251513979237,0.24149184818703473,0.10369892624151444,0.05981765263227046,0.07480159022809199,0.05410383156244626,0.06546731697396206,0.12573955561697045,0.24925140804420826,0.16477785549539545,0.08444484079810088,0.13984846959614008,0.06903389163415742,0.14942197148434733,0.11593894729017411,0.06581047247979917,0.11279526360078225,0.11593121182845725,0.10271878078763967,0.08020902715156264,0.08028973846667893
-27,0.09931490714289903,0.11552810940614788,0.09734767498983964,0.13027421655321575,0.22289005945447554,0.15405667447055854,0.17434295497965827,0.14482593759936463,0.06982999513320193,0.1545133758297086,0.07108997898677075,0.15167710095960868,0.16737402151150613,0.07422312784456464,0.13373622213607422,0.054654342556542855,0.1427426915093008,0.13729268877265202,0.07520546008753856,0.1179144394456821,0.11115199240655405,0.19430249526439775,0.11304544981406037,0.16731313649954532,0.11655125391946704,0.1888237035228592,0.11699098258858194,0.1421400680807436,0.1112779069351845,0.1840323897295657,0.11343685519383655,0.07203135858164608,0.11670145216168948,0.2563994344647393,0.09682501600307253,0.05023754205260168,0.06807058594946908,0.059725035734730716,0.076738537401813,0.1345429679752697,0.24849215506484684,0.15593286369209575,0.08033543139019156,0.13651271439465562,0.07901849218764234,0.13238037955184354,0.12847263880689155,0.061705174160931464,0.10392470141737158,0.11388273124718762,0.0986134540436599,0.06989461932718183,0.06815639289449896
-26,0.09197567178199775,0.11605717501605577,0.09232256131045641,0.12334167463058048,0.25918554008392175,0.15822734069301847,0.1692142030482692,0.13407609478331609,0.06150980096109811,0.16062280317213312,0.06295971341018533,0.16006900253843054,0.17279612127667185,0.0803966763790053,0.1132010666624869,0.053958285145152815,0.16144258421873842,0.14252653338927884,0.07099676972088054,0.10151496074679303,0.12485503579156518,0.1892663447804644,0.11417945053733014,0.17301518531838694,0.13618993417020525,0.17222752056370663,0.09819783536025026,0.14056862829615505,0.10736339679109834,0.19435232145860584,0.10795295749417341,0.0814327018098884,0.1320732510631971,0.2678227751258285,0.08993816937639935,0.041610435131535284,0.06177923168266861,0.06454516475616454,0.08870288594825829,0.1405829398868395,0.2444301240945946,0.14482661516059453,0.07859889892177738,0.13228021857271421,0.09022501685128517,0.11881625617240765,0.14057052931995026,0.059083168374381746,0.09207442781596369,0.11182093413984506,0.09763866509149213,0.0628564790599,0.058087342433003744
-25,0.08263361048176185,0.11444108388918288,0.08968161317374448,0.11340186880073935,0.2965423065651266,0.16271130114542023,0.1613761656173022,0.12094736327664748,0.052809265764583814,0.1644499184306575,0.055455911105684395,0.1638913857452958,0.17508660629609013,0.08783542249735381,0.09309222710480253,0.0542833064899154,0.17959966772684158,0.14615977233234662,0.06716690208403713,0.08916020994336199,0.13637790703956454,0.18249786311725585,0.1190663060591729,0.17854663797891343,0.15696545444163387,0.15905597707213756,0.08509308244173325,0.13967446719214,0.10325766349226995,0.20494625725551097,0.10532908545636425,0.09189912828153439,0.1458053387002119,0.27448743649269475,0.08298297528066799,0.033607359025108974,0.05613469940672418,0.06962214890914516,0.10018914515695818,0.14135000181650337,0.23861099572003813,0.13182697953464179,0.07853592650263816,0.12743019508879772,0.09952980984442637,0.10914329266751335,0.1507243726943726,0.058106285278170654,0.07883424146059392,0.10955117269923106,0.10026269051694336,0.05889263542774089,0.05101893399833259
-24,0.07140628323344157,0.11015722054280994,0.09034298106058451,0.1031618339450719,0.3270729931009846,0.1678798145507764,0.15102019737539077,0.10617662134341,0.04448696694121525,0.16565274332120122,0.050306057811160224,0.16462484728309876,0.17106864270951824,0.09369815424623754,0.07595855506010876,0.055607812502241574,0.19836177866658747,0.1481837384288625,0.06499179824696485,0.08082129030401995,0.1433915939413316,0.17400912746765668,0.12646727667136454,0.1841931408068455,0.1755323489143858,0.14927199869588265,0.07823565258356587,0.14087075194240567,0.09874802104083907,0.21433816091669575,0.10543770136244157,0.10160539616086735,0.15614179847216067,0.27506475052769414,0.07547711450219821,0.027469915316221616,0.052151210658657944,0.07431889340864527,0.10972555922983891,0.13698621004958325,0.23271590941803283,0.11818694712600844,0.07984388023389663,0.12295437086605221,0.10654328604586953,0.10229453648517861,0.15586437834519687,0.05828280465378284,0.06745528048159048,0.10779613772306473,0.10616128958486656,0.0575569101442027,0.04645053471670213
-23,0.060520804733142156,0.10330731509883635,0.09397627344656584,0.09316485089986357,0.3490700561554628,0.17198271768652537,0.1363853787396599,0.09227057902592199,0.03863478987282994,0.16428756823497573,0.04756288061237847,0.16236989896571846,0.16063050473491536,0.09786127205928423,0.06287913366915594,0.058136391737349566,0.21761561819707748,0.14707768129588417,0.06418843796791511,0.07547037050425903,0.14512521222241742,0.16367288303461883,0.1364810068679268,0.19137122915306154,0.1891103666496608,0.14338500389054784,0.07678817690061632,0.1450357710583498,0.0928872060314824,0.2196166648507259,0.10871215272203094,0.10886367808411876,0.16224205552222593,0.26969454855968167,0.06783247373824262,0.02527123224687781,0.04957659199751812,0.07806356923261132,0.11856306760376992,0.12753903159476532,0.22749551091886072,0.10589984638575478,0.08240930849666689,0.11881274472381856,0.1105844961214743,0.09722135661058684,0.15361639481897083,0.06031246879568576,0.05732800476162621,0.10613003125365698,0.11607745296889396,0.05801249725701989,0.04355746299937251
-22,0.05069251274160165,0.09379005222242219,0.09898126037371494,0.08512223156028176,0.36298948518579577,0.17631205059757465,0.11982022156876301,0.08043888147316666,0.03599347729838647,0.16278180921710914,0.04635444533589512,0.15675823196545202,0.14594923327856285,0.10141170800238017,0.05443326953586175,0.06183648873833479,0.236790734079872,0.1419519523515776,0.06392391170408343,0.07069552149551198,0.1425873628704883,0.15197700615347537,0.15065720533805088,0.1993460597238123,0.19552493569503165,0.14082756076467023,0.07909237929811892,0.15155975717905495,0.08578205764470011,0.2171525904318811,0.11502891018419437,0.11452294807059755,0.1647054446471,0.25858274731240083,0.060242961088652215,0.023859180949525254,0.04816075087870481,0.08056117711133837,0.12656590716929672,0.1152708262770888,0.22351672681025908,0.09482639757884745,0.08638752376157874,0.11750533997910599,0.1129661524511009,0.09427265813168374,0.14457749855399255,0.06334350262446864,0.04884365917716473,0.10438825683998934,0.13012865935101464,0.06011983765718223,0.04229585532660923
-21,0.04463428977802338,0.08335508727369516,0.10547278709868557,0.07877840808388223,0.3692702177448501,0.18172325017939575,0.10502629903201362,0.07090884886136004,0.03649927194636777,0.1625819580592104,0.0474397793503034,0.14651706436835957,0.1303707195679721,0.10441301382572096,0.05061769761455491,0.06615912351036558,0.2517870182496641,0.1350190649297951,0.06452106639147197,0.06551154227809633,0.13767925138590542,0.13943544211042297,0.16934467319811533,0.2062356197962258,0.19429944100793034,0.14254632182437404,0.08350880315594024,0.1595196434650955,0.07786431693922705,0.20765958949389257,0.12341055178650635,0.11784779482516546,0.1643937453704927,0.24381772144827246,0.05428342808574073,0.022851774918523513,0.04928159110148256,0.08116246185152737,0.1319495420751164,0.10480342607285316,0.2217466492764947,0.08429598528651565,0.09263373986525374,0.11934260604074158,0.11425581557027334,0.09296021352002433,0.13237864469689226,0.06786571176586582,0.042279619393718604,0.10129913270504673,0.14659803115805783,0.06399893084358356,0.04328516072914552
-20,0.04264641447679927,0.07322540862362306,0.11274533200817027,0.07388139412821157,0.3694703475716098,0.18802208335324871,0.09432563483234721,0.06325204443668178,0.03944968556189976,0.1624882081492832,0.050912431390866444,0.13362826793316168,0.11398288420749295,0.10627070234736076,0.04913080110653723,0.07097097477125838,0.25934415039037456,0.12680401779126554,0.06599326996710236,0.06432659064378518,0.13191490255716687,0.12569581897003868,0.19152249676005426,0.2109309503643159,0.18639010304145412,0.14855913860149203,0.0920798204791144,0.1693125581427706,0.06907796464913671,0.19331054653680885,0.13305940931545168,0.11932384906261284,0.16193791576938338,0.22895158412868208,0.050024992178850924,0.02246795416546519,0.052118480324663444,0.07907736835611953,0.1343225142753797,0.09648011296307415,0.2200962574088266,0.0740808041425013,0.09939064381463829,0.12395942536526079,0.1143946546318664,0.09344502757006319,0.12270316370015907,0.0736859933729029,0.037725570686436616,0.09762632963144138,0.16405356164079074,0.06960468977551418,0.04615248993142148
-19,0.04446165763014332,0.0635598989325263,0.12084418332757554,0.07025055598319027,0.36503559516811934,0.19527993351794806,0.08676066934258095,0.057861170641224355,0.04466075386129053,0.1637236247014094,0.0552917571647384,0.11997669080123605,0.09793521361039231,0.10808794102789712,0.048800604171937455,0.07602411218925534,0.2590658663554407,0.1181889430937817,0.06809856195690601,0.06700202137936562,0.12497968661586026,0.1103162646417998,0.21329432492260306,0.2128763522965452,0.17244070894174884,0.1585975588718139,0.10387561528921412,0.1802902201410327,0.060477214787495515,0.17949403811526882,0.14418095109682225,0.1189078429924703,0.15617151842785273,0.21618667721493612,0.04868614620906201,0.022060635555156825,0.05606841027380486,0.07385194283604361,0.13359002195634506,0.08929992644627387,0.22225958480821353,0.06578625739399002,0.10338282508515655,0.12931583561541116,0.11267290882051743,0.09546754475417184,0.11565237876362218,0.07923023492645896,0.03604439926505405,0.09611448238714158,0.1795120539028027,0.0752720044769423,0.050979869214578324
