,TSS_POS_1::NC_011703.1:18629-18729(+),TSS_POS_2::NC_011703.1:23777-23877(+),TSS_POS_3::NC_011703.1:28248-28348(+),TSS_POS_4::NC_011703.1:53027-53127(+),TSS_POS_5::NC_011703.1:53093-53193(+),TSS_NEG_1::NC_011703.1:677-777(-),TSS_NEG_2::NC_011703.1:4449-4549(-),TSS_NEG_3::NC_011703.1:6607-6707(-),TSS_NEG_4::NC_011703.1:8654-8754(-),TSS_NEG_5::NC_011703.1:9086-9186(-),TSS_NEG_6::NC_011703.1:39451-39551(-),TSS_NEG_7::NC_011703.1:40165-40265(-),TSS_NEG_8::NC_011703.1:49204-49304(-),TSS_NEG_9::NC_011703.1:51287-51387(-),TSS_NEG_10::NC_011703.1:53043-53143(-),TSS_NEG_11::NC_011703.1:61270-61370(-),TSS_NEG_12::NC_011703.1:62387-62487(-),TSS_NEG_13::NC_011703.1:65210-65310(-)
-22,-1.5835,-1.4465000000000001,-1.405,-1.433,-1.3405,-1.2875,-1.2225,-1.349,-1.5835000000000001,-1.2065,-1.2225,-1.3225,-1.2905000000000002,-1.215,-1.5875,-1.451,-1.2754999999999999,-1.2325000000000002
-21,-1.5859999999999999,-1.4465000000000001,-1.4529999999999998,-1.479,-1.3405,-1.2974999999999999,-1.2475,-1.324,-1.5835000000000001,-1.2415,-1.2225,-1.3225,-1.3055,-1.194,-1.6355,-1.4609999999999999,-1.283,-1.2545
-20,-1.5945,-1.4265,-1.499,-1.485,-1.3625,-1.295,-1.2475,-1.324,-1.5365,-1.3,-1.251,-1.3435000000000001,-1.3325,-1.194,-1.591,-1.4585,-1.283,-1.2645
-19,-1.6575,-1.3820000000000001,-1.499,-1.4780000000000002,-1.362,-1.2865,-1.2475,-1.338,-1.5030000000000001,-1.348,-1.2650000000000001,-1.3545,-1.3325,-1.174,-1.551,-1.5065,-1.2209999999999999,-1.2650000000000001
-18,-1.6785,-1.4155,-1.52,-1.441,-1.3900000000000001,-1.2934999999999999,-1.2475,-1.3370000000000002,-1.435,-1.4100000000000001,-1.2650000000000001,-1.3335,-1.3325,-1.1520000000000001,-1.562,-1.4985,-1.207,-1.2570000000000001
-17,-1.6795000000000002,-1.4835,-1.562,-1.4420000000000002,-1.452,-1.293,-1.2105000000000001,-1.337,-1.443,-1.411,-1.2570000000000001,-1.3405,-1.3125,-1.173,-1.542,-1.4555000000000002,-1.222,-1.217
-16,-1.6630000000000003,-1.5185,-1.61,-1.464,-1.494,-1.293,-1.1965,-1.357,-1.485,-1.412,-1.237,-1.3805,-1.3405,-1.158,-1.4625,-1.4914999999999998,-1.265,-1.2280000000000002
-15,-1.6600000000000001,-1.5035,-1.582,-1.443,-1.5735,-1.3515,-1.2115,-1.357,-1.5100000000000002,-1.4369999999999998,-1.2814999999999999,-1.4600000000000002,-1.4025,-1.173,-1.4155000000000002,-1.5185,-1.293,-1.2429999999999999
-14,-1.6164999999999998,-1.4835,-1.5470000000000002,-1.458,-1.576,-1.3935,-1.2535,-1.4015,-1.5310000000000001,-1.4309999999999998,-1.3035,-1.487,-1.4609999999999999,-1.184,-1.4235,-1.5554999999999999,-1.313,-1.2850000000000001
-13,-1.5685,-1.4485,-1.562,-1.4144999999999999,-1.556,-1.4765000000000001,-1.3364999999999998,-1.4445000000000001,-1.5025,-1.452,-1.3035,-1.4869999999999999,-1.504,-1.157,-1.4025,-1.548,-1.3530000000000002,-1.3279999999999998
-12,-1.5325000000000002,-1.4425000000000001,-1.541,-1.395,-1.535,-1.469,-1.329,-1.401,-1.4674999999999998,-1.4085,-1.3035,-1.46,-1.4605000000000001,-1.1400000000000001,-1.3965,-1.527,-1.381,-1.2845
-11,-1.5325,-1.4075,-1.5410000000000001,-1.395,-1.5434999999999999,-1.449,-1.315,-1.3530000000000002,-1.4685000000000001,-1.365,-1.275,-1.3955,-1.4465,-1.12,-1.3535,-1.4835,-1.354,-1.2645
-10,-1.5185,-1.349,-1.5130000000000001,-1.36,-1.499,-1.428,-1.315,-1.2734999999999999,-1.4515,-1.348,-1.2610000000000001,-1.3525,-1.4405000000000001,-1.0989999999999998,-1.334,-1.4250000000000003,-1.2895,-1.2295
-9,-1.4555000000000002,-1.301,-1.4335,-1.34,-1.4360000000000002,-1.414,-1.301,-1.2665000000000002,-1.46,-1.3285,-1.24,-1.3735000000000002,-1.4055,-1.085,-1.286,-1.357,-1.2645,-1.2305
-8,-1.4120000000000001,-1.253,-1.4065,-1.332,-1.3889999999999998,-1.366,-1.2530000000000001,-1.2885000000000002,-1.452,-1.3175000000000001,-1.255,-1.3735,-1.3855,-1.065,-1.2414999999999998,-1.3559999999999999,-1.2494999999999998,-1.2734999999999999
-7,-1.4120000000000001,-1.2695,-1.3895000000000002,-1.2850000000000001,-1.3989999999999998,-1.365,-1.217,-1.3025,-1.424,-1.3315,-1.2189999999999999,-1.3385000000000002,-1.3635,-1.079,-1.2305,-1.355,-1.2930000000000001,-1.2795
-6,-1.4120000000000001,-1.2730000000000001,-1.35,-1.2414999999999998,-1.399,-1.364,-1.238,-1.3175000000000001,-1.376,-1.323,-1.197,-1.3175000000000001,-1.3355000000000001,-1.1069999999999998,-1.2155,-1.307,-1.307,-1.2365
-5,-1.375,-1.2695,-1.35,-1.2415,-1.419,-1.356,-1.3,-1.3035,-1.3395,-1.2879999999999998,-1.197,-1.3315000000000001,-1.3525,-1.106,-1.2075,-1.306,-1.3290000000000002,-1.234
-4,-1.339,-1.2765,-1.35,-1.2405000000000002,-1.4360000000000002,-1.384,-1.3,-1.284,-1.3765,-1.2879999999999998,-1.1975,-1.3305,-1.4005,-1.12,-1.2354999999999998,-1.312,-1.356,-1.261
-3,-1.3555,-1.2985,-1.35,-1.2475,-1.4945,-1.384,-1.3,-1.311,-1.3755,-1.282,-1.1775,-1.2675,-1.4005,-1.14,-1.2345000000000002,-1.298,-1.373,-1.25
-2,-1.3755000000000002,-1.3235,-1.37,-1.2305,-1.5565000000000002,-1.376,-1.32,-1.359,-1.3275000000000001,-1.282,-1.2045,-1.2650000000000001,-1.3995000000000002,-1.154,-1.2415,-1.2535,-1.395,-1.27
-1,-1.3925,-1.3459999999999999,-1.37,-1.228,-1.5835000000000001,-1.366,-1.31,-1.374,-1.3275000000000001,-1.2469999999999999,-1.2195,-1.2790000000000001,-1.3995,-1.19,-1.2414999999999998,-1.2435,-1.3945,-1.2630000000000001
0,-1.3850000000000002,-1.394,-1.36,-1.242,-1.6199999999999999,-1.3375,-1.304,-1.3679999999999999,-1.3065,-1.1824999999999999,-1.2195,-1.278,-1.3515000000000001,-1.1975,-1.286,-1.221,-1.4045,-1.232
1,-1.337,-1.395,-1.36,-1.241,-1.6600000000000001,-1.3375,-1.31,-1.3679999999999999,-1.2955,-1.1545,-1.2205,-1.268,-1.3435000000000001,-1.1905,-1.326,-1.2015,-1.427,-1.2235
2,-1.322,-1.3515000000000001,-1.3450000000000002,-1.2745,-1.6599999999999997,-1.374,-1.31,-1.4125,-1.3165,-1.1075000000000002,-1.2355,-1.274,-1.3800000000000001,-1.2055,-1.316,-1.246,-1.4855,-1.268
3,-1.3290000000000002,-1.3114999999999999,-1.2970000000000002,-1.3215,-1.612,-1.377,-1.31,-1.4155000000000002,-1.2945,-1.1075000000000002,-1.2434999999999998,-1.246,-1.363,-1.2475,-1.3370000000000002,-1.309,-1.5125,-1.271
4,-1.309,-1.2974999999999999,-1.249,-1.3415000000000001,-1.592,-1.363,-1.31,-1.3735000000000002,-1.275,-1.1145,-1.2014999999999998,-1.163,-1.3210000000000002,-1.3305,-1.383,-1.336,-1.5125000000000002,-1.246
5,-1.287,-1.2974999999999999,-1.25,-1.3775,-1.5555,-1.3045,-1.295,-1.3115,-1.2639999999999998,-1.1035,-1.122,-1.127,-1.259,-1.3575,-1.383,-1.336,-1.5045,-1.231
6,-1.322,-1.2974999999999999,-1.286,-1.3835000000000002,-1.5094999999999998,-1.2850000000000001,-1.2755,-1.2755,-1.2429999999999999,-1.1245,-1.115,-1.099,-1.223,-1.3475,-1.403,-1.3359999999999999,-1.4775,-1.2115
7,-1.3864999999999998,-1.3185,-1.317,-1.4045,-1.5379999999999998,-1.2814999999999999,-1.272,-1.3119999999999998,-1.249,-1.1245,-1.177,-1.0370000000000001,-1.2594999999999998,-1.3325,-1.446,-1.3795,-1.4304999999999999,-1.248
8,-1.4495,-1.3245,-1.3530000000000002,-1.3969999999999998,-1.573,-1.3285,-1.3190000000000002,-1.358,-1.27,-1.1395,-1.2565000000000002,-1.044,-1.3425,-1.3015,-1.431,-1.4105,-1.4105,-1.331
9,-1.4975,-1.3595000000000002,-1.3725,-1.445,-1.5725000000000002,-1.393,-1.3775,-1.3639999999999999,-1.27,-1.1465,-1.2875,-1.092,-1.4010000000000002,-1.2865,-1.4520000000000002,-1.454,-1.4095,-1.3955
10,-1.5395,-1.3735,-1.4205,-1.5245000000000002,-1.6205000000000003,-1.439,-1.4025,-1.4075,-1.27,-1.1635,-1.2814999999999999,-1.135,-1.432,-1.3075,-1.4295,-1.4689999999999999,-1.4575,-1.4415
11,-1.6225,-1.4015,-1.4555,-1.5554999999999999,-1.6835,-1.439,-1.4025,-1.4064999999999999,-1.2625,-1.166,-1.2814999999999999,-1.135,-1.453,-1.3225000000000002,-1.4305,-1.475,-1.516,-1.4265
12,-1.6495000000000002,-1.4125,-1.4405,-1.5565,-1.7105000000000001,-1.4449999999999998,-1.4084999999999999,-1.3844999999999998,-1.2905000000000002,-1.167,-1.2875,-1.155,-1.459,-1.3904999999999998,-1.4785,-1.4609999999999999,-1.562,-1.4045
13,-1.666,-1.369,-1.4155,-1.6035,-1.6995,-1.4535,-1.452,-1.3705,-1.2985,-1.1780000000000002,-1.331,-1.191,-1.4815,-1.4185,-1.4795,-1.4695,-1.5619999999999998,-1.427
14,-1.666,-1.349,-1.407,-1.6470000000000002,-1.6985,-1.4815,-1.4789999999999999,-1.3695,-1.3065000000000002,-1.158,-1.345,-1.1969999999999998,-1.5095,-1.3915000000000002,-1.4735,-1.4695,-1.59,-1.463
15,-1.6629999999999998,-1.3155,-1.407,-1.61,-1.6785,-1.5094999999999998,-1.459,-1.4115,-1.3095,-1.179,-1.367,-1.198,-1.5095,-1.3715,-1.4385000000000001,-1.4774999999999998,-1.6265,-1.463
16,-1.6405,-1.2875,-1.435,-1.5959999999999999,-1.6515,-1.4815,-1.459,-1.4040000000000001,-1.27,-1.158,-1.3695,-1.206,-1.4815,-1.3715,-1.3965,-1.5025,-1.6095,-1.435
17,-1.5819999999999999,-1.2875,-1.4280000000000002,-1.568,-1.5930000000000002,-1.4675,-1.4449999999999998,-1.362,-1.3145,-1.164,-1.3275000000000001,-1.206,-1.4675,-1.3995,-1.405,-1.5025,-1.5615,-1.435
18,-1.542,-1.2845,-1.3599999999999999,-1.5430000000000001,-1.5310000000000001,-1.4675,-1.417,-1.32,-1.3255,-1.164,-1.2855,-1.1835,-1.4674999999999998,-1.3995000000000002,-1.397,-1.5035,-1.5535,-1.4629999999999999
19,-1.522,-1.241,-1.34,-1.5205000000000002,-1.489,-1.4675,-1.417,-1.3275000000000001,-1.3105,-1.2075,-1.2645,-1.1844999999999999,-1.4675,-1.3845,-1.357,-1.5505,-1.5455,-1.4629999999999999
20,-1.5070000000000001,-1.193,-1.347,-1.4855,-1.453,-1.4735,-1.4380000000000002,-1.3485,-1.3165,-1.2285,-1.242,-1.2125,-1.4735,-1.362,-1.3205,-1.5925,-1.5425,-1.4689999999999999
21,-1.535,-1.192,-1.361,-1.4715,-1.4060000000000001,-1.4594999999999998,-1.463,-1.3495000000000001,-1.2965,-1.2085000000000001,-1.241,-1.2395,-1.482,-1.3610000000000002,-1.2375,-1.612,-1.5420000000000003,-1.4549999999999998
22,-1.577,-1.192,-1.403,-1.407,-1.379,-1.4235000000000002,-1.4635,-1.333,-1.3035,-1.2155,-1.2845,-1.2645,-1.4655,-1.361,-1.2449999999999999,-1.5685,-1.4975,-1.3965
23,-1.6169999999999998,-1.1640000000000001,-1.424,-1.359,-1.39,-1.4135000000000002,-1.4535000000000002,-1.333,-1.3455,-1.2254999999999998,-1.2875,-1.2705,-1.4555,-1.319,-1.2885,-1.5265,-1.4975,-1.3715
24,-1.6535,-1.1860000000000002,-1.41,-1.359,-1.383,-1.4135000000000002,-1.4535,-1.3479999999999999,-1.385,-1.2035,-1.31,-1.314,-1.4555,-1.2570000000000001,-1.2855,-1.4845000000000002,-1.4905,-1.3865
25,-1.6755000000000002,-1.269,-1.389,-1.359,-1.403,-1.4135000000000002,-1.4535,-1.3729999999999998,-1.4295000000000002,-1.1835,-1.3459999999999999,-1.3065,-1.4555,-1.2375000000000003,-1.2705,-1.465,-1.4915,-1.4115
26,-1.6615000000000002,-1.2890000000000001,-1.3960000000000001,-1.359,-1.449,-1.391,-1.431,-1.3504999999999998,-1.4754999999999998,-1.1475,-1.331,-1.2865,-1.433,-1.2375,-1.2075,-1.4615,-1.5385000000000002,-1.4040000000000001
27,-1.6169999999999998,-1.2890000000000001,-1.3930000000000002,-1.3815,-1.4205,-1.3475,-1.3875,-1.286,-1.4905,-1.17,-1.269,-1.3005,-1.3895000000000002,-1.2315,-1.1795,-1.428,-1.582,-1.3875
28,-1.6335000000000002,-1.311,-1.3780000000000001,-1.3805,-1.3855,-1.3275000000000001,-1.3675,-1.275,-1.5125,-1.19,-1.2329999999999999,-1.2935,-1.3695,-1.2375,-1.1795,-1.403,-1.6219999999999999,-1.3505
