,TSS_POS_1::NC_010326.1:880-980(+),TSS_POS_2::NC_010326.1:959-1059(+),TSS_POS_3::NC_010326.1:1074-1174(+),TSS_POS_4::NC_010326.1:1112-1212(+),TSS_POS_5::NC_010326.1:1214-1314(+),TSS_POS_6::NC_010326.1:1347-1447(+),TSS_POS_7::NC_010326.1:1373-1473(+),TSS_POS_8::NC_010326.1:1491-1591(+),TSS_POS_9::NC_010326.1:1537-1637(+),TSS_POS_10::NC_010326.1:21064-21164(+),TSS_POS_11::NC_010326.1:35539-35639(+),TSS_NEG_1::NC_010326.1:702-802(-)
-6,-1.3995,-1.4994999999999998,-1.6620000000000001,-1.573,-1.5055,-1.4769999999999999,-1.364,-1.4629999999999999,-1.5355,-1.4435,-1.351,-1.465
-5,-1.4264999999999999,-1.4995,-1.677,-1.573,-1.4585,-1.4969999999999999,-1.3539999999999999,-1.511,-1.5355,-1.4224999999999999,-1.366,-1.438
-4,-1.4185,-1.5195,-1.7040000000000002,-1.5535,-1.415,-1.496,-1.3935,-1.539,-1.5355,-1.3595000000000002,-1.377,-1.376
-3,-1.4615,-1.5195,-1.704,-1.5705,-1.415,-1.5030000000000001,-1.438,-1.5025,-1.5355,-1.3125000000000002,-1.3335,-1.356
-2,-1.4685000000000001,-1.4725,-1.684,-1.5630000000000002,-1.415,-1.4860000000000002,-1.466,-1.4195,-1.5154999999999998,-1.296,-1.3135,-1.3559999999999999
-1,-1.4405000000000001,-1.4725,-1.6670000000000003,-1.5705,-1.415,-1.4440000000000002,-1.4929999999999999,-1.376,-1.4955,-1.2790000000000001,-1.2799999999999998,-1.3359999999999999
0,-1.4325,-1.5035,-1.6024999999999998,-1.59,-1.415,-1.434,-1.4955,-1.373,-1.4595,-1.269,-1.238,-1.3024999999999998
1,-1.4185,-1.4895,-1.5605,-1.5455,-1.418,-1.459,-1.4535,-1.3295,-1.467,-1.3370000000000002,-1.231,-1.283
2,-1.4185,-1.4535,-1.5205,-1.5055,-1.4265,-1.4875,-1.4265,-1.3095,-1.4835,-1.352,-1.2730000000000001,-1.273
3,-1.4115,-1.4700000000000002,-1.5305,-1.472,-1.471,-1.5225,-1.4735,-1.3014999999999999,-1.4635,-1.373,-1.319,-1.279
4,-1.412,-1.473,-1.5379999999999998,-1.424,-1.482,-1.514,-1.5155,-1.335,-1.4905,-1.3940000000000001,-1.325,-1.3
5,-1.4915,-1.5165000000000002,-1.511,-1.424,-1.468,-1.487,-1.5295,-1.3545,-1.5175,-1.394,-1.3255,-1.3
6,-1.5385,-1.56,-1.4715,-1.487,-1.489,-1.4955,-1.5435,-1.4015,-1.5345,-1.3940000000000001,-1.362,-1.2570000000000001
7,-1.5285,-1.5770000000000002,-1.5150000000000001,-1.5265,-1.504,-1.5154999999999998,-1.5705,-1.445,-1.5655,-1.442,-1.4100000000000001,-1.25
8,-1.5135,-1.6039999999999999,-1.5630000000000002,-1.5535,-1.5235,-1.5355,-1.5875,-1.465,-1.5805000000000002,-1.442,-1.437,-1.278
9,-1.514,-1.607,-1.5710000000000002,-1.5535,-1.5335,-1.5365,-1.6145,-1.528,-1.5875,-1.4135,-1.4565000000000001,-1.325
10,-1.5290000000000001,-1.643,-1.5345,-1.554,-1.5334999999999999,-1.4780000000000002,-1.6510000000000002,-1.596,-1.5505,-1.3855,-1.4565,-1.361
11,-1.5150000000000001,-1.6455000000000002,-1.5345,-1.568,-1.5335,-1.436,-1.659,-1.616,-1.5070000000000001,-1.3855,-1.4625,-1.368
12,-1.4789999999999999,-1.581,-1.5355,-1.568,-1.5135,-1.394,-1.659,-1.6125,-1.467,-1.429,-1.4775,-1.3595
13,-1.4755,-1.5190000000000001,-1.5285,-1.5245000000000002,-1.517,-1.387,-1.6790000000000003,-1.6235,-1.474,-1.4285,-1.4689999999999999,-1.3865
14,-1.4955,-1.526,-1.5455,-1.4775,-1.4689999999999999,-1.3900000000000001,-1.669,-1.5955000000000001,-1.536,-1.4275,-1.496,-1.379
15,-1.4955,-1.573,-1.5554999999999999,-1.5245000000000002,-1.4680000000000002,-1.3430000000000002,-1.6765,-1.5535,-1.55,-1.4755,-1.496,-1.358
16,-1.4955,-1.526,-1.536,-1.5170000000000001,-1.468,-1.351,-1.673,-1.5335,-1.557,-1.5115,-1.4650000000000003,-1.372
17,-1.4875,-1.484,-1.509,-1.475,-1.4209999999999998,-1.343,-1.6565,-1.5365,-1.54,-1.4965,-1.472,-1.393
18,-1.4795,-1.4915,-1.4895,-1.4600000000000002,-1.468,-1.332,-1.6365000000000003,-1.5574999999999999,-1.5205,-1.4695,-1.455,-1.3860000000000001
19,-1.4445000000000001,-1.5185,-1.5230000000000001,-1.4375000000000002,-1.51,-1.3539999999999999,-1.5945,-1.565,-1.557,-1.4865,-1.4300000000000002,-1.4060000000000001
20,-1.4529999999999998,-1.5075,-1.591,-1.4105,-1.5100000000000002,-1.364,-1.5485000000000002,-1.558,-1.6030000000000002,-1.5335,-1.424,-1.4395000000000002
21,-1.468,-1.5075,-1.6495000000000002,-1.4385,-1.479,-1.354,-1.5485000000000002,-1.5790000000000002,-1.5745,-1.5135,-1.409,-1.479
22,-1.469,-1.499,-1.6695,-1.4585000000000001,-1.4705,-1.3935,-1.5485000000000002,-1.6,-1.53,-1.5405,-1.389,-1.506
23,-1.496,-1.4825,-1.6664999999999999,-1.4955,-1.426,-1.4380000000000002,-1.5485,-1.6280000000000001,-1.53,-1.5545,-1.4060000000000001,-1.5645000000000002
24,-1.5355,-1.4725,-1.623,-1.5435,-1.423,-1.466,-1.5215,-1.6315000000000002,-1.53,-1.5535,-1.448,-1.6265
25,-1.492,-1.45,-1.6305,-1.5355,-1.465,-1.4929999999999999,-1.5074999999999998,-1.6315000000000002,-1.5465,-1.59,-1.4675,-1.6475000000000002
26,-1.445,-1.4064999999999999,-1.623,-1.4725,-1.527,-1.4955,-1.4935,-1.5844999999999998,-1.5295,-1.59,-1.471,-1.6835
27,-1.492,-1.4265,-1.5795,-1.4045,-1.5705,-1.4535,-1.4665000000000001,-1.541,-1.5045,-1.5070000000000001,-1.4674999999999998,-1.7105000000000001
28,-1.534,-1.443,-1.5595,-1.3845,-1.5705,-1.4265,-1.4665000000000001,-1.541,-1.5254999999999999,-1.5070000000000001,-1.4875,-1.6905000000000001
