,TTS_2::NC_011703.1:128-228(-),TTS_3::NC_011703.1:3462-3562(-),TTS_4::NC_011703.1:3531-3631(-),TTS_5::NC_011703.1:5569-5669(-),TTS_6::NC_011703.1:35770-35870(-),TTS_7::NC_011703.1:37239-37339(-),TTS_8::NC_011703.1:38449-38549(-),TTS_9::NC_011703.1:50273-50373(-),TTS_10::NC_011703.1:51039-51139(-),TTS_11::NC_011703.1:51304-51404(-),TTS_12::NC_011703.1:60533-60633(-),TTS_13::NC_011703.1:62419-62519(-)
-5,4.5200000000000005,5.835,5.225,5.7299999999999995,5.34,5.35,5.27,5.18,5.55,5.029999999999999,5.18,6.255
-4,4.74,5.589999999999999,5.455,5.8,5.185,5.3100000000000005,5.36,4.904999999999999,5.665,5.24,4.970000000000001,5.93
-3,4.5249999999999995,5.64,5.555,5.694999999999999,5.359999999999999,5.13,5.16,4.81,5.6899999999999995,5.470000000000001,4.995,5.859999999999999
-2,4.5649999999999995,5.64,5.555000000000001,5.8149999999999995,5.3549999999999995,4.82,4.95,4.485,5.65,5.365,5.205,5.705
-1,4.915,5.6049999999999995,5.705,5.915,5.045,4.415,4.74,3.9899999999999998,5.7,5.295,5.319999999999999,5.66
0,4.845,5.659999999999999,5.58,5.715,4.875,4.385,4.734999999999999,3.9199999999999995,5.715,5.455,5.245,5.945
1,4.725,5.915,5.36,5.74,4.41,4.5600000000000005,4.755,3.9699999999999998,5.885,5.125,5.0649999999999995,6.089999999999999
2,5.055,5.96,5.395,5.54,4.4399999999999995,4.89,4.795,3.65,5.89,5.055,4.995,5.81
3,5.14,6.095,5.515,5.619999999999999,4.7,4.665,4.709999999999999,3.7049999999999996,5.959999999999999,5.11,4.99,6.02
4,5.1899999999999995,6.0,5.515,5.72,4.555,4.8950000000000005,4.654999999999999,3.935,6.005000000000001,5.1850000000000005,5.369999999999999,5.725
5,5.4399999999999995,6.005,5.52,5.5200000000000005,4.225,4.97,4.985,4.26,5.9,5.32,5.59,5.744999999999999
6,5.455,6.11,5.49,5.5649999999999995,4.325,5.005,4.65,4.584999999999999,6.01,5.45,5.46,5.924999999999999
7,5.675,6.1049999999999995,5.41,5.26,4.265,5.045,4.895,4.48,6.05,5.45,5.49,5.75
8,5.415,5.989999999999999,5.619999999999999,5.115,4.05,4.715,4.775,4.945,5.885,5.275,5.63,5.66
9,5.135,5.9799999999999995,5.8149999999999995,5.34,4.335,4.665,4.85,4.970000000000001,5.8100000000000005,5.005000000000001,5.56,5.589999999999999
10,5.155,5.975,6.034999999999999,5.374999999999999,4.215,4.994999999999999,4.89,4.92,5.909999999999999,5.025,5.590000000000001,5.639999999999999
11,5.2299999999999995,6.069999999999999,5.755,5.33,4.084999999999999,4.999999999999999,4.485,4.74,5.930000000000001,5.115,5.57,5.79
12,5.295,5.949999999999999,5.8549999999999995,5.194999999999999,4.35,4.91,4.25,4.51,5.73,5.21,5.74,5.869999999999999
13,5.369999999999999,5.6899999999999995,5.874999999999999,5.005,4.62,5.08,4.475,4.2299999999999995,5.635,4.92,5.529999999999999,5.7749999999999995
14,5.22,6.0649999999999995,5.9399999999999995,5.055,4.85,5.305,4.505000000000001,4.0,5.86,4.665000000000001,5.834999999999999,5.67
15,5.5249999999999995,5.994999999999999,5.9350000000000005,5.119999999999999,5.154999999999999,5.55,4.56,4.1,6.05,5.025,5.5600000000000005,5.824999999999999
16,5.38,6.045,5.8149999999999995,5.3,5.23,5.4799999999999995,4.515,4.385,6.045,5.205,5.529999999999999,6.305
17,5.66,5.91,5.665,5.65,5.220000000000001,5.275,4.404999999999999,4.7,6.06,5.07,5.529999999999999,6.484999999999999
18,5.715,5.715,5.77,5.58,5.42,5.35,4.88,5.015,6.16,4.890000000000001,5.529999999999999,6.45
19,5.249999999999999,5.555,5.325,5.525,5.6499999999999995,5.6049999999999995,4.91,5.3,6.115,4.575,5.465000000000001,6.3999999999999995
20,5.22,5.505,5.359999999999999,5.35,5.55,5.635,4.91,5.275,5.99,4.455,5.56,6.209999999999999
21,5.14,5.495,5.555,5.475,5.825,5.345,4.665,4.89,5.705,4.845,5.665,5.925
22,4.975,5.275,5.49,5.925,6.04,5.3,4.34,5.040000000000001,5.59,4.915,5.619999999999999,6.215
23,5.055,5.244999999999999,5.295,5.835,5.959999999999999,5.7,4.3149999999999995,5.2299999999999995,5.675,4.9350000000000005,5.55,6.085
24,5.135,5.265,5.555,5.715,5.619999999999999,5.765,4.33,5.475,5.569999999999999,4.975,5.38,6.534999999999999
25,5.17,5.365,5.415,6.114999999999999,5.895,5.75,4.279999999999999,5.470000000000001,5.6499999999999995,4.92,5.115,6.589999999999999
26,4.845000000000001,5.5,5.424999999999999,5.68,6.084999999999999,5.755,4.47,5.4,5.654999999999999,5.195,5.324999999999999,6.265
27,4.77,5.525,5.58,5.505,6.01,5.79,4.625,5.279999999999999,5.725,5.305,5.535,6.24
28,5.08,5.6850000000000005,5.27,5.58,6.1899999999999995,5.925,4.82,5.015,5.77,4.9799999999999995,5.57,6.279999999999999
29,5.365,5.6850000000000005,4.885,5.805,6.045,6.2,4.92,5.015,5.744999999999999,4.949999999999999,5.61,6.125
30,5.29,5.65,4.66,5.92,5.97,6.154999999999999,4.9,5.0600000000000005,5.67,5.005,5.375,5.83
31,5.21,5.470000000000001,4.88,5.93,5.905,6.045,5.154999999999999,5.04,5.825,4.74,5.275,5.64
32,4.9350000000000005,5.44,4.88,6.165,5.555000000000001,6.015,5.475,5.25,5.83,4.76,5.2700000000000005,5.635
33,4.9,5.57,4.785,6.455,5.484999999999999,5.819999999999999,5.43,5.585,5.805,5.084999999999999,5.585,5.325
34,5.14,5.45,5.015,6.445,5.465000000000001,5.639999999999999,5.494999999999999,5.869999999999999,5.685,5.415,5.6850000000000005,5.325
35,5.11,5.33,5.045,6.220000000000001,5.445,5.139999999999999,5.505,5.995,5.415,5.55,5.9350000000000005,5.0600000000000005
36,4.9,5.375,4.79,6.369999999999999,5.295,4.885,5.59,5.885,5.325,5.5,5.91,4.915
37,4.91,5.459999999999999,4.965,6.369999999999999,5.415,4.885,5.7,6.0649999999999995,5.305000000000001,5.6899999999999995,6.0200000000000005,4.515
38,5.08,5.654999999999999,4.805,6.359999999999999,5.04,4.81,5.545,6.18,5.244999999999999,6.089999999999999,6.119999999999999,4.635
39,5.36,5.85,5.06,6.334999999999999,5.065,4.86,5.6899999999999995,6.325,5.034999999999999,6.319999999999999,6.295,4.765
40,5.425,5.71,4.865,6.609999999999999,5.135,5.075,5.5600000000000005,6.484999999999999,4.825,6.365,6.14,4.49
41,5.65,5.72,4.7700000000000005,6.3549999999999995,5.15,5.319999999999999,5.595000000000001,6.565,4.82,6.385,5.825,4.775
42,5.515,5.715,5.1,5.869999999999999,4.86,5.145,5.74,6.234999999999999,4.840000000000001,6.095000000000001,5.795,4.485
43,5.49,5.4350000000000005,5.26,5.914999999999999,4.9350000000000005,4.994999999999999,5.94,5.989999999999999,4.84,6.074999999999999,5.83,4.67
44,5.39,5.205,5.225,6.109999999999999,5.4350000000000005,4.77,5.83,5.819999999999999,5.1,5.749999999999999,5.78,4.505
45,5.305,4.82,5.555,5.855,5.5600000000000005,4.744999999999999,5.765,5.7299999999999995,4.96,6.055,5.625,4.24
46,5.5649999999999995,4.64,5.5,6.164999999999999,5.545,4.67,5.6899999999999995,5.955,4.845,5.935,5.24,4.715
47,5.535,4.720000000000001,5.654999999999999,6.194999999999999,5.85,4.59,5.404999999999999,6.244999999999999,4.93,5.779999999999999,4.8549999999999995,4.54
