,TTS_1::NC_022970.1:10161-10261(+),TTS_2::NC_022970.1:11219-11319(+),TTS_3::NC_022970.1:18324-18424(+),TTS_4::NC_022970.1:23698-23798(+),TTS_5::NC_022970.1:25974-26074(+),TTS_6::NC_022970.1:27886-27986(+),TTS_7::NC_022970.1:31260-31360(+),TTS_8::NC_022970.1:37460-37560(+),TTS_9::NC_022970.1:41370-41470(+),TTS_10::NC_022970.1:45561-45661(+),TTS_11::NC_022970.1:50229-50329(+),TTS_12::NC_022970.1:50575-50675(+),TTS_13::NC_022970.1:51997-52097(+),TTS_14::NC_022970.1:53096-53196(+),TTS_15::NC_022970.1:53699-53799(+),TTS_16::NC_022970.1:55154-55254(+),TTS_17::NC_022970.1:58558-58658(+),TTS_18::NC_022970.1:61922-62022(+),TTS_19::NC_022970.1:72339-72439(+),TTS_20::NC_022970.1:73190-73290(+),TTS_21::NC_022970.1:85408-85508(+),TTS_22::NC_022970.1:85967-86067(+),TTS_23::NC_022970.1:86376-86476(+),TTS_24::NC_022970.1:86448-86548(+),TTS_25::NC_022970.1:86619-86719(+),TTS_1::NC_022970.1:2577-2677(-),TTS_2::NC_022970.1:5623-5723(-),TTS_3::NC_022970.1:78278-78378(-),TTS_4::NC_022970.1:83180-83280(-),TTS_5::NC_022970.1:83641-83741(-)
-36,0.08368184115899942,0.024813930458481723,0.06665759536364911,0.10271182195324464,0.039662927752708535,0.0728480928739111,0.0865448043425356,0.059089560004581564,0.08884424612334921,0.06918508217047362,0.15785966854952904,0.06570749550447978,0.1332793655265045,0.04302840427444016,0.10689258882894012,0.07786878361485403,0.06515508100079972,0.05058389451483762,0.024443335439375206,0.03978832765663741,0.026980704614578833,0.03925543906606257,0.025683565233177115,0.03895986287288835,0.06407977698473998,0.08111167654078291,0.1140661469459402,0.04758344239568792,0.09649202518063034,0.0823414660240708
-35,0.10329292462530355,0.026745479688206446,0.08074567594132487,0.12587602259234323,0.04878999596550951,0.08508876460431392,0.10121322701577791,0.06843941383627436,0.10175736351655221,0.09305933507800751,0.17931381836238294,0.07921190698871275,0.16327411363115626,0.056746590892485405,0.1192862242234555,0.0987754142991693,0.07417269618007549,0.06020925428971981,0.0320896887664179,0.042307835850230915,0.03744477124365274,0.0480507299654502,0.030781435655217005,0.04261842686307592,0.07775614480035932,0.09835046722937606,0.13132602403703195,0.06313923852396686,0.1118614472398743,0.10255053057982275
-34,0.12284856586264467,0.02947702102582212,0.09569963653413185,0.14973907406688808,0.05887188336208031,0.09684506244375647,0.11400412507913167,0.07684336177535543,0.1123530177220388,0.11755149967487999,0.1961813017057046,0.09187559002255559,0.19022088170638404,0.07344772616272009,0.12815394006149244,0.12078568189277261,0.08095715882264101,0.06767938221536786,0.04212786348088417,0.04540442895833242,0.046431209783138326,0.056552160231248136,0.03687088105581607,0.04811182020903676,0.09186632682415688,0.11511187778856306,0.1473210273724906,0.08111268345103141,0.12622469405201747,0.12461230291164963
-33,0.14198171464585474,0.034625530212842995,0.11106254213594964,0.17395913775291,0.07015071800780914,0.10899187743933077,0.12342870074713468,0.08479840021895306,0.12041378834963953,0.14299655854923715,0.2089135924140184,0.10386220285328081,0.21288132761715622,0.09378673413722967,0.13421854045372786,0.14265683226586803,0.0853680537296488,0.07386987898757941,0.05461215881494106,0.05082175100521983,0.05396065171891303,0.06426904450242482,0.04362689636523742,0.05655937195318935,0.10644160242995755,0.13061292543666064,0.16462171020080443,0.10165122734729026,0.1390802811493913,0.14655643192538936
-32,0.16068743901706942,0.04292621977744649,0.12551794435663838,0.19907084959604857,0.08308802292359793,0.12215301918695598,0.12802729992284578,0.09255242346068907,0.12737861268202577,0.16952568542812058,0.21934907851341084,0.11519613053647523,0.2306536109377153,0.11786283837715147,0.14069533616143542,0.16353413776957393,0.08819786429039413,0.080741873730683,0.06973840755246466,0.05920394285647508,0.06039300445211885,0.07120088795114973,0.051050382692426975,0.06861629636824111,0.12122615251216637,0.145658242309348,0.18492556052462958,0.12451267040417194,0.15009391129684652,0.16929884226626749
-31,0.17870133937095634,0.05455205515101087,0.1388024656112464,0.2235246262359866,0.09780756253243664,0.13686175903346207,0.12916413616071426,0.09893712019545856,0.1356000514970937,0.19715610912278614,0.23079215582775187,0.12721283581945503,0.24376107462596325,0.14561704350839205,0.15080340001901435,0.1838461265346047,0.09232363116038994,0.08985069730477588,0.08671673515500526,0.07010073023027924,0.06619351720875434,0.07701420093281347,0.0586243082639917,0.08335141672448185,0.13621085098523128,0.16013550259945508,0.20870966673217461,0.14772396899446572,0.1596972865111344,0.19236569563262348
-30,0.1830632712032656,0.06396545742801354,0.1368223675784062,0.22890317624924356,0.10600222939183893,0.13672072360634518,0.12077426621126434,0.09005762545828747,0.12805105030992406,0.22075884951425193,0.20999766506036793,0.12926112840064774,0.23077233091818927,0.16669746306822295,0.14144650454173655,0.19125399368796034,0.08381012397269401,0.0931982532117662,0.09577260562395065,0.07100158298689205,0.0705167370889262,0.07506040086001514,0.05854469863836981,0.09019567782093277,0.13661927759511733,0.16084520952831144,0.21090247589316022,0.16441904216433595,0.148677496615313,0.19849423657313875
-29,0.1843482165205598,0.07690360977009417,0.13506224388099258,0.23165424786838038,0.11589219707997804,0.13781059660156264,0.115964939609622,0.08066309398016555,0.12312063600342515,0.23612938607324976,0.1916506399763182,0.13036379882420948,0.21153102510910293,0.18781281018195192,0.13527815268342475,0.19477348295548294,0.07680180151333685,0.09704899712771967,0.10574329247617802,0.07567187828331709,0.07468569524135824,0.07076211820632487,0.05727165921419382,0.10162978808117144,0.1356399315344309,0.15713862887150767,0.2184942778352683,0.1776547700112185,0.14035620228820758,0.20619604136848108
-28,0.1839103968631915,0.09277496505895294,0.13344023370831135,0.23194848963493375,0.1276115230771651,0.13973983948255722,0.11434439997255748,0.0723570482649626,0.12232577073609992,0.2404609842791033,0.174706044181041,0.13350975805610676,0.19081072263288584,0.20828412540686264,0.13120213334656997,0.19456228524135022,0.07111566596298714,0.10098599069160993,0.11577861619548271,0.08446981794787203,0.07842463733548781,0.0658501919982645,0.05519713312537829,0.11812527068780845,0.1331663822027344,0.15053571694160797,0.2296495179857319,0.18424664654895562,0.13426283276639575,0.21253640374771465
-27,0.18380315689783583,0.11049254128216009,0.13270146343408235,0.23099909770079147,0.13667151483901652,0.14238458581873847,0.11612440201106633,0.06679695465130984,0.12548806435933707,0.23460807684502166,0.1593257516455943,0.13950792061424105,0.17215971485667017,0.2266100663813352,0.12821411744659855,0.1903861851954181,0.06882992823192668,0.10413601652639262,0.1243904026836374,0.09775601927771185,0.08173450902986584,0.0603646781616473,0.05266058390352192,0.13936668492443602,0.1268687548697751,0.14512560730781007,0.24291835881245777,0.18410628157182485,0.130811250705684,0.21757243872726234
-26,0.1815387023562429,0.13110223689194755,0.13051478822583434,0.22891978679366032,0.1418547025725668,0.14572059636191412,0.12183368741326835,0.06532898246237454,0.1314963777468898,0.22096507803299437,0.1472788207255672,0.1470811741973082,0.15568606821032402,0.24236322330526355,0.1278911302820314,0.18256094438038967,0.0711691208442421,0.10755119004175344,0.12887321588494488,0.1145990034678865,0.08357619029834369,0.054765444220318385,0.05006384243472105,0.1655793520253704,0.11654175016197184,0.14147846967285835,0.25736437214136376,0.17788869718086103,0.12975739801141353,0.21857774260857643
-25,0.17726264022650484,0.1543148269107331,0.12636145147302114,0.22643106630654253,0.14356048826181783,0.14984492392354803,0.13200170464897268,0.06785143493006025,0.13996027854182286,0.20476800917047894,0.14018650823092454,0.15539977563600726,0.14171166791520787,0.2560239547056874,0.13022192896578472,0.17207749773027886,0.07873697651016523,0.11212089433193555,0.1290924338919719,0.13411365947910825,0.08400639259754798,0.04961930925318973,0.04851074905941436,0.1945435804431619,0.10557705017352262,0.1401029816516392,0.270754077275841,0.16650083560848536,0.1305760384294704,0.21345485115912002
-24,0.17154552558668817,0.17805428078256283,0.12048507612679489,0.2235396788866905,0.14169647260502544,0.15514959505581655,0.14654050785425168,0.07441116752040582,0.15093725403470093,0.18906999957922838,0.13831603847143753,0.16504967124038455,0.13124481798813487,0.2664335742402204,0.13457794687219643,0.16013193648997548,0.09114518531783841,0.11794386250830521,0.12461581849074346,0.1549053346199899,0.08492265869800167,0.044985383982257966,0.048172451082014504,0.22191551890330544,0.09839761070505908,0.14083097437140216,0.28285180114523367,0.15248438089195002,0.13170341472728464,0.2037792700774685
-23,0.16477121752149754,0.20047618734393452,0.11318404431996432,0.22087241985147857,0.13779975481345624,0.15920039522702448,0.1661849547565059,0.0845590667250328,0.1627332553639223,0.17503056894107802,0.14183813877148618,0.1762407760471251,0.12501276650243573,0.27096668555503844,0.13982897972083236,0.1489134980013011,0.10644387904819244,0.12307702805046532,0.11565833843410636,0.1753993911356217,0.08633085421448497,0.04139564894731926,0.04941363258389271,0.24581040193036108,0.09547184362580168,0.14375514160158448,0.2915802849573601,0.13930413519591833,0.13355438812144577,0.19317897549403346
-22,0.1571289073774232,0.21980221316565834,0.10628131639159118,0.21574599781078355,0.13390192504697843,0.1591624725416553,0.19032436735489294,0.09768987713096713,0.17360517697048575,0.16340311489271214,0.14947975282022627,0.189351505790108,0.12397562428455529,0.2696249244318075,0.14282922264102443,0.139272976030576,0.12400637254900108,0.1252393533930831,0.10196221112716755,0.19345828121559616,0.08775913507264556,0.038475339408445074,0.05250181441059162,0.26514697423690925,0.09549151846805755,0.14626872680549077,0.29594252703220014,0.12826481618037572,0.13662728834840393,0.18133815499532888
-21,0.1488256477063427,0.235058932564922,0.10010134258638334,0.20974284001731508,0.1314267794400948,0.15444844607685215,0.21684446077432992,0.11336748084208151,0.18137026777549087,0.15448061513657482,0.15872723693144872,0.20334144799304688,0.1275796378626667,0.2627253118854503,0.14090368906308537,0.12932164213405367,0.14072023860156785,0.12292053835267454,0.08598109834438894,0.2100546868645849,0.08905823090200492,0.03547381083760394,0.058055557195029674,0.28088824595942896,0.09717940291524779,0.14884651412018152,0.2968430096232654,0.12068339557129226,0.14090107091943627,0.16883577606419337
-20,0.13929822519055818,0.24553427356156748,0.09354103032220981,0.20314710253957563,0.13080563933003958,0.1455876799498959,0.23749234254755575,0.13099868876130283,0.18415959736568768,0.14935657531529525,0.16862702655925516,0.21889256997962656,0.1353832205863809,0.2547296532029688,0.13418687157997758,0.11995704879436826,0.15665883035352807,0.1156352177908651,0.07070117032506375,0.2270023952204529,0.08974298870387518,0.03240278271717383,0.06526667616614405,0.2923201784540911,0.10083836505121768,0.15243243332344164,0.2952858001254065,0.11640885096861091,0.14389882860450037,0.15706868411387878
-19,0.12842252908174068,0.25116120603907177,0.08662178311439829,0.19581905048198633,0.13219797813563286,0.13443144357514789,0.25235541041772985,0.1494609207553133,0.18118303841057587,0.1481048508215356,0.17783777372021223,0.2339497267230401,0.144691493332953,0.2501369262570793,0.12513564026976023,0.11136474293095386,0.1721802634983659,0.10600210208292879,0.056910686616088044,0.24322259123666642,0.0883416161638726,0.03006004618773069,0.07371086381377703,0.29557748992350624,0.10737466313450113,0.15612456221634896,0.2893598378954913,0.11480036107994895,0.1439786900613468,0.14450043838325524
-18,0.1159017719951529,0.2525121824100379,0.07950740323178924,0.18735864034076216,0.13519269251988947,0.12326499043862757,0.2628462820390035,0.1678219612270785,0.17231935348016378,0.15126350433278962,0.1854208822814967,0.24542320245096558,0.1519754515760448,0.24873274710514104,0.11581764077406051,0.10414762955517125,0.187500389975158,0.09529695545243469,0.04504088062758207,0.25858929023423566,0.08409788840488065,0.028940822327165862,0.08427335705868502,0.2886621427664332,0.11651571282545206,0.1585042817056545,0.27861719022941955,0.11491856045414953,0.1423939859140229,0.13245299252200843
-17,0.10156970625724841,0.2517760949723778,0.07096946700372403,0.17712686355251314,0.1416226933404348,0.11258696133552137,0.27231286714619723,0.18433415633060463,0.15830072857932054,0.15903503373399616,0.19208702833244456,0.2510548416016424,0.15419798824179448,0.25064408669719596,0.1096440034076619,0.09864063739525916,0.19965514579560245,0.08455795112216727,0.03615275828877847,0.27304275847364257,0.07666940554900971,0.02895305400720986,0.09517679597991112,0.2716619914710613,0.12709589323505965,0.15816851272187474,0.26466165140948833,0.116394829917895,0.13933927419543385,0.12135984597951202
-16,0.08772479977314636,0.24717745444033437,0.062156630085489606,0.16459381748676874,0.1525670607000528,0.10173569204307538,0.28226613370336306,0.19755312552158466,0.14082922439145967,0.17048976612871897,0.19844920916279382,0.25072965883872744,0.15070200771384085,0.2545335166393699,0.10553845784501945,0.09495040572873503,0.20893704381305747,0.0749047616776488,0.031315584411384004,0.28627913890296114,0.06824693777721764,0.02971519504123583,0.10439843229264792,0.24733711841478642,0.13868218792286707,0.1549922687767696,0.2502021744616455,0.11874188448519143,0.1346736406827728,0.11261471819431797
-15,0.07441388937620436,0.23815836806803187,0.05371497191713801,0.14938776683703878,0.167176443517087,0.0902578951729754,0.29134321484704606,0.20949352078385575,0.12275591616433304,0.18269675874901792,0.2020529371254239,0.24588955374904348,0.14324738963676098,0.2581086665733655,0.10350223930874809,0.09269278373551418,0.21562078233170393,0.06689722191707362,0.03043428972981611,0.2990468297873213,0.06053194203405099,0.03137889700876171,0.10908507155264109,0.22241179609521997,0.14754616536237844,0.1479151261422775,0.23970399929717634,0.12139432509978465,0.1288797662276044,0.1070376245121589
-14,0.062227462627037565,0.22455253052595642,0.04737802800353157,0.13183647966900922,0.18224637060757365,0.08035595356155587,0.30002775756691497,0.22036525661208461,0.1062113056674336,0.19554184096635424,0.2031300896370356,0.23640127917635692,0.13365333890260825,0.26213564811074563,0.10370280977528097,0.09143372163137886,0.22058270003608343,0.06193207472342164,0.034418786783927215,0.3097986341732952,0.05419922982094234,0.03392342803344676,0.10840790102531428,0.2002326629169473,0.14902036009622213,0.1366469850540165,0.2321564046661723,0.12260743136309069,0.1239390412725591,0.1034429306436303
-13,0.05152508481937703,0.2066306507655829,0.044257627087240556,0.11330419119706185,0.19564491200611211,0.07532494032849477,0.3092390773983996,0.2299885632278329,0.0943488312421,0.20755329267987715,0.20113608143093026,0.2218581294605398,0.12288848776991801,0.26894134879580583,0.10684550369506249,0.09175292624234646,0.22617653723100747,0.061345170186395695,0.04297813563557133,0.31857782462370593,0.04935818839462281,0.03681472710082465,0.10317258510529789,0.18035981718963928,0.1410252130390623,0.12323510923221295,0.22814210151398168,0.12029422090667068,0.12074591299633544,0.10025839586034753
-12,0.042786597667730006,0.18654362224410231,0.044249157054521294,0.097334881455664,0.20490980315286697,0.07777040154677106,0.3213916387405506,0.2379819048943245,0.08795234247422143,0.2175656090136711,0.1954815961504645,0.2032912819481915,0.1117935694131075,0.27838512992377606,0.11279912460851593,0.09407649735831385,0.2320737636378613,0.06573500278706178,0.05628596642810697,0.3271156191458423,0.045576407803365575,0.03915636753703772,0.09624319067410342,0.1610605423762763,0.13031005011204957,0.10973723467919763,0.2272173201571242,0.11542625206537223,0.11985062388526732,0.09693317074084179
-11,0.036230275913451106,0.16589786730114736,0.047159173134157545,0.08426786151530771,0.20830702208721408,0.08759032739360509,0.33575456198538156,0.244052141603082,0.08690316275236742,0.2233259555662047,0.18487338803776127,0.183278427498932,0.10137290720421988,0.290322610120305,0.1212493857292942,0.0999479913983959,0.23793542200920487,0.07522045573144764,0.0724831173187995,0.33497462294971747,0.043528628305489606,0.04230577335957002,0.08968565389062111,0.14281687793541123,0.12386283534777669,0.09729156998731325,0.22658267414765515,0.10955133452223206,0.1212442890198521,0.09336271453081818
-10,0.031977243326075835,0.14639084048788825,0.05355717596011324,0.07419504290806435,0.20606571981393457,0.10237702674142464,0.3493069837944039,0.2478327473332133,0.09161442206764574,0.22300572732457638,0.16718915368026985,0.165336128842054,0.09249781767562112,0.30064344720081715,0.13072872050263193,0.10926007687092935,0.24298236189831254,0.08912740804949885,0.09082392534549533,0.3404353499001881,0.043532641846624295,0.04742102789400444,0.08493637390361765,0.12710702488574416,0.12335141564566184,0.08666805226237992,0.22277513716411756,0.10434780957538155,0.12716260439884225,0.0890552584023451
-9,0.028681637458824866,0.1279660054510303,0.06336411376214249,0.06832420758229978,0.19827418134555588,0.11873358575012061,0.36184366662222345,0.24910772450157662,0.10151100537598476,0.21977130164927497,0.14718784753028005,0.1500968778580835,0.0838092804334697,0.3047052026530069,0.13941365888344953,0.12256827282096819,0.2449144483994755,0.10556284556708306,0.1111494121310482,0.34547757160132475,0.046499216111408476,0.0557202772807878,0.08364317008539698,0.11567333799167949,0.12815971355362993,0.07872950164772016,0.2185686845969248,0.101856239274943,0.13900808990937705,0.08495814001261717
-8,0.02666981480210494,0.11036620282639939,0.07470917608379699,0.06710911138983822,0.18598160210314052,0.1346420799775439,0.3730244401021368,0.24818033606911688,0.11467326044137512,0.21516590167933183,0.13090304829434496,0.13813617344958484,0.07424187384828382,0.30200328598214454,0.14665491025784907,0.13818114938878504,0.24312630649890138,0.12371099822406265,0.13264284256724826,0.35015494408111447,0.05259621913150275,0.06614841417470889,0.08673395638208706,0.10893385882415382,0.13808735948824608,0.07308152978013077,0.21611417973586383,0.1035964744111999,0.15683472412032878,0.08042864621624583
-7,0.025004356358246375,0.09326577165365643,0.08621653035736046,0.070577743246559,0.17070789805449116,0.14956512429603522,0.38203685534847,0.24540748351327063,0.13039573344731542,0.2091383841370391,0.11919245814613941,0.1299149924148501,0.06402259396155188,0.29248203393235656,0.15158715400547135,0.15578730707509553,0.23943092663316698,0.14291799573551128,0.1518247844275678,0.35255855273742165,0.062218207363501345,0.07888868823988777,0.09524824060127886,0.10700383018799316,0.15238428544912502,0.06924721560723167,0.2153940218903184,0.10957821986856842,0.1797420173693835,0.07389113834845637
-6,0.024016565990601334,0.0788670756253239,0.09823421753066142,0.07900017778716835,0.15278909586056894,0.1641973298281082,0.38650114403833735,0.24029462204469093,0.1484239092956185,0.20167221244992697,0.11029352479076879,0.12474154638343819,0.057891498040079335,0.2776616847098069,0.15573112674509756,0.1737355695357206,0.2336172116176008,0.1602083414913988,0.16789823557195452,0.35307345161590764,0.07230347787758135,0.0937501219740275,0.10948079857011254,0.10886033376624196,0.17070159895687126,0.0669278346257319,0.2162959966655836,0.1187193000866799,0.2082562021786559,0.06670617153448027
-5,0.02462475919984487,0.06733826191326553,0.11028869231823628,0.09247479865363599,0.1341379061989812,0.17928612074500924,0.38679384538470246,0.23096803963125043,0.16540646982046864,0.19302006101627361,0.10234966501185908,0.12270491348643293,0.05782500504194317,0.25951733138671,0.15698413522417293,0.19217481178062928,0.22622623674470055,0.17486343600865958,0.18147636446991888,0.3529576025396138,0.08247204478808223,0.11099000134120765,0.12919717000871364,0.11152161954079018,0.19342016184515312,0.06630646182901256,0.2164528827283611,0.130549524634062,0.2421380327987388,0.05888081180486171
-4,0.027595407506627107,0.058883904494819984,0.11971896549735195,0.11117876238276377,0.11872988998787941,0.18975562439369326,0.38124120651406257,0.21931439703217545,0.18004416284525865,0.18033754891074913,0.09408827449110914,0.12408907512086975,0.06337998318868499,0.2373632394035309,0.15467773937946366,0.21093128108509437,0.21753153397717506,0.1851223504349866,0.19032147350104917,0.35317812539049337,0.09219602935786594,0.13121399581647536,0.1531627031717446,0.11209598029614432,0.2191121056504985,0.0659614007112663,0.2167885544666699,0.14364610314736143,0.27964130790801994,0.05356156967855491
-3,0.03337520891172744,0.053066496724750944,0.12539583827911888,0.1336294632253035,0.10720598517551909,0.1916503287880531,0.36897996928133026,0.20870464380760403,0.18867775926072355,0.1658057326138878,0.08521510307858728,0.1288325610836257,0.07459674799319016,0.2108633389172986,0.14900635857424316,0.2274415221582609,0.20920433251338957,0.19056606440753057,0.19486767752188972,0.3531821869801576,0.10124771261801305,0.15316650749476138,0.18083611712892705,0.11134303434836831,0.24665132090052175,0.0649562633662757,0.21578814000400728,0.15662767614003892,0.31768447319147974,0.05094696524763322
-2,0.04005843472338086,0.04778853077849098,0.1276284545055961,0.15863936829669034,0.09998345225299285,0.18568735120673055,0.3498890405945224,0.198700729534462,0.19060414689227184,0.14895812816709603,0.07614536018443144,0.1362809452609448,0.090343878233585,0.1802774974033105,0.14154369367366998,0.2398042469492915,0.20023973455293956,0.1912680076524131,0.1955662634480872,0.35229815098199746,0.11028264815523228,0.17678285492618934,0.20905738813780178,0.1120082015660463,0.2686142755798621,0.064504988510993,0.21229370158441388,0.16678240473985434,0.35389739085412125,0.049626853252373274
-1,0.04755415334483192,0.04262352378762209,0.12677437361368807,0.185615281799116,0.09642297489343563,0.1744672255164617,0.32596255077721115,0.18907765235672125,0.18614849433803157,0.13206701373123936,0.06984492725054846,0.14381806272600486,0.10853227103005161,0.15038538781014368,0.13301384306838449,0.2479321996287723,0.18980744497770927,0.18679820995987265,0.19321097166438284,0.3500364088047666,0.11743344644834594,0.20206344611577481,0.23584526081672608,0.113726736312282,0.27878293698944207,0.06486879280593025,0.20734018352124353,0.17322613334805786,0.38654123308096056,0.04774303023802766
0,0.055642844710612406,0.03724269106338639,0.12376123299475802,0.21419263825790225,0.09571025438829364,0.16283666366107347,0.3006056234265684,0.1809469219624707,0.17521126134621653,0.11754632182318518,0.07362846377973511,0.14752332445563082,0.1286296347526602,0.12466579566885379,0.1262904451125213,0.2530439989000933,0.17645815201971848,0.17761198606540604,0.1874557183072399,0.3475925038351525,0.12204471620644008,0.22664879687001682,0.26154257971774075,0.1164619298243793,0.2768179931595692,0.0647507456009932,0.20327067699231333,0.17465818080642803,0.41411563434476967,0.044588807546969735
1,0.06359568927671008,0.03372187032165208,0.11934137189401912,0.24019992804597035,0.09804572102688949,0.15245256882946978,0.27329819228962254,0.1747947183150687,0.16042502864388242,0.10619832011337497,0.08583492043818983,0.14794416664986781,0.15242034894123274,0.1036822805790818,0.12221632480350111,0.2561333467722889,0.16136458637152434,0.16492335875482855,0.1788040212563767,0.34500728910020684,0.12356015527804975,0.24738250748548496,0.28338983143659535,0.12113451294919078,0.2633666567626043,0.06416499940577987,0.20179169150853693,0.17040151217669056,0.43511545159540255,0.03993765114314367
2,0.07163617644680577,0.03215256964727777,0.11614993507589666,0.26103890223435233,0.10253558931693592,0.1422213033514794,0.24315268195888368,0.17023029876729429,0.14602056119277956,0.09790668266075668,0.102696155144433,0.1473420190759168,0.17958786419971617,0.0872632854297338,0.12175114001276424,0.2583585342530842,0.14508739227293693,0.1493279594467371,0.16884510818013748,0.3429867767056074,0.12282482554383878,0.2625149814068516,0.2976028269779502,0.12829976637839152,0.24016881734931847,0.06301090691396984,0.20351899414781682,0.16210080625272874,0.44826236170791545,0.03494012785737956
3,0.0803910325238941,0.03226191329298522,0.11697528839723322,0.2758747081031339,0.10739416711562803,0.13188136333635042,0.21035107065224595,0.16650042650947552,0.13269333412301973,0.09248108087469245,0.12218902063678201,0.14786274463402066,0.2080531191236327,0.07564491327056556,0.1248898613709134,0.2602332054448192,0.1274902148028924,0.1296506029014368,0.15923317410796667,0.3448387548978349,0.1201358227684455,0.26950812853752565,0.3030611497021271,0.13612515650911886,0.21418334894085572,0.06149952149426481,0.2089369073056766,0.15140803181364537,0.455342533602923,0.03366434297153619
4,0.08896995265457171,0.03380894072760052,0.11971525050522953,0.28480926312095256,0.11243996584387125,0.12122506372057855,0.17643339514524187,0.16380769848567903,0.12039716135885004,0.08960300603857485,0.1427564045764065,0.15208802450793152,0.2315634253554701,0.06771771779480015,0.13115040686369372,0.2631763045275697,0.11371001172130113,0.10867636836564054,0.14979237519138733,0.34997953368907264,0.11843783146344578,0.2681458328017758,0.2998985655093381,0.1439426287079234,0.1863840606988848,0.05890593469361407,0.217839100085858,0.14056699708905768,0.45484477002268503,0.03611283095832166
