,TSS_POS_1::NC_022970.1:30-130(+),TSS_POS_2::NC_022970.1:133-233(+),TSS_POS_3::NC_022970.1:230-330(+),TSS_POS_4::NC_022970.1:6097-6197(+),TSS_POS_5::NC_022970.1:9533-9633(+),TSS_POS_6::NC_022970.1:12908-13008(+),TSS_POS_7::NC_022970.1:12973-13073(+),TSS_POS_8::NC_022970.1:17916-18016(+),TSS_POS_9::NC_022970.1:18076-18176(+),TSS_POS_10::NC_022970.1:18460-18560(+),TSS_POS_11::NC_022970.1:18668-18768(+),TSS_POS_12::NC_022970.1:23052-23152(+),TSS_POS_13::NC_022970.1:24853-24953(+),TSS_POS_14::NC_022970.1:25327-25427(+),TSS_POS_15::NC_022970.1:25919-26019(+),TSS_POS_16::NC_022970.1:26611-26711(+),TSS_POS_17::NC_022970.1:26907-27007(+),TSS_POS_18::NC_022970.1:29685-29785(+),TSS_POS_19::NC_022970.1:29946-30046(+),TSS_POS_20::NC_022970.1:30788-30888(+),TSS_POS_21::NC_022970.1:31243-31343(+),TSS_POS_22::NC_022970.1:31271-31371(+),TSS_POS_23::NC_022970.1:36240-36340(+),TSS_POS_24::NC_022970.1:41126-41226(+),TSS_POS_25::NC_022970.1:41959-42059(+),TSS_POS_26::NC_022970.1:44447-44547(+),TSS_POS_27::NC_022970.1:46590-46690(+),TSS_POS_28::NC_022970.1:46901-47001(+),TSS_POS_29::NC_022970.1:47208-47308(+),TSS_POS_30::NC_022970.1:47869-47969(+),TSS_POS_31::NC_022970.1:48369-48469(+),TSS_POS_32::NC_022970.1:50979-51079(+),TSS_POS_33::NC_022970.1:51701-51801(+),TSS_POS_34::NC_022970.1:51834-51934(+),TSS_POS_35::NC_022970.1:51874-51974(+),TSS_POS_36::NC_022970.1:52594-52694(+),TSS_POS_37::NC_022970.1:52916-53016(+),TSS_POS_38::NC_022970.1:54291-54391(+),TSS_POS_39::NC_022970.1:54406-54506(+),TSS_POS_40::NC_022970.1:55189-55289(+),TSS_POS_41::NC_022970.1:55363-55463(+),TSS_POS_42::NC_022970.1:55582-55682(+),TSS_POS_43::NC_022970.1:56266-56366(+),TSS_POS_44::NC_022970.1:57008-57108(+),TSS_POS_45::NC_022970.1:57338-57438(+),TSS_POS_46::NC_022970.1:57950-58050(+),TSS_POS_47::NC_022970.1:58923-59023(+),TSS_POS_48::NC_022970.1:59299-59399(+),TSS_POS_49::NC_022970.1:59880-59980(+),TSS_POS_50::NC_022970.1:60466-60566(+),TSS_POS_51::NC_022970.1:63642-63742(+),TSS_POS_52::NC_022970.1:63785-63885(+),TSS_POS_53::NC_022970.1:64047-64147(+),TSS_POS_54::NC_022970.1:65102-65202(+),TSS_POS_55::NC_022970.1:66352-66452(+),TSS_POS_56::NC_022970.1:70707-70807(+),TSS_POS_57::NC_022970.1:71468-71568(+),TSS_POS_58::NC_022970.1:72334-72434(+),TSS_POS_59::NC_022970.1:84251-84351(+),TSS_POS_60::NC_022970.1:84563-84663(+),TSS_POS_61::NC_022970.1:84982-85082(+),TSS_POS_62::NC_022970.1:85425-85525(+),TSS_POS_63::NC_022970.1:85903-86003(+),TSS_NEG_1::NC_022970.1:739-839(-),TSS_NEG_2::NC_022970.1:2868-2968(-),TSS_NEG_3::NC_022970.1:5440-5540(-),TSS_NEG_4::NC_022970.1:5784-5884(-),TSS_NEG_5::NC_022970.1:76151-76251(-),TSS_NEG_6::NC_022970.1:78070-78170(-),TSS_NEG_7::NC_022970.1:78911-79011(-),TSS_NEG_8::NC_022970.1:79467-79567(-),TSS_NEG_9::NC_022970.1:80400-80500(-),TSS_NEG_10::NC_022970.1:82074-82174(-),TSS_NEG_11::NC_022970.1:83149-83249(-)
-58,0.057015343045361246,0.021775234135168447,0.024104256679455,0.07761338821153489,0.023501491499738007,0.08500064410344658,0.006167017747463296,0.04539239720949263,0.010562920921215541,0.04345112485338848,0.04334464861919406,0.07388099448324921,0.12920411410985871,0.054851726115772936,0.005998375323771339,0.04105982451200614,0.029419879391177496,0.026108601305907597,0.03124987826760008,0.04829726821473548,0.04100226748067633,0.05027306606005745,0.030952772795992067,0.03984790764975724,0.03869771678964621,0.07223429345094165,0.04932552659002935,0.025750739644552066,0.052757285337231785,0.07684600894228552,0.06949918945640006,0.020861188819082475,0.0446525255454864,0.06255259879497195,0.024548299958090002,0.06733624433301731,0.0382269115539085,0.02714340334266953,0.07306888665017622,0.08164907540807602,0.02375527650532349,0.04764168291245049,0.009216411672722627,0.01580745146336948,0.07606524938400597,0.017914544229793262,0.03517209393108931,0.042181502399316985,0.083935658148235,0.030947581686146985,0.04897193323935779,0.05528500599815743,0.04996518317908963,0.028953959523415673,0.05211770106882978,0.027693549544963947,0.04038870668818716,0.05067344572770264,0.04236954151946729,0.007394589079610836,0.01888944590420086,0.023897879629619156,0.08198235797247337,0.05107157335397734,0.024058376098845806,0.021676894164623935,0.056397299855090656,0.03341190393291446,0.05663274616238691,0.009907918905675942,0.061523262841991735,0.08087744046434722,0.041657047333094686,0.088902353356009
-57,0.07848144103243115,0.03281121508145161,0.029857939759413154,0.10004106147897895,0.03193192076248621,0.10497991606877535,0.010698076784290234,0.061324100047317934,0.016594809200153354,0.05806456873748465,0.06016769819968343,0.09540595834042734,0.1708214671005178,0.0761181054605436,0.010982391225201999,0.05118911815401023,0.04083809680293584,0.03427732113503271,0.04348792994182843,0.060038692305170595,0.04959731144598932,0.07239513870743917,0.045592904151764854,0.052603119902609706,0.0572118633018517,0.09544143473203677,0.062098017570402876,0.03238673037250721,0.06740716031422612,0.0971333126338938,0.09965652962700589,0.02173460950482566,0.056848835946249524,0.08322451247064366,0.03335675072295202,0.08683065356008643,0.05244693527893522,0.04149973348430493,0.0968424878782164,0.10757215484805463,0.04044127374057501,0.058813733893956964,0.014773751402077434,0.023626560669077087,0.10560215818304516,0.02756903328846553,0.05061500444839878,0.05592406463727766,0.10718659092367366,0.04169684861559705,0.06959425411040743,0.06794785625292186,0.0703362415640872,0.03470505093084383,0.06961757064224218,0.033850722319260625,0.04945394461818818,0.0625930430238347,0.05415618660727598,0.009338219652921935,0.0237245578486429,0.03055855179354667,0.10680397156786262,0.07133342290158133,0.029679339973523466,0.031903109417419986,0.07799001300817766,0.04732134568408446,0.07779692212858297,0.01701698235872572,0.07927854601703675,0.10539666016862495,0.06015636003884779,0.12825940819225606
-56,0.10079847156459838,0.046429001663281316,0.037007547254267324,0.12176003951357017,0.043698072253069195,0.12144112450391867,0.014926708155405689,0.07805924568756681,0.028693198391971236,0.07225811325414533,0.07719016574690145,0.11381789980885877,0.20955444419029473,0.09769143110350693,0.01816617474125969,0.059050958415894805,0.05360967039535912,0.04314755422025693,0.05685683404971838,0.06981425623169771,0.055490214727095755,0.0972315786163862,0.06253494882706254,0.06526170728406852,0.07796403586060408,0.11876455274337705,0.07275875335403936,0.03831526889604,0.08136807032404123,0.11449189073605721,0.1336920567816073,0.027080490444957535,0.06522338563101575,0.10371651382559324,0.045205488322478886,0.10397697058683664,0.06676956729036157,0.058430841922580926,0.11890208596424787,0.13193225643612577,0.06127634984380853,0.06886635880687518,0.021384428992791225,0.032281869243942274,0.1370518721722637,0.040361427446727986,0.0679396940079304,0.06904747041252567,0.12618132390390419,0.05365254771885962,0.09140989229382064,0.07721746515432075,0.09024878042337772,0.04083120638690403,0.08581157325039411,0.03628892273583735,0.05668106116808884,0.07201883357413061,0.06491387846933416,0.012469384251941105,0.028274406158840977,0.03626012115664749,0.13001602650146488,0.09303145733656111,0.03411471260114531,0.043615167355861705,0.09949551960188241,0.06201157737775104,0.09742213916250926,0.026418591116454986,0.09491868851785054,0.12923860496389433,0.0812285347829184,0.17253542683447182
-55,0.12370195445789786,0.0629134108530052,0.04610139912234242,0.1426650553834674,0.05887886868254462,0.1348171248369371,0.01922636232074574,0.09594359437171626,0.04682016264792694,0.08563894013820428,0.09334395834273265,0.12882254630496423,0.2456452245762652,0.11968781349159512,0.02792865383916344,0.0644062771384562,0.06533822457830127,0.05401322395489364,0.07235149750070916,0.0773725774187627,0.05880395349173071,0.12456127988501904,0.08197854287272029,0.07861507447123442,0.09959026547677108,0.14063296222914873,0.08115792126559526,0.044228252202595596,0.09460447418775486,0.1285436217852419,0.17026881596406238,0.03714069226001569,0.07089654687048749,0.12348216303137464,0.05921390485140223,0.11857146361184615,0.082258105207524,0.07783067986330547,0.13950012736147824,0.1560990449178308,0.08619550149211495,0.08059146367387784,0.02918161009187224,0.041795208858370306,0.17024130066964796,0.05470946988635959,0.0866936456433965,0.0825081707509097,0.14091253036932835,0.06682746983770563,0.11388763240836594,0.08385013987603109,0.10866173077470673,0.04850944678560094,0.10067031718676159,0.03808546039998233,0.06112202760478137,0.07937255782801658,0.07467805744970309,0.017343092817201363,0.032844220526472886,0.04092204996653514,0.1523568966771039,0.11568379761516442,0.03774130427191861,0.05712991672861154,0.12101963413959138,0.07822561465533255,0.11343740529338905,0.03821796296184675,0.1089070220904007,0.14961652052852964,0.10424905779851941,0.22058860009866527
-54,0.14529221145803656,0.08232422110935778,0.057507450800433436,0.16440627821520928,0.07623218437414103,0.14523108684455305,0.024098178524052462,0.11281372677355313,0.07050756984767445,0.09819432912885903,0.10929404844217605,0.14049967565908636,0.27901853770479584,0.14106742156305754,0.04041607802649009,0.06711902584412069,0.07614925716532164,0.06646871203377644,0.0898084576026113,0.08349297760364784,0.059996565073434885,0.15363030245527565,0.10321893729229462,0.09070841784935554,0.12145652650007917,0.1604749174219377,0.08738674158503379,0.05072438999839858,0.108108296679128,0.13994122688669094,0.20778519099722007,0.05070295124011477,0.07776602633263391,0.1412049805749258,0.07425412597607094,0.129398172600171,0.09953760961961158,0.0995123087131105,0.15910160259795691,0.18115906274790486,0.11518846339878122,0.0949293511266349,0.03794659953719605,0.05207827849061242,0.20384267157231703,0.06895507346197728,0.10615704117658586,0.09591254669827272,0.1516271389687486,0.08146543661231047,0.13494835725482396,0.08778380861353051,0.12583070382055644,0.05739693125830825,0.11413088788915444,0.04349426027825017,0.06346259823075198,0.0844443985070453,0.08360906538910554,0.024074840998162872,0.03766254724024306,0.0444261553007773,0.1746302212052179,0.13895424317026314,0.04012154506840883,0.07276791869183016,0.14222823873898888,0.09544111544742957,0.12555614132227583,0.05133515609263291,0.11982364167364164,0.1666387526011855,0.12805711450556242,0.2701451975974373
-53,0.16411476786683785,0.10402597264102964,0.07150508082126683,0.18916224785861785,0.09544128160461289,0.15347771567079274,0.02998406793049992,0.1282353538452614,0.09964647987575023,0.11042088867157332,0.1250795769336311,0.148578137418615,0.3092429676261258,0.1621372232510595,0.055403818353757794,0.06886699695634005,0.08630738350444768,0.0803589908069879,0.10936384762656912,0.08883593927813413,0.06166827243159105,0.1823683142293737,0.12590370607275578,0.1016332404382165,0.1424133807465986,0.1785948569662022,0.09193101266756323,0.05833585690482923,0.12372657743736767,0.149911609449791,0.24428923074806236,0.0670945973203821,0.08818252083961663,0.15591005974139577,0.09035309934203131,0.13751894946190507,0.11617670680842898,0.12309064165010293,0.17610167940103297,0.20713402833511524,0.14690866175520126,0.11219968832105673,0.04758183855762858,0.06279063729418154,0.2360782989326983,0.08334383329365223,0.12589270166713026,0.10930618718172902,0.16142285683140334,0.09778812944445217,0.15280041674200792,0.08894050225505482,0.14158131561520776,0.06524711261549061,0.12626385267878662,0.05246424802660314,0.0671564908272642,0.08783701621539634,0.0920600862620796,0.03267433079861391,0.04334788612226994,0.047449964208999815,0.19745702730161285,0.16279096281315958,0.0419726064314364,0.08961564098803698,0.16118001219196085,0.11368115369867653,0.13581848636136448,0.06576278996827943,0.12720671000603107,0.18108499462968128,0.15016203674104084,0.3195493565234233
-52,0.17917631080954002,0.12709251730498902,0.08658920330252284,0.21690691744853435,0.11644153513479734,0.15929245487380753,0.036832977446912225,0.14264651161106304,0.13258388346414002,0.12214286555606228,0.1409496557081073,0.1531200566966266,0.3357545362709714,0.18307600272320804,0.06911533001017595,0.0738500547164197,0.09559989201260115,0.09546701059185006,0.13072339690635115,0.0924049982415453,0.06534426973109757,0.21002524388667881,0.1501448968919296,0.11118079473628806,0.1629662161498363,0.19498266487109933,0.0981401853565916,0.06777159603049192,0.14163084657235347,0.1616774323309587,0.2777603095640225,0.08609568116488621,0.10156974684822004,0.16810338897034466,0.10772312964597512,0.14405790106065824,0.13115384440444103,0.14774297975097303,0.18987227062743434,0.23440904897382656,0.1790127297083691,0.13166069930544372,0.05719208294101412,0.07240373038437965,0.266303152234635,0.09734771574406806,0.14629305235982693,0.12319183920306039,0.17326804774684643,0.11503483023810164,0.16779270632924517,0.09071739057225776,0.1544818704674807,0.07190482653903964,0.13666967100472638,0.06422188812594833,0.07293769873342432,0.09108338128127445,0.10034039264368466,0.04354656763733962,0.05012957356048971,0.05062923739411135,0.2215386700660697,0.18577474329061955,0.04376512852206802,0.10757893407465127,0.1768558747830768,0.13282334986195282,0.14677497402041412,0.08171290983703947,0.1315326089731806,0.1914519744288628,0.16999053288090232,0.36746402167016823
-51,0.19070688568752964,0.1506802784966613,0.10230762005814917,0.2468178510943626,0.13877765393517938,0.16294332835505937,0.04588610167569879,0.15605922529647903,0.16913992906702768,0.13147838841102097,0.15448074383425014,0.15487224518613107,0.3576949440218593,0.20371720680968225,0.08036084272965527,0.08290774530696299,0.10422162236179229,0.11189723259390968,0.15279015985101146,0.09470911968734899,0.07095041019655904,0.23749234254755583,0.17379001724352153,0.11959623476454029,0.18360046694239224,0.209828528938291,0.10727008517666511,0.07840924581340582,0.161781553324306,0.17671342084512237,0.30783540689611655,0.1068836352991892,0.11784144526547535,0.1787338854052148,0.12561586025505705,0.15297395096110233,0.14456995332379646,0.1733016834399967,0.20073614581269053,0.263176304527568,0.20878688216468175,0.15137142768635564,0.06637325200625341,0.08062939092500739,0.2950585848293069,0.11105912785260304,0.1671039880988599,0.1377641654386897,0.1883424069907385,0.13421052384835205,0.1803554360538815,0.09429544721357555,0.16455813375421918,0.07781102783915549,0.1449711974429535,0.07871994549544711,0.08075751815941637,0.09646216901350615,0.1086164852210432,0.05593733514683896,0.05764180250274583,0.054199229820942066,0.2461609957185238,0.20748271203789576,0.04475096385961926,0.12627067383043727,0.18879230889608006,0.1502384227245529,0.15891796365593158,0.09892341635776716,0.13534500746183428,0.19986120304482005,0.1878330567707136,0.4141156343447697
-50,0.18148549142337148,0.17037025105931294,0.10896875905253381,0.25091999207836485,0.1501107378206687,0.1323203531680715,0.05544674711500351,0.15273322051487065,0.20400620446656004,0.12537797564119696,0.1521651018849046,0.1327682876938481,0.3342519001499714,0.20698689010117718,0.08742343771011005,0.08019440192012746,0.10114953453866278,0.12004370342827195,0.16590593927462113,0.07952346342719324,0.06285432095699,0.25235541041773,0.18689826524290054,0.11393534733630602,0.19450147380784133,0.19889333598096187,0.10225493104324168,0.07709347681583523,0.16418362250383728,0.1657335889315282,0.314271156123649,0.11574727217619955,0.12247439182041815,0.16765356527971648,0.13165552118170232,0.14117621522378873,0.14417666165239834,0.19328496053737357,0.18565693193840666,0.2655003584028172,0.23182124362002146,0.154392338012883,0.0719236993638316,0.08214670852258692,0.3000000928394616,0.1175602862920772,0.17673819938371738,0.1405870542270897,0.17565208825991047,0.1454712542737133,0.17736517933309662,0.07795899560553088,0.15803164039440712,0.0700081860128032,0.13321990824274166,0.08687126210482261,0.07275098668161739,0.08466710295073553,0.10145686246111765,0.06503481693863596,0.05856184829032973,0.04935818839462249,0.24313626921736597,0.21243778407247066,0.037893742749606364,0.13988466343884248,0.18040279220397246,0.15675208174869318,0.15398657348685765,0.11452555075536006,0.11964784515345928,0.17940821602912005,0.19166486292313556,0.4351154515954039
-49,0.16722043762045352,0.18978543404576328,0.11818075506933408,0.25891288834701076,0.16269908321677626,0.10596205949304345,0.06814801123927756,0.14746814343745412,0.24285274258318917,0.11711741479987114,0.1476766581457001,0.11109807412891662,0.30626741988250145,0.20655549698210107,0.0953031557702805,0.07982020878982196,0.09669639605240357,0.12997121738118347,0.1776253773987226,0.06563773989125973,0.05679283441572589,0.2628462820390027,0.19402308108511743,0.10785807570004417,0.20315832927999913,0.18805892988133646,0.1015700725095392,0.07366419830122883,0.17143662477403723,0.15988718666669371,0.31351712666834397,0.12501207995394314,0.12903922520121708,0.1567738809612101,0.13851136258695657,0.13345693899333838,0.14405097920792295,0.21345235561464632,0.16928730388001462,0.2672931687119643,0.2474603302653117,0.1591945019744499,0.07629618674763833,0.08138313435858754,0.3003191583590853,0.12703955755114235,0.18386336555803734,0.1467547958519291,0.1673700929027628,0.1603157595215792,0.1671521859970591,0.06454939241379974,0.14775557281909632,0.06494631075268029,0.11850599540155579,0.09746062378073649,0.07217989732722599,0.0779759475994096,0.0950537801729642,0.07558045418749013,0.06180543110485859,0.04557640780336545,0.2407350129433948,0.2146728070957832,0.03266242644027075,0.15125710542626208,0.16595406720797576,0.1589239740725969,0.14801182787278894,0.12891454720480072,0.10640511455585777,0.15993645819584987,0.19111317675263814,0.44826236170791595
-48,0.1503020609864399,0.20831449196398602,0.12925024835107463,0.27033975918397196,0.17319110901592386,0.08539275622199542,0.08079843014972915,0.14238087197050903,0.28480895618812807,0.10770332095272077,0.14037336900155994,0.09161379126752464,0.27700251870532344,0.2031817376385427,0.10009214162671902,0.08147957438678748,0.09078634790463178,0.14034695580352025,0.18754528318871866,0.0557255967032681,0.053878547305422964,0.2723128671461959,0.19664173829527992,0.10106898203131567,0.20998899667778753,0.17666442006289537,0.10651368484826003,0.06951075942800575,0.18201291719289572,0.15853498770793048,0.3047422633515833,0.13592244456058583,0.13863887047439966,0.14635494432860066,0.1438614521217037,0.13027915396685813,0.14529663102899856,0.23286311531612305,0.15379103251881326,0.2697412082893975,0.25532527627971496,0.1659011895895771,0.0784370384326755,0.08061682349745711,0.2983224035472046,0.13749264720070964,0.18835611644778688,0.15647539394779447,0.16293387165735002,0.1780422058805974,0.1525237299414746,0.0540468056980236,0.13488718886862983,0.0621574282032704,0.10229464315564571,0.11201469202450602,0.07523012380706441,0.0759575466613692,0.08971606789879058,0.0874510883357174,0.06784239936592151,0.043528628305489245,0.24020234076155417,0.21413977899627704,0.029259722790135233,0.16066250832927548,0.1478419414093648,0.15813715048031313,0.14096331878954432,0.1397299074876049,0.09512498130282833,0.14128030167483235,0.1854536357463641,0.45534253360292337
