,TSS_POS_1::NC_010326.1:880-980(+),TSS_POS_2::NC_010326.1:959-1059(+),TSS_POS_3::NC_010326.1:1074-1174(+),TSS_POS_4::NC_010326.1:1112-1212(+),TSS_POS_5::NC_010326.1:1214-1314(+),TSS_POS_6::NC_010326.1:1347-1447(+),TSS_POS_7::NC_010326.1:1373-1473(+),TSS_POS_8::NC_010326.1:1491-1591(+),TSS_POS_9::NC_010326.1:1537-1637(+),TSS_POS_10::NC_010326.1:21064-21164(+),TSS_POS_11::NC_010326.1:35539-35639(+),TSS_NEG_1::NC_010326.1:702-802(-)
10,5.955,5.72,6.025,5.529999999999999,5.654999999999999,5.79,5.955,5.865,5.555,6.175,5.635,5.23
11,5.745,5.64,6.085,5.605,5.3149999999999995,5.51,5.91,5.64,5.4399999999999995,6.29,5.15,5.17
12,5.79,5.425,6.085,5.8149999999999995,5.51,5.46,5.74,5.615,5.404999999999999,6.21,5.01,5.1899999999999995
13,5.595000000000001,5.359999999999999,5.82,6.08,5.61,5.444999999999999,5.275,5.3149999999999995,5.47,6.2,5.029999999999999,4.885
14,5.720000000000001,5.255,5.800000000000001,6.02,5.5649999999999995,5.4,5.284999999999999,5.279999999999999,5.78,6.075,4.585,5.029999999999999
15,5.72,5.3149999999999995,5.845000000000001,6.055,5.584999999999999,5.1850000000000005,5.2299999999999995,5.305,6.05,5.625000000000001,4.695,4.9
16,5.57,5.215,5.85,6.1049999999999995,5.75,4.985,5.165,5.545,6.3149999999999995,5.545,4.799999999999999,5.4
17,5.605,5.26,5.904999999999999,6.074999999999999,5.6899999999999995,4.8100000000000005,5.275,5.4799999999999995,6.31,5.52,5.0649999999999995,5.444999999999999
18,5.715,5.04,5.8549999999999995,5.74,5.789999999999999,5.034999999999999,5.069999999999999,5.17,6.3100000000000005,5.445,5.01,5.725
19,5.709999999999999,4.95,5.89,5.6899999999999995,5.614999999999999,5.325,5.125,5.36,6.279999999999999,5.525,4.755,5.63
20,5.79,4.905,6.105,5.6899999999999995,5.725,5.33,5.235,5.35,6.14,5.62,4.545,5.5649999999999995
21,6.015,5.08,5.945,5.494999999999999,5.624999999999999,5.365,5.235,5.075,6.06,5.529999999999999,4.62,5.685
22,5.75,5.13,5.705,5.404999999999999,5.6899999999999995,5.4799999999999995,5.235,5.130000000000001,6.22,5.455,4.345,5.525
23,5.82,4.875,5.745,5.635,5.88,5.3,5.2,5.25,6.220000000000001,5.575,4.375,5.735
24,5.935,4.905,5.775,5.4350000000000005,5.66,5.085,5.275,5.51,6.085,5.765000000000001,4.58,6.11
25,6.2,4.855,5.725,5.79,6.0649999999999995,5.055000000000001,4.95,5.135,6.09,5.685,4.7299999999999995,6.1049999999999995
26,6.14,5.0200000000000005,5.944999999999999,5.864999999999999,6.069999999999999,5.05,4.85,5.4,6.034999999999999,5.63,4.7299999999999995,5.95
27,6.24,4.95,5.895,5.89,5.984999999999999,4.975,4.8,5.485,6.0649999999999995,5.645,4.535,5.975
