,TTS_1::Phage_LUZ100_full_genome:682-782(+),TTS_2::Phage_LUZ100_full_genome:2513-2613(+),TTS_3::Phage_LUZ100_full_genome:3935-4035(+),TTS_4::Phage_LUZ100_full_genome:7661-7761(+),TTS_5::Phage_LUZ100_full_genome:8633-8733(+),TTS_6::Phage_LUZ100_full_genome:9191-9291(+),TTS_7::Phage_LUZ100_full_genome:9993-10093(+),TTS_8::Phage_LUZ100_full_genome:10628-10728(+),TTS_9::Phage_LUZ100_full_genome:17146-17246(+),TTS_10::Phage_LUZ100_full_genome:19149-19249(+),TTS_11::Phage_LUZ100_full_genome:20332-20432(+),TTS_12::Phage_LUZ100_full_genome:20778-20878(+),TTS_13::Phage_LUZ100_full_genome:22144-22244(+),TTS_14::Phage_LUZ100_full_genome:37066-37166(+)
-11,4.655,5.73,5.155,5.819999999999999,6.01,6.295,5.194999999999999,5.279999999999999,5.665,5.6899999999999995,5.835,5.8950000000000005,5.555,5.605
-10,4.54,5.62,5.159999999999999,5.7,6.145,6.295,5.2,5.46,5.734999999999999,5.6899999999999995,5.835,5.734999999999999,5.495,5.43
-9,4.700000000000001,5.84,5.24,5.72,6.279999999999999,6.67,5.27,5.465,5.805,5.64,5.67,5.67,5.569999999999999,5.37
-8,4.62,5.74,4.76,5.619999999999999,6.305000000000001,6.55,5.235,5.475,5.85,5.5649999999999995,5.6899999999999995,5.6850000000000005,5.494999999999999,5.154999999999999
-7,4.735,5.885,4.4,5.36,6.245,6.275,5.130000000000001,5.525,5.615,5.56,5.735,5.67,5.555,5.02
-6,4.745,5.984999999999999,4.575,5.36,5.84,6.14,5.359999999999999,5.41,5.444999999999999,5.779999999999999,5.665,5.675,5.805,5.0600000000000005
-5,5.154999999999999,5.92,4.64,5.470000000000001,5.409999999999999,6.115,5.54,5.695,5.36,5.970000000000001,6.005,5.735,5.52,4.959999999999999
-4,5.209999999999999,5.725,4.5649999999999995,5.465,5.29,5.965,5.43,5.465,5.385,5.855,5.74,5.4799999999999995,5.115,5.209999999999999
-3,5.23,5.84,4.42,5.345,5.205,5.96,5.505,5.345,5.555000000000001,5.525,5.720000000000001,5.455,4.709999999999999,5.1850000000000005
-2,5.445,5.869999999999999,4.275,5.18,5.4,6.135,5.505,5.35,5.575,5.38,5.819999999999999,5.630000000000001,4.68,5.39
-1,5.470000000000001,5.97,4.12,5.255,5.654999999999999,6.13,5.505,5.4799999999999995,5.64,5.42,5.8,5.49,4.205,5.415
0,5.645,6.095,4.055000000000001,5.3100000000000005,5.255000000000001,5.725,5.505,5.45,5.380000000000001,5.37,6.07,5.215,3.8849999999999993,5.28
1,5.569999999999999,5.84,3.9050000000000002,5.3,4.944999999999999,5.495,5.534999999999999,5.5600000000000005,5.375,5.54,5.869999999999999,5.284999999999999,3.8849999999999993,5.195
2,5.7700000000000005,5.8100000000000005,3.7599999999999993,5.25,4.984999999999999,5.42,5.585,5.404999999999999,5.515,5.705,5.92,5.17,4.205,4.975
3,5.91,6.029999999999999,3.905,5.05,5.27,5.42,5.515000000000001,5.659999999999999,5.38,5.595,5.909999999999999,5.29,4.415,5.28
4,5.9399999999999995,5.7,3.825,5.045,5.265,5.42,5.5649999999999995,5.8100000000000005,5.505,5.465,5.645,5.41,4.345000000000001,4.904999999999999
5,6.05,5.645,4.045,5.215,4.994999999999999,4.955,5.29,5.58,5.470000000000001,5.615,5.725,5.845000000000001,4.795,4.779999999999999
6,6.05,5.380000000000001,4.045,5.255,4.945,4.9350000000000005,5.44,5.575,5.4350000000000005,5.779999999999999,5.625,6.1,4.819999999999999,4.779999999999999
7,6.015,5.415,3.975,5.34,4.8149999999999995,4.949999999999999,5.529999999999999,5.33,5.415,5.85,5.699999999999999,5.89,4.54,4.805000000000001
8,6.0649999999999995,5.1899999999999995,3.925,5.24,4.925,4.97,5.45,5.624999999999999,5.545,5.9399999999999995,5.665,5.869999999999999,4.495,4.665
9,6.225,4.924999999999999,4.029999999999999,5.255,5.0600000000000005,5.13,5.470000000000001,5.655,5.569999999999999,5.91,5.725,5.999999999999999,4.455,4.665
10,6.470000000000001,5.01,4.255000000000001,5.37,4.8100000000000005,5.124999999999999,5.470000000000001,5.665,5.499999999999999,5.630000000000001,5.449999999999999,6.165,4.409999999999999,4.64
11,6.26,4.904999999999999,4.3549999999999995,5.37,4.865,5.005000000000001,5.51,5.619999999999999,5.43,5.475,5.55,6.17,4.36,4.720000000000001
12,6.56,4.955,4.66,5.27,4.84,5.17,5.584999999999999,5.55,5.385,5.525,5.6450000000000005,6.17,4.205,4.995
13,6.16,4.95,4.6899999999999995,5.444999999999999,4.869999999999999,5.285,5.4399999999999995,5.529999999999999,5.68,5.305000000000001,5.619999999999999,6.3549999999999995,4.07,5.255000000000001
14,6.069999999999999,5.035,4.775,5.475,5.069999999999999,5.284999999999999,5.21,5.825,5.85,5.115,5.6899999999999995,6.5200000000000005,3.8950000000000005,5.26
15,5.92,4.985,4.55,5.3950000000000005,5.355,5.075,5.22,5.625,5.874999999999999,4.715,5.725,6.635,3.9299999999999997,5.1850000000000005
16,5.965000000000001,4.935,4.819999999999999,5.404999999999999,5.409999999999999,5.1049999999999995,5.6,5.705,5.944999999999999,4.904999999999999,5.66,6.81,4.359999999999999,5.380000000000001
17,6.135,5.045,5.105,5.33,5.165,5.26,5.585,5.695,5.4799999999999995,5.135,5.734999999999999,6.99,4.79,5.130000000000001
18,6.069999999999999,5.075,5.38,5.59,4.785,5.37,5.46,5.695,5.63,5.340000000000001,5.654999999999999,6.525,5.285,5.1049999999999995
19,5.76,5.285,5.415,5.59,4.975,5.659999999999999,5.46,5.705,5.845,5.4,5.734999999999999,6.445,5.459999999999999,5.1
20,5.805000000000001,4.95,5.319999999999999,5.43,5.185,5.985,5.590000000000001,5.775,6.139999999999999,5.45,5.63,6.664999999999999,5.455,5.275
21,5.88,5.195,5.409999999999999,5.4399999999999995,5.5200000000000005,6.295,5.4,5.81,6.194999999999999,5.28,5.904999999999999,6.575,5.205,5.6049999999999995
22,5.755,5.385,5.6850000000000005,5.67,5.765000000000001,6.415000000000001,5.4,5.785,5.985,4.985,5.675,6.864999999999999,5.135,5.720000000000001
23,5.415,5.4399999999999995,5.33,5.785,5.595000000000001,6.4,5.175000000000001,5.705,6.125,5.03,5.635,6.784999999999999,5.25,5.595
24,5.555,5.569999999999999,5.409999999999999,5.7299999999999995,5.5200000000000005,6.130000000000001,5.3,5.585,6.025,5.165000000000001,5.88,6.725,5.215,5.85
25,5.5,5.625,5.145,5.31,5.62,6.409999999999999,5.64,5.815,5.654999999999999,5.040000000000001,5.784999999999999,6.665000000000001,5.04,5.82
26,5.375,5.725,5.045,5.08,5.625,6.475,5.64,5.79,5.525,4.76,5.785,6.57,4.64,5.535
27,5.555,5.795,4.97,5.325,5.67,6.455,5.630000000000001,5.59,5.55,4.59,5.71,6.540000000000001,4.915,5.455
28,5.425,6.1450000000000005,5.18,5.05,5.665,6.3,5.675,5.695,5.425,4.3,5.9399999999999995,6.505,4.709999999999999,5.404999999999999
29,5.425,6.21,5.165,5.029999999999999,5.46,6.09,5.92,5.584999999999999,5.3149999999999995,4.37,5.654999999999999,6.265,4.6850000000000005,5.66
30,5.625,6.0600000000000005,5.055,4.885,5.685,6.290000000000001,5.76,5.584999999999999,5.51,4.694999999999999,5.88,6.1,4.4350000000000005,5.705
31,5.625,6.195,5.3549999999999995,5.0649999999999995,5.63,6.5,5.779999999999999,5.595000000000001,5.705,4.85,5.909999999999999,6.194999999999999,4.515,5.53
32,5.484999999999999,6.220000000000001,5.37,5.2299999999999995,5.654999999999999,6.3,5.915000000000001,5.59,5.5249999999999995,5.0,5.615,6.18,4.535,5.5649999999999995
33,5.824999999999999,6.05,5.615,5.3149999999999995,5.4,6.075,6.165,5.3,5.584999999999999,5.375,5.6899999999999995,6.159999999999999,4.76,5.635
34,5.755,5.975,5.535,5.42,5.555000000000001,6.3,6.09,5.404999999999999,5.285,5.1,5.609999999999999,5.970000000000001,4.95,5.525
35,5.71,6.02,5.585,5.275,5.699999999999999,6.51,6.01,5.205,5.279999999999999,5.33,5.525,5.725,5.245,5.4399999999999995
36,5.839999999999999,5.79,5.32,5.325,5.89,6.540000000000001,5.8549999999999995,5.2299999999999995,5.02,5.25,5.63,5.909999999999999,5.125,5.22
37,5.574999999999999,5.74,5.345,5.369999999999999,6.09,6.589999999999999,5.795,5.234999999999999,5.275,5.255,5.55,5.84,5.005,5.5249999999999995
38,5.35,5.654999999999999,5.395,5.11,6.25,6.590000000000001,5.5,5.3549999999999995,5.075,5.26,5.535,5.885,4.985,5.64
39,5.66,5.55,5.3950000000000005,5.235,6.055,6.465000000000001,5.29,5.4399999999999995,5.0200000000000005,5.16,5.630000000000001,5.885,4.840000000000001,5.77
40,5.904999999999999,5.86,5.470000000000001,5.46,5.8,6.35,5.56,5.42,4.795,5.0,5.539999999999999,5.715,5.15,5.595
41,5.85,5.955,5.375,5.6049999999999995,5.799999999999999,6.1850000000000005,5.494999999999999,5.305000000000001,4.8950000000000005,4.95,5.265,5.475,5.4,5.265
42,5.775,5.935,5.3549999999999995,5.455,5.590000000000001,6.220000000000001,5.415,5.365,5.13,5.21,5.619999999999999,5.435,5.355,5.175
43,5.84,5.9399999999999995,5.615,5.42,5.6,6.125,5.72,5.5649999999999995,5.05,4.985,5.765,5.515,5.345000000000001,5.245
44,5.680000000000001,5.945,5.6450000000000005,5.455,5.625,6.175,5.6850000000000005,5.534999999999999,4.744999999999999,5.01,5.785,5.415,5.425,5.24
45,5.93,5.845000000000001,5.89,5.705,5.6,6.2,5.720000000000001,5.36,5.1049999999999995,5.055000000000001,5.8,5.1899999999999995,5.15,5.395
46,5.8,5.9399999999999995,5.915,5.84,5.305,5.859999999999999,5.525,5.555,5.215,5.345000000000001,5.909999999999999,5.109999999999999,5.55,5.709999999999999
47,5.930000000000001,5.694999999999999,6.220000000000001,5.619999999999999,5.29,5.859999999999999,5.444999999999999,5.555,5.159999999999999,5.29,5.875,5.130000000000001,5.42,6.01
