,TTS_1::NC_010326.1:1654-1754(+),TTS_2::NC_010326.1:1718-1818(+),TTS_3::NC_010326.1:2802-2902(+),TTS_4::NC_010326.1:4998-5098(+),TTS_5::NC_010326.1:21365-21465(+),TTS_6::NC_010326.1:22303-22403(+),TTS_7::NC_010326.1:22441-22541(+),TTS_8::NC_010326.1:22535-22635(+),TTS_9::NC_010326.1:25811-25911(+),TTS_10::NC_010326.1:36246-36346(+),TTS_1::NC_010326.1:91-191(-),TTS_2::NC_010326.1:407-507(-)
-10,-1.4315000000000002,-1.4625,-1.6149999999999998,-1.698,-1.3585,-1.5885,-1.5314999999999999,-1.654,-1.607,-1.418,-1.7205000000000001,-1.4305
-9,-1.3895000000000002,-1.4825,-1.655,-1.7449999999999999,-1.3755000000000002,-1.552,-1.5035,-1.607,-1.6489999999999998,-1.3900000000000001,-1.7515,-1.4295
-8,-1.3645,-1.4834999999999998,-1.6995,-1.7450000000000003,-1.3955,-1.589,-1.5035,-1.565,-1.6484999999999999,-1.37,-1.7295000000000003,-1.4495
-7,-1.3639999999999999,-1.527,-1.6629999999999998,-1.6969999999999998,-1.3815000000000002,-1.616,-1.52,-1.5510000000000002,-1.6065,-1.3980000000000001,-1.7025000000000001,-1.5125
-6,-1.372,-1.527,-1.638,-1.6385,-1.337,-1.636,-1.53,-1.566,-1.5645,-1.4345,-1.7225000000000001,-1.5395
-5,-1.407,-1.5274999999999999,-1.652,-1.6275000000000002,-1.3539999999999999,-1.65,-1.5015,-1.6059999999999999,-1.5365,-1.4345,-1.7025,-1.573
-4,-1.455,-1.5195,-1.6715,-1.6695,-1.3809999999999998,-1.6150000000000002,-1.457,-1.5790000000000002,-1.4920000000000002,-1.4205,-1.686,-1.6200000000000003
-3,-1.475,-1.4945,-1.6715,-1.6695,-1.4010000000000002,-1.5505,-1.457,-1.5170000000000001,-1.4300000000000002,-1.4205,-1.659,-1.5930000000000002
-2,-1.427,-1.4935,-1.6715,-1.65,-1.4375,-1.5025,-1.4735,-1.5255,-1.4289999999999998,-1.4625000000000001,-1.6195,-1.5535
-1,-1.3850000000000002,-1.4665000000000001,-1.6435,-1.6300000000000001,-1.4205,-1.4745000000000001,-1.4565,-1.5265,-1.4215,-1.4625,-1.6030000000000002,-1.5805
0,-1.392,-1.4415,-1.6515,-1.6745,-1.3984999999999999,-1.4815,-1.4315,-1.4905000000000002,-1.4075,-1.4695,-1.593,-1.5955
1,-1.417,-1.4625,-1.6715,-1.6745,-1.4209999999999998,-1.5065000000000002,-1.46,-1.4635000000000002,-1.4075,-1.5165,-1.5705000000000002,-1.6030000000000002
2,-1.4380000000000002,-1.5045000000000002,-1.6344999999999998,-1.6545,-1.457,-1.4855,-1.474,-1.4364999999999999,-1.4085,-1.5530000000000002,-1.5705,-1.6030000000000002
3,-1.458,-1.5445,-1.6204999999999998,-1.6745,-1.436,-1.4825,-1.474,-1.4765000000000001,-1.412,-1.581,-1.6175000000000002,-1.556
4,-1.4580000000000002,-1.4965,-1.6355,-1.7145,-1.425,-1.5020000000000002,-1.4469999999999998,-1.513,-1.412,-1.629,-1.6175000000000002,-1.5645
5,-1.4580000000000002,-1.4335,-1.6495000000000002,-1.6945000000000001,-1.44,-1.482,-1.411,-1.533,-1.4040000000000001,-1.6735,-1.634,-1.6275000000000002
6,-1.485,-1.375,-1.6495000000000002,-1.6510000000000002,-1.4325,-1.481,-1.403,-1.55,-1.361,-1.637,-1.597,-1.6545
7,-1.499,-1.365,-1.5875,-1.583,-1.4425000000000001,-1.517,-1.425,-1.57,-1.339,-1.634,-1.6045000000000003,-1.6509999999999998
8,-1.484,-1.413,-1.5230000000000001,-1.541,-1.4215,-1.4834999999999998,-1.436,-1.5779999999999998,-1.3395000000000001,-1.6365000000000003,-1.6045000000000003,-1.634
9,-1.456,-1.453,-1.503,-1.54,-1.4105,-1.4155000000000002,-1.416,-1.5415,-1.356,-1.6375,-1.5775000000000001,-1.6415
10,-1.476,-1.425,-1.486,-1.5670000000000002,-1.4465,-1.4155,-1.4380000000000002,-1.4795,-1.339,-1.6795000000000002,-1.5775000000000001,-1.634
11,-1.491,-1.377,-1.4465000000000001,-1.519,-1.4465,-1.4354999999999998,-1.486,-1.4785,-1.3195,-1.6905000000000001,-1.6145,-1.6350000000000002
12,-1.5135,-1.4040000000000001,-1.403,-1.4769999999999999,-1.4545,-1.4155000000000002,-1.5025,-1.5205,-1.3395,-1.671,-1.673,-1.6629999999999998
13,-1.5335,-1.4235000000000002,-1.3809999999999998,-1.4849999999999999,-1.4685,-1.3885,-1.469,-1.5355,-1.3815000000000002,-1.6875,-1.6829999999999998,-1.6460000000000001
14,-1.57,-1.4235000000000002,-1.4035,-1.547,-1.4965000000000002,-1.3405,-1.4380000000000002,-1.5355,-1.44,-1.6510000000000002,-1.621,-1.6265
15,-1.581,-1.4010000000000002,-1.4035,-1.5750000000000002,-1.4685000000000001,-1.3485,-1.458,-1.4985,-1.488,-1.6079999999999999,-1.5939999999999999,-1.6099999999999999
16,-1.5539999999999998,-1.4020000000000001,-1.3835000000000002,-1.5915000000000001,-1.4485000000000001,-1.3915000000000002,-1.4860000000000002,-1.4834999999999998,-1.5325,-1.6019999999999999,-1.614,-1.5630000000000002
17,-1.5539999999999998,-1.424,-1.367,-1.6385,-1.4485000000000001,-1.4115,-1.5025,-1.506,-1.5945,-1.5879999999999999,-1.614,-1.563
18,-1.582,-1.424,-1.33,-1.6744999999999997,-1.415,-1.4395000000000002,-1.506,-1.542,-1.5955,-1.56,-1.614,-1.6024999999999998
19,-1.6239999999999999,-1.4675,-1.331,-1.6575,-1.3900000000000001,-1.484,-1.5230000000000001,-1.589,-1.5955,-1.6045000000000003,-1.614,-1.5755000000000001
20,-1.627,-1.5295,-1.334,-1.599,-1.4125,-1.504,-1.5815,-1.6085,-1.6205000000000003,-1.6044999999999998,-1.6575000000000002,-1.5755000000000001
21,-1.596,-1.5565,-1.292,-1.5995,-1.432,-1.541,-1.621,-1.6075,-1.6145,-1.5565,-1.7195,-1.578
22,-1.581,-1.5565,-1.267,-1.6195,-1.432,-1.562,-1.6655000000000002,-1.6065,-1.5995,-1.54,-1.7195,-1.551
23,-1.5530000000000002,-1.5085000000000002,-1.2894999999999999,-1.5925,-1.4605000000000001,-1.5550000000000002,-1.6765,-1.5865,-1.5515,-1.513,-1.6800000000000002,-1.578
24,-1.5059999999999998,-1.4945,-1.3105,-1.5305,-1.5050000000000001,-1.575,-1.6765,-1.57,-1.5515,-1.4659999999999997,-1.6800000000000002,-1.6175000000000002
25,-1.464,-1.5155,-1.319,-1.511,-1.5150000000000001,-1.5950000000000002,-1.6960000000000002,-1.522,-1.5795,-1.4495,-1.6365000000000003,-1.6175000000000002
26,-1.4369999999999998,-1.5375,-1.3625,-1.51,-1.494,-1.6395,-1.7439999999999998,-1.502,-1.6145,-1.4495,-1.634,-1.5905
27,-1.448,-1.5845,-1.3875,-1.53,-1.491,-1.623,-1.764,-1.5299999999999998,-1.6365000000000003,-1.4415,-1.6535,-1.5545
28,-1.463,-1.5565000000000002,-1.3875,-1.545,-1.5390000000000001,-1.6400000000000001,-1.7975,-1.57,-1.6759999999999997,-1.475,-1.6970000000000003,-1.5445
29,-1.474,-1.5165,-1.3875,-1.531,-1.55,-1.688,-1.8285,-1.6065,-1.6760000000000002,-1.4849999999999999,-1.7239999999999998,-1.5370000000000001
30,-1.4545,-1.5645000000000002,-1.3875,-1.5115,-1.4915,-1.6989999999999998,-1.829,-1.6484999999999999,-1.673,-1.4369999999999998,-1.7440000000000002,-1.564
31,-1.4545,-1.5645,-1.38,-1.5395,-1.4645,-1.6720000000000002,-1.782,-1.6565,-1.6724999999999999,-1.391,-1.7405000000000002,-1.574
32,-1.447,-1.5365,-1.427,-1.598,-1.4675,-1.652,-1.7385000000000002,-1.6285,-1.6725,-1.3685,-1.707,-1.5470000000000002
33,-1.4300000000000002,-1.5095,-1.441,-1.6010000000000002,-1.476,-1.6510000000000002,-1.7755000000000003,-1.6555,-1.6724999999999999,-1.325,-1.682,-1.564
34,-1.394,-1.5095,-1.4184999999999999,-1.5539999999999998,-1.4489999999999998,-1.7155,-1.8235,-1.6545,-1.636,-1.328,-1.6969999999999998,-1.6035
35,-1.411,-1.5515,-1.4185,-1.5539999999999998,-1.429,-1.7155,-1.8679999999999999,-1.6515,-1.5739999999999998,-1.343,-1.7440000000000002,-1.5765
36,-1.4100000000000001,-1.5585,-1.4115,-1.5205,-1.421,-1.6725,-1.8680000000000003,-1.6765,-1.5155,-1.3279999999999998,-1.7239999999999998,-1.584
37,-1.347,-1.5155,-1.3695,-1.4735,-1.421,-1.6735000000000002,-1.8515000000000001,-1.6765,-1.4535,-1.3505,-1.7675,-1.584
38,-1.3199999999999998,-1.5165000000000002,-1.3445,-1.4769999999999999,-1.411,-1.6565,-1.8145,-1.6765,-1.4385000000000001,-1.3504999999999998,-1.7870000000000001,-1.5370000000000001
39,-1.3,-1.52,-1.3519999999999999,-1.466,-1.426,-1.613,-1.7950000000000004,-1.6765,-1.4455,-1.306,-1.7700000000000002,-1.5470000000000002
40,-1.297,-1.5165000000000002,-1.342,-1.445,-1.4255,-1.6330000000000002,-1.7515,-1.6495000000000002,-1.4825000000000002,-1.3425,-1.7115000000000002,-1.5470000000000002
41,-1.3279999999999998,-1.4965,-1.342,-1.445,-1.3835000000000002,-1.5859999999999999,-1.7120000000000002,-1.6505000000000003,-1.5470000000000002,-1.3504999999999998,-1.6644999999999999,-1.564
42,-1.343,-1.4335,-1.3645,-1.4180000000000001,-1.3824999999999998,-1.565,-1.6684999999999999,-1.6785,-1.609,-1.3225,-1.7115000000000002,-1.5740000000000003
43,-1.371,-1.442,-1.4005,-1.403,-1.4020000000000001,-1.572,-1.6585,-1.6585,-1.609,-1.3225000000000002,-1.703,-1.526
44,-1.381,-1.456,-1.4475,-1.4255,-1.3584999999999998,-1.535,-1.6684999999999999,-1.6385,-1.567,-1.33,-1.675,-1.486
45,-1.3750000000000002,-1.478,-1.467,-1.4180000000000001,-1.3485,-1.5154999999999998,-1.6490000000000002,-1.6495000000000002,-1.525,-1.33,-1.702,-1.506
46,-1.36,-1.498,-1.4225,-1.3980000000000001,-1.3965,-1.471,-1.6019999999999999,-1.6215,-1.49,-1.3664999999999998,-1.7215,-1.5050000000000001
47,-1.357,-1.498,-1.4195,-1.4060000000000001,-1.4365,-1.4289999999999998,-1.5539999999999998,-1.5935000000000001,-1.483,-1.3775,-1.6945000000000001,-1.5045
48,-1.4040000000000001,-1.5425,-1.4875,-1.4160000000000001,-1.4365,-1.401,-1.4955,-1.5465,-1.463,-1.3415000000000001,-1.6510000000000002,-1.5145
