,TTS_1::NC_010326.1:1654-1754(+),TTS_2::NC_010326.1:1718-1818(+),TTS_3::NC_010326.1:2802-2902(+),TTS_4::NC_010326.1:4998-5098(+),TTS_5::NC_010326.1:21365-21465(+),TTS_6::NC_010326.1:22303-22403(+),TTS_7::NC_010326.1:22441-22541(+),TTS_8::NC_010326.1:22535-22635(+),TTS_9::NC_010326.1:25811-25911(+),TTS_10::NC_010326.1:36246-36346(+),TTS_1::NC_010326.1:91-191(-),TTS_2::NC_010326.1:407-507(-)
-4,4.96,5.305,5.64,5.575,5.345000000000001,5.869999999999999,4.58,5.08,4.6899999999999995,5.245,6.09,5.909999999999999
-3,4.82,5.23,5.640000000000001,5.68,5.154999999999999,5.835,4.445,4.845000000000001,4.57,5.345000000000001,6.02,5.84
-2,4.62,5.495,5.545,5.529999999999999,5.41,5.75,4.45,4.805,4.73,5.325,6.0649999999999995,5.725
-1,4.895,5.494999999999999,5.79,5.365,5.404999999999999,6.194999999999999,4.3950000000000005,4.8549999999999995,4.94,5.305000000000001,5.8100000000000005,5.45
0,5.084999999999999,5.525,5.345,5.145,5.404999999999999,6.385,4.295,4.995,4.735,5.2,5.84,5.58
1,5.415,5.76,5.28,5.45,5.33,6.3549999999999995,4.3950000000000005,5.1899999999999995,4.6899999999999995,5.3149999999999995,5.76,5.6049999999999995
2,5.215,5.86,5.22,5.225,5.375,6.465000000000001,4.47,5.244999999999999,4.715,5.1850000000000005,5.595000000000001,5.2299999999999995
3,5.25,5.8,4.83,5.295,5.2299999999999995,6.22,4.659999999999999,5.119999999999999,4.975,5.2700000000000005,5.7700000000000005,5.255
4,5.25,5.779999999999999,4.645,5.33,5.475,6.22,4.85,5.3,4.95,5.154999999999999,5.635,5.125
5,5.5,5.994999999999999,4.935,5.1499999999999995,5.875,6.465000000000001,4.69,5.4,5.0,5.125,5.515,5.0200000000000005
6,5.425,5.915,4.93,5.369999999999999,5.909999999999999,6.414999999999999,5.09,5.455,5.075,5.175,5.42,4.8549999999999995
7,5.425,5.97,4.715,4.959999999999999,5.61,6.445,5.335,5.755,4.8149999999999995,5.3950000000000005,5.2299999999999995,4.735
8,5.445,5.945,5.0,5.18,5.465,6.409999999999999,5.1899999999999995,5.755000000000001,5.04,5.625,5.475,4.9799999999999995
9,5.495,6.225,5.215,5.01,5.475,6.2749999999999995,5.415,5.619999999999999,5.045,5.65,5.424999999999999,4.930000000000001
10,5.45,6.145,5.084999999999999,4.93,5.365,6.1049999999999995,5.535,5.5,5.04,5.705,5.525,5.3100000000000005
11,5.785,6.08,5.16,4.73,5.39,6.015,5.4399999999999995,5.5,5.040000000000001,5.675,5.484999999999999,5.215
12,5.734999999999999,6.025,5.209999999999999,4.805,5.46,5.64,5.58,5.529999999999999,5.244999999999999,5.65,5.5649999999999995,5.215000000000001
13,5.595,5.7700000000000005,5.21,4.970000000000001,5.515000000000001,5.789999999999999,5.470000000000001,5.8,5.39,5.76,5.505,5.21
14,5.605,5.74,5.055,5.125,5.4399999999999995,5.99,5.47,5.81,5.35,5.82,5.305000000000001,5.32
15,5.625,5.85,5.225,4.965,5.635,5.889999999999999,5.6,5.6899999999999995,5.24,6.225,5.335,5.140000000000001
16,5.575,5.74,5.11,5.145,5.385,5.6850000000000005,5.4399999999999995,5.459999999999999,5.245,5.97,5.675,5.245
17,5.625,5.765,5.205,5.0200000000000005,5.545,5.8149999999999995,5.505,5.64,5.365,5.915,5.675,5.22
18,5.7,5.555,5.22,5.05,5.51,5.64,5.625,5.5649999999999995,5.345,5.970000000000001,5.675,5.335
19,5.7,5.46,5.0649999999999995,5.154999999999999,5.335,5.3100000000000005,5.52,5.635,5.359999999999999,5.75,5.79,5.779999999999999
20,5.380000000000001,5.66,5.284999999999999,4.975,5.515,5.22,5.654999999999999,5.58,5.535,5.654999999999999,5.694999999999999,5.765000000000001
21,5.05,5.71,4.9799999999999995,4.895,5.26,5.415,5.77,5.43,5.325,5.75,5.859999999999999,5.835
22,5.07,5.534999999999999,4.805,4.895,5.165,5.46,5.73,5.425,5.265,5.635,5.885,6.035
23,5.16,5.43,5.095000000000001,4.795,5.245,5.74,5.5600000000000005,5.495,5.165,5.705,5.735,6.1049999999999995
24,5.0600000000000005,5.045,5.255000000000001,4.465,5.035,5.89,5.455,5.515,5.215,5.725,5.619999999999999,6.255
25,4.985,4.99,5.015000000000001,4.529999999999999,4.734999999999999,5.76,5.764999999999999,5.585,5.06,5.725,5.67,6.005
26,5.075,5.154999999999999,4.995,4.425,4.845,5.62,5.694999999999999,5.385,5.175,5.665,5.65,6.194999999999999
27,5.195,5.235,5.175,4.925,4.7,5.615,5.345,5.3149999999999995,5.470000000000001,5.455,5.51,6.194999999999999
28,5.265,5.305,5.175,4.98,4.83,5.72,5.455,5.24,5.425,5.415000000000001,5.18,6.3950000000000005
29,5.234999999999999,5.365,5.175,4.75,4.795,5.85,5.3,5.3100000000000005,5.3950000000000005,5.36,5.355,6.34
30,5.49,5.35,5.225,4.775,4.855,5.87,5.215,5.3149999999999995,5.455,5.535,5.16,6.17
31,5.63,5.37,5.249999999999999,4.715,4.92,5.6850000000000005,5.4799999999999995,5.285,5.23,5.62,5.235,6.265
32,5.695,5.584999999999999,5.255000000000001,4.694999999999999,4.92,5.93,5.505,5.5600000000000005,5.23,5.57,5.2,6.1899999999999995
33,5.825,6.029999999999999,5.385,4.65,4.9,5.785,5.734999999999999,5.3149999999999995,5.34,5.635,5.154999999999999,6.319999999999999
34,5.795,5.955,5.54,4.475,5.1,5.61,5.705,5.47,5.205,5.494999999999999,5.26,6.435
35,5.7,6.005,5.5600000000000005,4.635,4.8,5.640000000000001,5.545,5.715,4.994999999999999,5.495,5.3549999999999995,6.739999999999999
36,5.8549999999999995,6.225,5.835,4.75,5.075,5.75,5.68,5.915,4.785,5.8149999999999995,5.13,6.55
37,5.959999999999999,6.334999999999999,5.529999999999999,4.85,4.8,5.765,5.775,5.915,4.415,5.659999999999999,4.9399999999999995,6.715000000000001
38,5.775,6.359999999999999,5.279999999999999,4.875,5.025,5.944999999999999,5.645,5.915,4.245,5.7,4.99,6.665000000000001
39,5.805000000000001,6.36,5.245,5.01,5.045,6.109999999999999,5.784999999999999,5.88,4.295,5.7299999999999995,5.095,6.515000000000001
40,6.125,6.209999999999999,5.3,5.25,4.865,6.075,5.91,6.125,4.33,5.71,5.09,6.425
41,6.455,6.244999999999999,5.375,5.28,5.084999999999999,6.135,5.985,6.029999999999999,4.545,5.68,5.029999999999999,6.404999999999999
42,6.435,6.33,5.555000000000001,5.555,5.055,6.09,6.174999999999999,5.9799999999999995,4.6049999999999995,6.145,5.005000000000001,6.35
43,6.245,6.220000000000001,5.48,5.325,4.83,6.275,6.17,6.034999999999999,4.505,6.005,5.075,6.374999999999999
44,6.115,6.695,5.55,5.535,5.02,6.145,6.215,6.3,4.225,6.029999999999999,5.35,6.34
45,5.904999999999999,6.42,5.525,5.87,5.075,6.095,6.095,6.0,4.355,5.92,5.295,6.62
46,5.89,6.455,5.715,5.975,5.05,6.154999999999999,6.12,6.145,4.265,5.93,5.069999999999999,6.76
47,5.9350000000000005,6.3549999999999995,5.91,5.975,5.425,6.124999999999999,5.970000000000001,6.234999999999999,4.125,5.92,5.4,6.969999999999999
