,TSS_POS_1::NC_013691.1:20-120(+),TSS_POS_2::NC_013691.1:731-831(+),TSS_POS_3::NC_013691.1:3602-3702(+),TSS_POS_4::NC_013691.1:8180-8280(+),TSS_POS_5::NC_013691.1:9464-9564(+),TSS_POS_6::NC_013691.1:9559-9659(+),TSS_POS_7::NC_013691.1:18051-18151(+),TSS_POS_8::NC_013691.1:35194-35294(+),TSS_POS_9::NC_013691.1:39296-39396(+),TSS_POS_10::NC_013691.1:66521-66621(+),TSS_POS_11::NC_013691.1:12047-12147(+),TSS_POS_12::NC_013691.1:23595-23695(+),TSS_POS_13::NC_013691.1:24066-24166(+),TSS_POS_14::NC_013691.1:26562-26662(+),TSS_POS_15::NC_013691.1:28756-28856(+),TSS_POS_16::NC_013691.1:28780-28880(+),TSS_POS_17::NC_013691.1:29126-29226(+),TSS_POS_18::NC_013691.1:35317-35417(+),TSS_POS_19::NC_013691.1:38763-38863(+),TSS_POS_20::NC_013691.1:42916-43016(+),TSS_POS_21::NC_013691.1:59681-59781(+),TSS_POS_22::NC_013691.1:60055-60155(+),TSS_POS_23::NC_013691.1:60211-60311(+),TSS_POS_24::NC_013691.1:62774-62874(+),TSS_POS_25::NC_013691.1:68409-68509(+),TSS_POS_26::NC_013691.1:68706-68806(+),TSS_POS_27::NC_013691.1:69104-69204(+),TSS_NEG_1::NC_013691.1:1913-2013(-),TSS_NEG_2::NC_013691.1:4676-4776(-),TSS_NEG_3::NC_013691.1:11324-11424(-),TSS_NEG_4::NC_013691.1:12456-12556(-),TSS_NEG_5::NC_013691.1:12974-13074(-),TSS_NEG_6::NC_013691.1:13026-13126(-),TSS_NEG_7::NC_013691.1:16339-16439(-),TSS_NEG_8::NC_013691.1:17052-17152(-),TSS_NEG_9::NC_013691.1:22314-22414(-),TSS_NEG_10::NC_013691.1:24691-24791(-),TSS_NEG_11::NC_013691.1:27872-27972(-),TSS_NEG_12::NC_013691.1:29025-29125(-),TSS_NEG_13::NC_013691.1:29667-29767(-),TSS_NEG_14::NC_013691.1:30970-31070(-),TSS_NEG_15::NC_013691.1:32636-32736(-),TSS_NEG_16::NC_013691.1:34403-34503(-),TSS_NEG_17::NC_013691.1:34427-34527(-),TSS_NEG_18::NC_013691.1:34916-35016(-),TSS_NEG_19::NC_013691.1:34959-35059(-),TSS_NEG_20::NC_013691.1:36525-36625(-),TSS_NEG_21::NC_013691.1:36951-37051(-),TSS_NEG_22::NC_013691.1:37009-37109(-),TSS_NEG_23::NC_013691.1:37304-37404(-),TSS_NEG_24::NC_013691.1:38390-38490(-),TSS_NEG_25::NC_013691.1:38887-38987(-),TSS_NEG_26::NC_013691.1:39220-39320(-),TSS_NEG_27::NC_013691.1:39458-39558(-),TSS_NEG_28::NC_013691.1:41097-41197(-),TSS_NEG_29::NC_013691.1:46686-46786(-),TSS_NEG_30::NC_013691.1:50259-50359(-),TSS_NEG_31::NC_013691.1:53044-53144(-),TSS_NEG_32::NC_013691.1:53212-53312(-),TSS_NEG_33::NC_013691.1:53424-53524(-),TSS_NEG_34::NC_013691.1:54009-54109(-),TSS_NEG_35::NC_013691.1:54033-54133(-),TSS_NEG_36::NC_013691.1:55012-55112(-),TSS_NEG_37::NC_013691.1:55791-55891(-),TSS_NEG_38::NC_013691.1:56112-56212(-),TSS_NEG_39::NC_013691.1:56256-56356(-),TSS_NEG_40::NC_013691.1:56349-56449(-),TSS_NEG_41::NC_013691.1:57285-57385(-),TSS_NEG_42::NC_013691.1:58238-58338(-),TSS_NEG_43::NC_013691.1:58260-58360(-),TSS_NEG_44::NC_013691.1:61240-61340(-),TSS_NEG_45::NC_013691.1:62480-62580(-),TSS_NEG_46::NC_013691.1:62798-62898(-),TSS_NEG_47::NC_013691.1:63998-64098(-),TSS_NEG_48::NC_013691.1:64715-64815(-),TSS_NEG_49::NC_013691.1:65024-65124(-),TSS_NEG_50::NC_013691.1:65649-65749(-),TSS_NEG_51::NC_013691.1:65694-65794(-),TSS_NEG_52::NC_013691.1:65869-65969(-),TSS_NEG_53::NC_013691.1:66013-66113(-),TSS_NEG_54::NC_013691.1:67269-67369(-),TSS_NEG_55::NC_013691.1:67420-67520(-),TSS_NEG_56::NC_013691.1:67983-68083(-),TSS_NEG_57::NC_013691.1:68635-68735(-),TSS_NEG_58::NC_013691.1:68846-68946(-),TSS_NEG_59::NC_013691.1:70272-70372(-)
-50,-1.598,-1.3045,-1.121,-1.3095,-1.2654999999999998,-1.072,-1.6145,-1.472,-1.401,-1.552,-1.5030000000000001,-1.4769999999999999,-1.377,-1.3054999999999999,-1.629,-1.5535,-1.3190000000000002,-1.217,-1.3504999999999998,-1.268,-1.6275,-1.49,-1.3255,-1.3025,-1.3619999999999999,-1.42,-1.4465,-1.4405,-1.393,-1.6465,-1.4875,-1.2445,-1.5485000000000002,-1.5835000000000001,-1.2914999999999999,-1.5255,-1.41,-1.5130000000000001,-1.384,-1.2665000000000002,-1.4329999999999998,-1.3074999999999999,-1.451,-1.3495,-1.5950000000000002,-1.7515,-1.391,-1.3705,-1.443,-1.4695,-1.4395,-1.5180000000000002,-1.4055,-1.371,-1.31,-1.4435,-1.4015,-1.508,-1.482,-1.4795,-1.093,-1.3915,-1.5105,-1.5070000000000001,-1.4075000000000002,-1.4540000000000002,-1.441,-1.35,-1.358,-1.5995000000000001,-1.4575,-1.55,-1.448,-1.3975,-1.6164999999999998,-1.6785,-1.476,-1.3699999999999999,-1.304,-1.531,-1.4149999999999998,-1.2574999999999998,-1.34,-1.4125,-1.2885,-1.3565
-49,-1.598,-1.3045,-1.0939999999999999,-1.3085,-1.3085,-1.051,-1.6425,-1.518,-1.3925,-1.572,-1.5230000000000001,-1.519,-1.3765,-1.2469999999999999,-1.6290000000000002,-1.5535,-1.294,-1.232,-1.415,-1.314,-1.6275000000000002,-1.538,-1.3875,-1.3305,-1.3190000000000002,-1.431,-1.444,-1.4765000000000001,-1.385,-1.6465,-1.5155,-1.2865,-1.541,-1.5825,-1.2925,-1.5115,-1.4300000000000002,-1.4905000000000002,-1.4060000000000001,-1.2665,-1.4049999999999998,-1.3435000000000001,-1.436,-1.3495000000000001,-1.6220000000000003,-1.7795,-1.363,-1.3505,-1.47,-1.4415,-1.439,-1.54,-1.4024999999999999,-1.349,-1.31,-1.4435,-1.4435,-1.5150000000000001,-1.482,-1.4325,-1.1365,-1.348,-1.5470000000000002,-1.493,-1.4869999999999999,-1.469,-1.4209999999999998,-1.322,-1.401,-1.6475000000000002,-1.4375,-1.565,-1.445,-1.3975000000000002,-1.5545,-1.6385,-1.4925000000000002,-1.3980000000000001,-1.2955,-1.5285,-1.3705,-1.2925,-1.312,-1.3855,-1.328,-1.3365
-48,-1.556,-1.3045,-1.054,-1.3445,-1.308,-1.087,-1.6454999999999997,-1.518,-1.3935,-1.6149999999999998,-1.4949999999999999,-1.526,-1.3875,-1.2445,-1.6290000000000002,-1.5265,-1.308,-1.2429999999999999,-1.435,-1.3350000000000002,-1.6305,-1.558,-1.4075000000000002,-1.2970000000000002,-1.3625,-1.416,-1.486,-1.499,-1.428,-1.6019999999999999,-1.552,-1.3495,-1.524,-1.5205,-1.3405,-1.4835,-1.4500000000000002,-1.4975,-1.474,-1.2945,-1.395,-1.3715,-1.451,-1.3495000000000001,-1.6220000000000003,-1.763,-1.348,-1.3585,-1.443,-1.3995000000000002,-1.466,-1.497,-1.4084999999999999,-1.346,-1.3370000000000002,-1.4295,-1.4460000000000002,-1.512,-1.504,-1.4115,-1.1785,-1.334,-1.544,-1.4935,-1.535,-1.491,-1.384,-1.321,-1.429,-1.6030000000000002,-1.3975,-1.5365,-1.4760000000000002,-1.4225,-1.5265,-1.6035,-1.5035,-1.3535,-1.312,-1.587,-1.3625,-1.3195000000000001,-1.311,-1.4055000000000002,-1.327,-1.2905
-47,-1.534,-1.3045,-1.053,-1.3515000000000001,-1.2930000000000001,-1.1139999999999999,-1.5775000000000001,-1.518,-1.437,-1.6219999999999999,-1.492,-1.506,-1.3880000000000001,-1.2645,-1.5845,-1.4845000000000002,-1.322,-1.1995,-1.418,-1.335,-1.653,-1.558,-1.444,-1.2974999999999999,-1.3820000000000001,-1.431,-1.5055,-1.4914999999999998,-1.455,-1.5590000000000002,-1.552,-1.349,-1.4595,-1.5195,-1.3335,-1.4565000000000001,-1.492,-1.5225,-1.467,-1.3575,-1.3800000000000001,-1.4345,-1.476,-1.3345,-1.6019999999999999,-1.7260000000000002,-1.3679999999999999,-1.3375,-1.4235,-1.3165,-1.528,-1.47,-1.4004999999999999,-1.3455,-1.337,-1.4215,-1.4265,-1.574,-1.4605000000000001,-1.4105,-1.218,-1.312,-1.529,-1.4935,-1.5550000000000002,-1.4769999999999999,-1.385,-1.342,-1.4769999999999999,-1.557,-1.4445000000000001,-1.5085000000000002,-1.4760000000000002,-1.431,-1.5535,-1.6185000000000003,-1.5045,-1.3535000000000001,-1.322,-1.597,-1.3485,-1.353,-1.333,-1.4135,-1.355,-1.3115
-46,-1.5690000000000002,-1.2765,-1.101,-1.3735,-1.307,-1.117,-1.5855000000000001,-1.498,-1.4729999999999999,-1.659,-1.4915,-1.543,-1.361,-1.2785,-1.5815000000000001,-1.4929999999999999,-1.2995,-1.2195,-1.3960000000000001,-1.335,-1.6460000000000001,-1.552,-1.452,-1.3125,-1.3820000000000001,-1.4335,-1.5055,-1.448,-1.475,-1.5815000000000001,-1.5295,-1.334,-1.4375,-1.5405000000000002,-1.2865,-1.464,-1.52,-1.53,-1.457,-1.3725,-1.355,-1.4765000000000001,-1.4535,-1.332,-1.5390000000000001,-1.7345000000000002,-1.3960000000000001,-1.3459999999999999,-1.457,-1.2805,-1.527,-1.49,-1.434,-1.3305,-1.338,-1.4015,-1.41,-1.574,-1.441,-1.4025,-1.2189999999999999,-1.2925,-1.5150000000000001,-1.4465000000000001,-1.5750000000000002,-1.457,-1.385,-1.342,-1.4769999999999999,-1.5285,-1.4445000000000001,-1.5085000000000002,-1.477,-1.4145,-1.5805,-1.6295000000000002,-1.488,-1.3995000000000002,-1.322,-1.566,-1.3475000000000001,-1.3555,-1.3800000000000001,-1.3995,-1.3800000000000001,-1.3595000000000002
-45,-1.5885,-1.2754999999999999,-1.143,-1.376,-1.343,-1.1320000000000001,-1.6255,-1.4780000000000002,-1.501,-1.6785,-1.4565,-1.5355,-1.339,-1.3145,-1.6285,-1.494,-1.3074999999999999,-1.2195,-1.4185,-1.383,-1.6065,-1.551,-1.4075000000000002,-1.3275000000000001,-1.354,-1.4140000000000001,-1.4625,-1.465,-1.483,-1.5745,-1.4860000000000002,-1.334,-1.4375,-1.5335,-1.2974999999999999,-1.5074999999999998,-1.52,-1.5470000000000002,-1.488,-1.3785,-1.376,-1.496,-1.462,-1.3530000000000002,-1.491,-1.7274999999999998,-1.424,-1.345,-1.4849999999999999,-1.3005,-1.516,-1.5065000000000002,-1.461,-1.3375,-1.338,-1.4015,-1.3990000000000002,-1.543,-1.4140000000000001,-1.3945,-1.24,-1.2825,-1.5,-1.4475000000000002,-1.6030000000000002,-1.467,-1.342,-1.357,-1.492,-1.5005,-1.4375,-1.5085000000000002,-1.4600000000000002,-1.411,-1.5535,-1.565,-1.488,-1.3995000000000002,-1.3050000000000002,-1.5939999999999999,-1.3625,-1.3359999999999999,-1.332,-1.4215,-1.3599999999999999,-1.3595
-44,-1.5895000000000001,-1.268,-1.178,-1.349,-1.3530000000000002,-1.1940000000000002,-1.5775000000000001,-1.4609999999999999,-1.501,-1.6620000000000001,-1.4345,-1.5355,-1.3599999999999999,-1.3145,-1.6085,-1.4745000000000001,-1.3184999999999998,-1.1945000000000001,-1.4385,-1.383,-1.562,-1.5310000000000001,-1.444,-1.3385,-1.353,-1.442,-1.423,-1.472,-1.469,-1.5474999999999999,-1.489,-1.348,-1.481,-1.5735000000000001,-1.3199999999999998,-1.5275,-1.499,-1.6055,-1.4965,-1.422,-1.384,-1.5070000000000001,-1.454,-1.3530000000000002,-1.428,-1.6880000000000002,-1.4685000000000001,-1.309,-1.4629999999999999,-1.3635,-1.536,-1.4895,-1.458,-1.3775,-1.324,-1.4015,-1.421,-1.5205,-1.4215,-1.3465,-1.246,-1.2825,-1.5150000000000001,-1.4895,-1.586,-1.446,-1.3424999999999998,-1.405,-1.5115,-1.4735,-1.4995,-1.4805,-1.46,-1.458,-1.5265,-1.525,-1.482,-1.3995000000000002,-1.2570000000000001,-1.6219999999999999,-1.334,-1.3359999999999999,-1.34,-1.4324999999999999,-1.3015,-1.3165
-43,-1.5905,-1.2765,-1.184,-1.3599999999999999,-1.359,-1.209,-1.5410000000000001,-1.439,-1.498,-1.634,-1.3875,-1.5635000000000001,-1.3599999999999999,-1.3344999999999998,-1.6355,-1.4745000000000001,-1.2705,-1.2145,-1.4304999999999999,-1.383,-1.52,-1.504,-1.486,-1.3395000000000001,-1.4175,-1.434,-1.423,-1.409,-1.4689999999999999,-1.5474999999999999,-1.4609999999999999,-1.3405,-1.512,-1.5655000000000001,-1.3565,-1.4805000000000001,-1.5074999999999998,-1.608,-1.48,-1.4655,-1.3045,-1.5,-1.412,-1.331,-1.4255,-1.6435000000000002,-1.4685000000000001,-1.3095,-1.443,-1.383,-1.522,-1.4675,-1.458,-1.4140000000000001,-1.3325,-1.3815,-1.4689999999999999,-1.4925000000000002,-1.4485,-1.3315,-1.282,-1.305,-1.5175,-1.5005000000000002,-1.544,-1.426,-1.3595,-1.4320000000000002,-1.5385,-1.415,-1.5345,-1.4220000000000002,-1.508,-1.472,-1.5065,-1.5050000000000001,-1.489,-1.3995000000000002,-1.254,-1.5885,-1.2894999999999999,-1.35,-1.3820000000000001,-1.3965,-1.2734999999999999,-1.314
-42,-1.5735,-1.3045,-1.192,-1.3530000000000002,-1.395,-1.1949999999999998,-1.581,-1.433,-1.5375,-1.609,-1.4344999999999999,-1.5554999999999999,-1.387,-1.3805,-1.6344999999999998,-1.4915,-1.2345,-1.2145,-1.4525,-1.3385,-1.4920000000000002,-1.4769999999999999,-1.5260000000000002,-1.3875,-1.4255,-1.4309999999999998,-1.409,-1.402,-1.4855,-1.5875,-1.433,-1.3205,-1.484,-1.5035,-1.3965,-1.4445000000000001,-1.552,-1.5939999999999999,-1.4700000000000002,-1.4855,-1.2945,-1.5,-1.384,-1.3285,-1.4245,-1.5604999999999998,-1.4795,-1.3459999999999999,-1.483,-1.383,-1.529,-1.4475000000000002,-1.4355,-1.431,-1.3744999999999998,-1.4295,-1.497,-1.4925000000000002,-1.4449999999999998,-1.3305,-1.324,-1.319,-1.459,-1.4420000000000002,-1.5020000000000002,-1.389,-1.403,-1.4740000000000002,-1.5805,-1.4125,-1.5565,-1.3940000000000001,-1.591,-1.492,-1.5135,-1.4769999999999999,-1.4889999999999999,-1.3995000000000002,-1.302,-1.5415,-1.326,-1.37,-1.39,-1.4329999999999998,-1.2655,-1.3350000000000002
-41,-1.5255,-1.3035,-1.1585,-1.353,-1.4145,-1.1809999999999998,-1.609,-1.425,-1.494,-1.6085,-1.427,-1.5075,-1.414,-1.352,-1.5865000000000002,-1.5394999999999999,-1.206,-1.1785,-1.5005000000000002,-1.3385,-1.481,-1.504,-1.5595,-1.4155,-1.3835000000000002,-1.4335,-1.408,-1.4100000000000001,-1.4685000000000001,-1.6505000000000003,-1.423,-1.3065000000000002,-1.422,-1.5025,-1.4315,-1.4365,-1.563,-1.5950000000000002,-1.4700000000000002,-1.5275,-1.3014999999999999,-1.52,-1.3559999999999999,-1.32,-1.4215000000000002,-1.5690000000000002,-1.5154999999999998,-1.346,-1.511,-1.4115,-1.571,-1.4475000000000002,-1.391,-1.456,-1.3675000000000002,-1.4215,-1.504,-1.4925000000000002,-1.4529999999999998,-1.347,-1.3860000000000001,-1.2754999999999999,-1.4565,-1.3940000000000001,-1.466,-1.375,-1.4060000000000001,-1.4665,-1.6275,-1.4275,-1.6245,-1.3940000000000001,-1.5910000000000002,-1.534,-1.491,-1.4769999999999999,-1.497,-1.3645,-1.3130000000000002,-1.5494999999999999,-1.3479999999999999,-1.323,-1.3539999999999999,-1.4440000000000002,-1.2865,-1.35
-40,-1.4835,-1.3030000000000002,-1.1365,-1.361,-1.4215,-1.196,-1.6099999999999999,-1.4250000000000003,-1.4840000000000002,-1.572,-1.379,-1.5075,-1.4475000000000002,-1.31,-1.57,-1.6225,-1.214,-1.207,-1.5015,-1.4015,-1.4869999999999999,-1.572,-1.6015000000000001,-1.4165,-1.3824999999999998,-1.4125,-1.4220000000000002,-1.3305,-1.4324999999999999,-1.6865,-1.4304999999999999,-1.2785,-1.4289999999999998,-1.5225,-1.4385000000000001,-1.4155000000000002,-1.527,-1.5985,-1.471,-1.5554999999999999,-1.2905,-1.5399999999999998,-1.353,-1.3,-1.4635000000000002,-1.597,-1.518,-1.3539999999999999,-1.5554999999999999,-1.448,-1.5735,-1.527,-1.364,-1.441,-1.3405,-1.3935,-1.5180000000000002,-1.4645,-1.4529999999999998,-1.347,-1.4295,-1.211,-1.4555,-1.346,-1.466,-1.3679999999999999,-1.384,-1.4665000000000001,-1.5795,-1.405,-1.6164999999999998,-1.383,-1.5690000000000002,-1.576,-1.4629999999999999,-1.44,-1.5070000000000001,-1.3225,-1.2545000000000002,-1.5494999999999999,-1.34,-1.303,-1.3615,-1.4449999999999998,-1.278,-1.3495000000000001
-39,-1.4635,-1.314,-1.1515,-1.372,-1.3855,-1.221,-1.582,-1.4250000000000003,-1.4865,-1.55,-1.2995,-1.552,-1.4695,-1.2899999999999998,-1.6035,-1.6225,-1.277,-1.249,-1.4875,-1.4485000000000001,-1.479,-1.6164999999999998,-1.6085,-1.425,-1.3825,-1.4125,-1.3995000000000002,-1.3205,-1.4224999999999999,-1.6934999999999998,-1.4025,-1.2795,-1.4760000000000002,-1.5225000000000002,-1.4385000000000001,-1.416,-1.5635,-1.5785000000000002,-1.464,-1.6035,-1.3045,-1.6030000000000002,-1.421,-1.327,-1.4735,-1.6239999999999999,-1.4535,-1.3575,-1.5775000000000001,-1.468,-1.5745,-1.5295,-1.3359999999999999,-1.4015,-1.3605,-1.43,-1.5095,-1.4725,-1.433,-1.3185,-1.4324999999999999,-1.165,-1.4354999999999998,-1.3295,-1.4460000000000002,-1.385,-1.3370000000000002,-1.5085000000000002,-1.5655,-1.405,-1.5685,-1.3605,-1.5775000000000001,-1.6204999999999998,-1.4195,-1.426,-1.486,-1.3074999999999999,-1.2550000000000001,-1.533,-1.33,-1.3030000000000002,-1.395,-1.4449999999999998,-1.278,-1.3325
